Player,Season,Team,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
bernd leno,2018-2019,arsenal,-3.7775193595020995,-2.7555426041318962,4.390793254311774,-1.3466793314806607,-3.727100124794511,-1.541996289866865,3.506623781303268,-0.5510025317197463,-2.6423042686067784,-0.4205432876604377,2.427291362879089,1.8761327818688824,-0.40084817887783547,0.7674792772892601,0.021623639052707488,0.13692046740949795,0.24999420864502686,0.07849348506634281,-0.021294993089036037,-0.2807037300327982
pierre-emerick aubameyang,2018-2019,arsenal,7.630008961825055,0.8002773585546691,8.072193975295146,-4.42643095767017,5.424858909523635,0.8262226774502273,-2.7488353438872575,-0.6908803846961064,1.3867467611968975,-0.17127719054419316,2.0018041653625955,-0.08266155112080312,-0.29609931039379306,2.0700358668127845,-1.9380530516830916,-0.5422098037785582,-1.083487918531955,-0.32946839974904796,-1.2103260953394512,0.038851332374971494
shkodran mustafi,2018-2019,arsenal,-2.638602058587216,6.938059886228291,1.228842106486625,3.209034623213796,-0.01527440733131059,0.5477776635348067,-1.0492696058381235,-0.9260986166023603,0.35399439452823805,0.30147004855006365,0.44166926175401433,0.21121501297290338,0.7291743454122744,-0.7764041425403779,-0.712810771350364,0.373809230391518,1.1224339365041096,0.3820356445014416,-0.7402727777601835,-0.36123592434306906
granit xhaka,2018-2019,arsenal,-0.6315314112056759,6.288337837367692,0.8591561955849946,-0.7224251450569568,0.06968358962201772,-0.39461045373995135,1.2805215086493709,0.05390390474450329,-0.3401809183006811,-0.8710817173344638,2.134375690686034,1.5374331099346148,1.1069978113981551,-1.0187726404740252,0.48330282025817933,0.41897442504759297,-1.552639194086198,-0.3377176068152697,0.8231854548986112,0.16541729870941393
alexandre lacazette,2018-2019,arsenal,4.31860438967333,2.0110123116258913,3.521721048594332,-4.547197082721051,1.7864665584156652,-1.668083872369361,-2.655811637949791,0.09138585663439365,2.5822379780737283,-0.8392533689032876,2.144787425267082,-0.5646042090218001,0.1613494463764836,2.3382564688278875,-1.2430405195884513,0.7035341193442477,-0.578381706886249,0.242848812561131,-0.7367627934218295,-0.044271027942197644
lucas torreira,2018-2019,arsenal,-1.1545279778615092,6.4426248446987096,-0.43742213673688274,-0.5779998945633852,1.105085209022518,-1.4390077720992736,1.0771918350324787,1.2483379124567318,-1.5906338029321243,0.07393308419697577,1.3182820766309171,-0.1460755208213378,-0.3371397669087293,0.8772832852372687,-0.045389185024490075,0.9417587354745671,-0.4799549397779304,0.40088174828897044,-0.15114897039399128,-0.17108598008227943
sokratis papastathopoulos,2018-2019,arsenal,-2.905094630293094,3.393273968195441,1.3695601150010892,1.7863113694612847,-0.17503839522737674,0.645948061939857,-0.10041252496855366,0.2608402548300076,0.9441214905859496,-0.7030296776156626,0.32053224278550535,0.02386135676868125,2.105698920714721,0.0636691137956653,0.289801147865383,-1.1597342734099474,0.6569366521777062,-0.08419667129495131,-0.10043524541980174,-0.44552668565295633
matteo guendouzi,2018-2019,arsenal,-1.936572820357392,4.42151868079444,-0.016446487068273494,-1.3704446054655786,-0.09218601726161245,-1.3212165033390502,1.2606863898734018,-0.28105555075425026,-2.0657860127355554,-0.8519235486614094,0.9704554570310256,1.7430564617577908,0.9342633922522399,-1.2201956211402303,1.0597908286825428,0.41889577622728674,-1.0484686118588902,0.4725855685313193,1.0166107085014537,-0.27376238464526
alex iwobi,2018-2019,arsenal,1.1178300834912906,1.3662920491381518,0.9995716946019187,-5.114121317156797,-0.6166404441529945,-0.04185866928976268,-2.077533306908364,-0.33619294242192216,0.12092737567798276,-0.7008305601634133,0.7251639476057732,1.8037635539282717,-1.1366032850322791,-0.9222786145844519,-0.014777806433782823,-0.1256434923070624,-0.7185952328223907,0.8391839804300818,0.7803840191755463,-0.999880027120877
sead kolasinac,2018-2019,arsenal,-1.1762368347846675,1.9698887771853801,0.28417270691135554,-2.8086734476382005,-1.1306307121381822,0.7193567736819455,-0.5848122954900886,-0.4728108328831226,-1.1770253629259524,1.0930901234065267,2.193670509507626,2.0729113194154545,0.6786636721787617,-0.25491959913324674,0.07203178464118214,-0.04409301217283027,1.1390316275096126,0.188539453284094,0.2858520652005609,0.25754327219674067
nacho monreal,2018-2019,arsenal,-2.051554267521132,2.0392365313632297,0.4925080632383542,-0.3288988861587229,0.40661344982130926,0.9519598771820957,-0.8979912929275669,-0.1858836158945538,1.6957506911215692,0.4846235329014958,0.13705876007983073,-0.003055123572490616,0.2354537802302602,0.354343624613365,0.5273788852927448,0.07090153980720657,0.40691731358958644,0.7492539460827431,-0.1327824958335394,0.1431705247485837
