Jogador,Marco Silvestri,Rodrigo Becão,Walace,Nahuel Molina,Gerard Deulofeu,Destiny Udogie,Jean-Victor Makengo,Beto,Bram Nuytinck,Roberto Pereyra,Tolgay Arslan,Nehuén Pérez,Samir Santos,Pablo Marí,Ignacio Pussetto,Isaac Success,Jens Stryger Larsen,Brandon Soppy,Marvin Zeegelaar,Mato Jajalo,Daniele Padelli,Sebastien De Maio,Lazar Samardzic,Ilija Nestorovski,Fernando Forestieri,Simone Pafundi,Stefano Okaka,Filip Benković,Riccardo Pinzi,Marco Ballarini,Matteo Carnelos,Riccardo Castagnaviz,Nicolò Cocetta,Lorenzo Codutti,Mattia Damiani,Jacopo Fedrizzi,Manuel Gasparini,Cristo González,Simone Ianesi,Raed Jaziri,Martin Palumbo,Edoardo Piana,Antonio Santurro,Simone Scuffet
Pos.,G,ZG,LT,ZG,"AT,LT",ZG,LT,AT,ZG,"LT,AT",LT,ZG,ZG,ZG,"AT,LT","AT,LT",ZG,"ZG,LT",ZG,LT,G,ZG,"LT,AT",AT,"AT,LT",AT,AT,"ZG,AT",AT,LT,G,LT,ZG,ZG,LT,LT,G,"AT,LT",AT,LT,LT,G,G,G
Terço Central,0.0,30.0,38.0,21.0,3.0,27.0,17.0,14.0,13.0,6.0,16.0,21.0,13.0,6.0,9.0,3.0,1.0,10.0,8.0,7.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,2.0,8.0,3.0,6.0,7.0,6.0,5.0,1.0,5.0,4.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,0.0,34.0,50.0,16.0,7.0,33.0,15.0,9.0,15.0,7.0,19.0,16.0,15.0,8.0,2.0,1.0,2.0,11.0,5.0,11.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,1.0,60.0,113.0,48.0,29.0,60.0,29.0,19.0,34.0,23.0,50.0,25.0,25.0,16.0,10.0,5.0,3.0,16.0,14.0,23.0,0.0,9.0,26.0,3.0,1.0,1.0,0.0,0.0,0.0,643.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,0.0,567.0,442.0,333.0,241.0,550.0,517.0,474.0,441.0,304.0,380.0,640.0,600.0,500.0,200.0,200.0,667.0,688.0,357.0,478.0,0.0,111.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,1.0,26.0,63.0,32.0,22.0,27.0,14.0,10.0,19.0,16.0,31.0,9.0,10.0,8.0,8.0,4.0,1.0,5.0,9.0,12.0,0.0,8.0,19.0,3.0,1.0,1.0,0.0,0.0,0.0,359.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,45.0,51.0,24.0,14.0,39.0,26.0,16.0,42.0,26.0,17.0,27.0,21.0,18.0,18.0,2.0,2.0,10.0,12.0,7.0,0.0,6.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,432.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,20.0,5.0,3.0,0.0,6.0,6.0,1.0,31.0,5.0,4.0,9.0,7.0,12.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,25.0,46.0,21.0,14.0,33.0,20.0,15.0,11.0,21.0,13.0,18.0,14.0,6.0,16.0,2.0,2.0,8.0,8.0,7.0,0.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,310.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,1.0,42.0,54.0,22.0,9.0,27.0,19.0,5.0,22.0,12.0,13.0,21.0,42.0,21.0,4.0,2.0,4.0,5.0,12.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,1.0,123.0,137.0,63.0,20.0,91.0,49.0,26.0,60.0,30.0,48.0,65.0,78.0,37.0,21.0,7.0,9.0,25.0,27.0,35.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,973.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,11.0,89.0,32.0,44.0,4.0,42.0,17.0,25.0,101.0,11.0,23.0,47.0,62.0,72.0,13.0,6.0,17.0,9.0,22.0,5.0,2.0,9.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,671.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
