Jogador,Cristiano Biraghi,Nikola Milenković,Pietro Terracciano,Giacomo Bonaventura,Nicolás González,Lucas Torreira,Igor,Alfred Duncan,Dušan Vlahović,Lorenzo Venuti,Álvaro Odriozola,Lucas Martínez Quarta,Gaetano Castrovilli,José Callejón,Riccardo Sottil,Riccardo Saponara,Youssef Maleh,Krzysztof Piątek,Sofyan Amrabat,Arthur Cabral,Jonathan Ikone,Bartłomiej Drągowski,Erick Pulgar,Matija Nastasić,Aleksa Terzić,Marco Benassi,Aleksandr Kokorin,Filippo Distefano,Vittorio Agostinelli,Alessandro Bianco,Michele Cerofolini,Destiny Egharevba,Filippo Frison,Louis Munteanu,Luca Ranieri,Antonio Rosati,Eljon Toci
Pos.,ZG,ZG,G,LT,AT,LT,ZG,LT,AT,ZG,ZG,ZG,LT,AT,AT,AT,LT,AT,LT,AT,AT,G,LT,ZG,ZG,"ZG,LT","AT,LT",AT,LT,LT,G,AT,ZG,AT,ZG,G,AT
Assis..1,3.0,0.0,0.0,16.0,23.0,4.0,0.0,9.0,10.0,0.0,10.0,0.0,6.0,14.0,15.0,21.0,18.0,0.0,0.0,24.0,14.0,0.0,26.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,14.0,3.0,0.0,32.0,50.0,25.0,0.0,19.0,92.0,0.0,16.0,6.0,13.0,21.0,36.0,42.0,35.0,37.0,10.0,48.0,28.0,0.0,26.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,9.0,3.0,0.0,16.0,15.0,21.0,0.0,9.0,58.0,0.0,5.0,6.0,6.0,7.0,22.0,21.0,18.0,37.0,10.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,11.0,3.0,0.0,32.0,38.0,25.0,0.0,19.0,68.0,0.0,16.0,6.0,13.0,21.0,36.0,42.0,35.0,37.0,10.0,48.0,28.0,0.0,26.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,9.0,7.0,0.0,19.0,39.0,22.0,2.0,4.0,62.0,1.0,7.0,7.0,7.0,12.0,18.0,15.0,20.0,44.0,1.0,50.0,23.0,0.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,17.0,1.0,0.0,9.0,16.0,9.0,4.0,9.0,9.0,2.0,18.0,6.0,5.0,17.0,18.0,23.0,16.0,11.0,2.0,4.0,22.0,0.0,17.0,1.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,26.0,7.0,0.0,28.0,55.0,30.0,5.0,14.0,71.0,3.0,24.0,14.0,12.0,29.0,36.0,38.0,36.0,55.0,4.0,55.0,45.0,0.0,20.0,6.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,4.0,7.0,0.0,19.0,30.0,20.0,2.0,4.0,40.0,1.0,7.0,7.0,7.0,12.0,18.0,15.0,20.0,34.0,1.0,50.0,23.0,0.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,22.0,7.0,0.0,28.0,46.0,29.0,5.0,14.0,48.0,3.0,24.0,14.0,12.0,29.0,36.0,38.0,36.0,45.0,4.0,55.0,45.0,0.0,20.0,6.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,37.0,54.0,0.0,33.0,21.0,37.0,53.0,34.0,5.0,25.0,25.0,36.0,25.0,15.0,9.0,10.0,27.0,5.0,24.0,9.0,7.0,0.0,6.0,1.0,8.0,1.0,1.0,0.0,508.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
