Jogador,Joel Pohjanpalo,Jesse Joronen,Francesco Zampano,Tanner Tessmann,Antonio Candela,Luca Ceppitelli,Pietro Ceccaroni,Dennis Johnsen,Przemysław Wiśniewski,Michael Svoboda,Andrea Carboni,Magnus Kofod Andersen,Ridgeciano Haps,Mikael Ellertsson,Gianluca Busio,Domen Črnigoj,Nicholas Pierini,Petko Hristov,Luca Fiordilino,Mickaël Cuisance,Andrija Novakovich,Tommaso Milanese,Marco Modolo,Mato Jajalo,Denis Cheryshev,Maximilian Ullmann,Bruno,Aaron Connolly,Niki Mäenpää,Riccardo Ciervo,Jack De Vries,Facundo Zabala,Marin Šverko,Andrea Beghetto,Harvey St Clair,Jay Enem,Bjarki Bjarkason,Lorenzo Busato,Mirza Hasanbegović,Kristófer Jónsson,Patrick Leal,Hilmir Mikaelsson,Filippo Neri,Afonso Peixoto,Daishawn Redan,Melvyn Remy,Tommaso Sperandio
Pos.,AT,G,ZG,LT,ZG,ZG,ZG,"AT,ZG",ZG,ZG,ZG,LT,ZG,LT,LT,LT,"AT,ZG",ZG,LT,LT,AT,LT,ZG,LT,"AT,LT",ZG,G,AT,G,"ZG,AT",AT,ZG,ZG,ZG,LT,ZG,LT,ZG,AT,LT,LT,AT,G,ZG,AT,ZG,G
xG.1,52.0,0.0,3.0,9.0,6.0,8.0,7.0,20.0,2.0,2.0,12.0,8.0,6.0,19.0,6.0,18.0,19.0,2.0,4.0,8.0,33.0,19.0,6.0,2.0,28.0,2.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,13.0,0.0,17.0,9.0,10.0,4.0,2.0,25.0,1.0,2.0,2.0,13.0,6.0,7.0,4.0,7.0,12.0,1.0,3.0,10.0,8.0,7.0,0.0,19.0,24.0,15.0,0.0,26.0,0.0,28.0,3.0,0.0,6.0,39.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,65.0,0.0,21.0,18.0,16.0,12.0,9.0,44.0,3.0,4.0,14.0,21.0,12.0,26.0,9.0,25.0,31.0,2.0,7.0,18.0,40.0,26.0,6.0,21.0,51.0,18.0,0.0,48.0,0.0,30.0,3.0,0.0,6.0,39.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,42.0,0.0,3.0,9.0,6.0,8.0,7.0,20.0,2.0,2.0,12.0,8.0,6.0,19.0,6.0,18.0,19.0,2.0,4.0,8.0,33.0,19.0,6.0,2.0,28.0,2.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,55.0,0.0,21.0,18.0,16.0,12.0,9.0,44.0,3.0,4.0,14.0,21.0,12.0,26.0,9.0,25.0,31.0,2.0,7.0,18.0,40.0,26.0,6.0,21.0,51.0,18.0,0.0,48.0,0.0,30.0,3.0,0.0,6.0,39.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,9.0,1.0,50.0,53.0,30.0,31.0,24.0,16.0,28.0,35.0,41.0,30.0,17.0,20.0,34.0,15.0,23.0,15.0,24.0,14.0,7.0,8.0,3.0,5.0,14.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,559.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,6.0,1.0,31.0,25.0,18.0,18.0,10.0,8.0,23.0,17.0,21.0,20.0,11.0,12.0,18.0,8.0,13.0,8.0,13.0,8.0,5.0,4.0,3.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,319.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,2.0,1.0,36.0,21.0,17.0,17.0,16.0,8.0,20.0,26.0,27.0,17.0,6.0,3.0,19.0,5.0,8.0,11.0,11.0,2.0,1.0,4.0,2.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,293.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,5.0,0.0,11.0,24.0,7.0,13.0,5.0,4.0,6.0,8.0,11.0,7.0,8.0,14.0,11.0,7.0,9.0,2.0,10.0,7.0,4.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,187.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,2.0,0.0,3.0,8.0,6.0,1.0,3.0,4.0,2.0,1.0,3.0,6.0,3.0,3.0,4.0,3.0,6.0,2.0,3.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,79.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
