Jogador,Samir Handanović,Alessandro Bastoni,Nicolò Barella,Romelu Lukaku,Milan Škriniar,Stefan de Vrij,Lautaro Martínez,Achraf Hakimi,Marcelo Brozović,Ivan Perišić,Christian Eriksen,Ashley Young,Roberto Gagliardini,Matteo Darmian,Arturo Vidal,Alexis Sánchez,Andrea Ranocchia,Danilo D'Ambrosio,Stefano Sensi,Aleksandar Kolarov,Matías Vecino,Andrea Pinamonti,Ionuț Radu,Radja Nainggolan,Daniele Padelli,Franco Carboni,Dalbert Henrique,Lorenzo Moretti,Franco Orlando Vezzoni,Lorenzo Pirola,Martin Satriano,Niccolò Squizzato,Filip Stankovic,David Wieser
Pos.,G,ZG,LT,AT,ZG,ZG,AT,ZG,LT,"ZG,AT",LT,ZG,LT,ZG,LT,AT,ZG,ZG,LT,ZG,LT,AT,G,LT,G,AT,"ZG,LT",ZG,LT,ZG,AT,LT,G,LT
Terço Def,1.0,13.0,23.0,1.0,29.0,15.0,5.0,23.0,23.0,11.0,6.0,8.0,17.0,12.0,8.0,4.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,21.0,29.0,6.0,16.0,12.0,11.0,19.0,24.0,6.0,4.0,4.0,8.0,7.0,13.0,4.0,6.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,206.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,2.0,6.0,4.0,3.0,1.0,9.0,11.0,7.0,5.0,2.0,3.0,5.0,11.0,6.0,6.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,1.0,17.0,23.0,6.0,23.0,15.0,7.0,23.0,20.0,12.0,7.0,3.0,5.0,16.0,12.0,5.0,7.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,213.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,1.0,27.0,72.0,14.0,34.0,24.0,24.0,48.0,61.0,33.0,20.0,13.0,28.0,28.0,41.0,18.0,8.0,15.0,11.0,2.0,5.0,0.0,0.0,0.0,0.0,527.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,1000.0,630.0,319.0,429.0,676.0,625.0,292.0,479.0,328.0,364.0,350.0,231.0,179.0,571.0,293.0,278.0,875.0,400.0,364.0,500.0,0.0,0.0,0.0,0.0,0.0,404.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,0.0,10.0,49.0,8.0,11.0,9.0,17.0,25.0,41.0,21.0,13.0,10.0,23.0,12.0,29.0,13.0,1.0,9.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,314.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,34.0,29.0,11.0,30.0,24.0,31.0,31.0,43.0,33.0,16.0,13.0,15.0,9.0,23.0,11.0,5.0,9.0,6.0,2.0,7.0,1.0,0.0,0.0,0.0,383.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,16.0,4.0,1.0,19.0,18.0,1.0,1.0,17.0,4.0,1.0,0.0,3.0,2.0,3.0,0.0,3.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,102.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,18.0,25.0,10.0,11.0,6.0,30.0,30.0,26.0,29.0,15.0,13.0,12.0,7.0,20.0,11.0,2.0,2.0,5.0,2.0,6.0,1.0,0.0,0.0,0.0,281.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,40.0,26.0,3.0,30.0,41.0,27.0,22.0,40.0,19.0,9.0,6.0,19.0,17.0,29.0,7.0,12.0,4.0,7.0,7.0,4.0,1.0,0.0,1.0,0.0,371.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,1.0,76.0,84.0,14.0,78.0,69.0,52.0,75.0,94.0,41.0,21.0,21.0,49.0,47.0,56.0,21.0,25.0,19.0,16.0,11.0,5.0,1.0,0.0,1.0,0.0,877.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,6.0,75.0,14.0,34.0,89.0,95.0,16.0,23.0,38.0,36.0,13.0,31.0,16.0,35.0,11.0,1.0,19.0,15.0,1.0,8.0,3.0,2.0,1.0,0.0,0.0,582.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
