Jogador,Éderson,Berat Djimsiti,Giorgio Scalvini,Teun Koopmeiners,Marten de Roon,Matteo Ruggeri,Marco Carnesecchi,Sead Kolašinac,Charles De Ketelaere,Mario Pašalić,Davide Zappacosta,Ademola Lookman,Gianluca Scamacca,Aleksei Miranchuk,Emil Holm,Juan Musso,Hans Hateboer,Rafael Tolói,Isak Hien,El Bilal Touré,Mitchel Bakker,Luis Muriel,Duván Zapata,Giovanni Bonfanti,Nadir Zortea,Michel Ndary Adopo,José Luis Palomino,Francesco Rossi,Leonardo Mendicino,Moustapha Cissé,Matteo Colombo,Pietro Comi,Alessandro Cortinovis,Tommaso Del Lungo,Siren Diao,Alberto Manzoni,Caleb Okoli,Marco Palestra,Paolo Vismara
Pos.,LT,ZG,ZG,LT,"LT,ZG",ZG,G,ZG,"AT,LT",LT,ZG,"AT,LT",AT,"LT,AT",ZG,G,ZG,ZG,ZG,AT,ZG,"AT,LT",AT,ZG,ZG,LT,ZG,G,LT,AT,LT,ZG,LT,ZG,AT,LT,ZG,ZG,G
Div.1,44.0,19.0,19.0,17.0,35.0,16.0,0.0,30.0,10.0,14.0,16.0,8.0,7.0,5.0,16.0,1.0,5.0,14.0,7.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,291.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,63.0,31.0,40.0,50.0,82.0,30.0,0.0,49.0,20.0,31.0,34.0,22.0,14.0,13.0,36.0,1.0,15.0,27.0,15.0,1.0,12.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,597.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,698.0,613.0,475.0,340.0,427.0,533.0,0.0,612.0,500.0,452.0,471.0,364.0,500.0,385.0,444.0,1000.0,333.0,519.0,467.0,0.0,167.0,1000.0,0.0,667.0,250.0,1000.0,1000.0,0.0,0.0,487.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,19.0,12.0,21.0,33.0,47.0,14.0,0.0,19.0,10.0,17.0,18.0,14.0,7.0,8.0,20.0,0.0,10.0,13.0,8.0,1.0,10.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,306.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,48.0,53.0,44.0,33.0,36.0,46.0,0.0,22.0,30.0,29.0,29.0,19.0,7.0,6.0,25.0,0.0,21.0,9.0,12.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,483.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,8.0,33.0,17.0,3.0,10.0,4.0,0.0,9.0,2.0,6.0,4.0,0.0,1.0,1.0,3.0,0.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,119.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,40.0,20.0,27.0,30.0,26.0,42.0,0.0,13.0,28.0,23.0,25.0,19.0,6.0,5.0,22.0,0.0,14.0,5.0,7.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,364.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,41.0,57.0,59.0,10.0,40.0,23.0,0.0,21.0,7.0,16.0,5.0,9.0,4.0,2.0,7.0,0.0,4.0,13.0,14.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,124.0,99.0,112.0,49.0,120.0,52.0,0.0,65.0,40.0,44.0,35.0,29.0,19.0,14.0,35.0,1.0,16.0,33.0,32.0,2.0,10.0,4.0,0.0,5.0,6.0,4.0,3.0,0.0,0.0,953.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,33.0,100.0,71.0,35.0,54.0,44.0,22.0,47.0,6.0,34.0,19.0,0.0,9.0,5.0,25.0,6.0,21.0,29.0,33.0,2.0,6.0,0.0,1.0,1.0,3.0,2.0,6.0,0.0,0.0,614.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
