Jogador,Bryan Cristante,Gianluca Mancini,Leandro Paredes,Romelu Lukaku,Diego Llorente,Obite N'Dicka,Paulo Dybala,Rui Patrício,Lorenzo Pellegrini,Rasmus Kristensen,Stephan El Shaarawy,Edoardo Bove,Mile Svilar,Leonardo Spinazzola,Rick Karsdorp,Angeliño,Nicola Zalewski,Houssem Aouar,Andrea Belotti,Zeki Çelik,Tommaso Baldanzi,Dean Huijsen,Chris Smalling,Sardar Azmoun,Tammy Abraham,Renato Sanches,Riccardo Pagano,Ola Solbakken,João Costa,Niccolò Pisilli,Filippo Alessio,Pietro Boer,Luigi Cherubini,Francesco D'Alessio,Lovro Golič,Renato Marin,Jan Oliveras
Pos.,"LT,ZG",ZG,LT,AT,ZG,ZG,"AT,LT",G,LT,ZG,"AT,ZG",LT,G,ZG,ZG,ZG,"ZG,AT","LT,AT",AT,ZG,"AT,LT",ZG,ZG,"AT,LT",AT,LT,"LT,ZG",AT,"LT,AT",LT,AT,G,AT,LT,ZG,G,ZG
npxG+xAG.1,19.0,10.0,11.0,39.0,4.0,9.0,43.0,0.0,31.0,8.0,25.0,14.0,0.0,22.0,20.0,14.0,23.0,33.0,48.0,11.0,27.0,8.0,10.0,65.0,27.0,19.0,18.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,72.0,34.0,57.0,6.0,31.0,32.0,22.0,0.0,35.0,36.0,21.0,60.0,0.0,15.0,25.0,21.0,20.0,16.0,8.0,23.0,9.0,10.0,1.0,8.0,3.0,2.0,2.0,0.0,0.0,0.0,569.0,489.0,0.0,0.0,0.0,0.0,0.0
TklW,41.0,20.0,36.0,5.0,19.0,18.0,13.0,0.0,20.0,19.0,13.0,31.0,0.0,7.0,18.0,11.0,14.0,11.0,4.0,16.0,5.0,5.0,1.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,336.0,321.0,0.0,0.0,0.0,0.0,0.0
Terço Def,33.0,21.0,30.0,1.0,20.0,12.0,3.0,0.0,14.0,25.0,14.0,16.0,0.0,10.0,11.0,12.0,10.0,4.0,2.0,10.0,3.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,261.0,217.0,0.0,0.0,0.0,0.0,0.0
Terço Central,28.0,11.0,22.0,2.0,10.0,19.0,10.0,0.0,16.0,8.0,4.0,31.0,0.0,5.0,8.0,6.0,9.0,10.0,3.0,10.0,4.0,5.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,229.0,190.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,11.0,2.0,5.0,3.0,1.0,1.0,9.0,0.0,5.0,3.0,3.0,13.0,0.0,0.0,6.0,3.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,79.0,82.0,0.0,0.0,0.0,0.0,0.0
Div.1,28.0,11.0,33.0,2.0,11.0,12.0,2.0,0.0,17.0,28.0,6.0,27.0,0.0,8.0,16.0,11.0,8.0,3.0,3.0,14.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,249.0,218.0,0.0,0.0,0.0,0.0,0.0
Tent,50.0,27.0,77.0,4.0,24.0,20.0,18.0,1.0,51.0,50.0,15.0,46.0,0.0,18.0,24.0,19.0,22.0,12.0,6.0,25.0,1.0,4.0,4.0,8.0,0.0,3.0,6.0,0.0,0.0,0.0,535.0,439.0,0.0,0.0,0.0,0.0,0.0
Tkl%,560.0,407.0,429.0,500.0,458.0,600.0,111.0,0.0,333.0,560.0,400.0,587.0,0.0,444.0,667.0,579.0,364.0,250.0,500.0,560.0,1000.0,250.0,250.0,500.0,0.0,667.0,0.0,0.0,0.0,0.0,465.0,497.0,0.0,0.0,0.0,0.0,0.0
Perdido,22.0,16.0,44.0,2.0,13.0,8.0,16.0,1.0,34.0,22.0,9.0,19.0,0.0,10.0,8.0,8.0,14.0,9.0,3.0,11.0,0.0,3.0,3.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,286.0,221.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,36.0,38.0,26.0,7.0,40.0,30.0,12.0,1.0,28.0,27.0,11.0,21.0,0.0,8.0,13.0,11.0,12.0,5.0,7.0,12.0,2.0,7.0,6.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,370.0,410.0,0.0,0.0,0.0,0.0,0.0
TC,6.0,26.0,7.0,1.0,27.0,16.0,0.0,0.0,5.0,7.0,4.0,1.0,0.0,2.0,4.0,5.0,4.0,0.0,0.0,5.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,132.0,128.0,0.0,0.0,0.0,0.0,0.0
Passe,30.0,12.0,19.0,6.0,13.0,14.0,12.0,1.0,23.0,20.0,7.0,20.0,0.0,6.0,9.0,6.0,8.0,5.0,7.0,7.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,238.0,282.0,0.0,0.0,0.0,0.0,0.0
Crts,25.0,36.0,29.0,0.0,22.0,16.0,3.0,0.0,20.0,8.0,13.0,11.0,0.0,3.0,9.0,12.0,9.0,4.0,2.0,8.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,282.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,97.0,70.0,86.0,6.0,53.0,48.0,25.0,0.0,55.0,44.0,34.0,71.0,0.0,18.0,34.0,33.0,29.0,20.0,10.0,31.0,9.0,14.0,6.0,11.0,3.0,2.0,2.0,0.0,0.0,0.0,811.0,771.0,0.0,0.0,0.0,0.0,0.0
Def,55.0,77.0,43.0,19.0,79.0,75.0,6.0,3.0,22.0,50.0,15.0,11.0,2.0,15.0,16.0,37.0,17.0,2.0,3.0,25.0,4.0,26.0,8.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,623.0,753.0,0.0,0.0,0.0,0.0,0.0
Erros,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0
