Jogador,Radu Drăgușin,Morten Frendrup,Albert Guðmundsson,Mattia Bani,Josep Martinez,Stefano Sabelli,Massimo Coda,Milan Badelj,Kevin Strootman,Alessandro Vogliacco,Mattia Aramu,Silvan Hefti,Filip Jagiełło,George Pușcaș,Domenico Criscito,Marko Pajač,Adrian Šemper,Stefano Sturaro,Manolo Portanova,Güven Yalçın,Caleb Ekuban,Ridgeciano Haps,Stefan Ilsanker,Eddie Salcedo,Lennart-Marten Czyborra,Alan Matturro,Brayan Boci,Kelvin Yeboah,Pablo Galdames Millán,Denis Drăguș,Abdoulaye Touré,Luca Lipani,Federico Accornero,Giuseppe Agostino,Gabriele Calvani,Francesco Cassata,Seydou Fini,Lorenzo Gagliardi,Yayah Kallon,Patrizio Masini,Filippo Melegoni,Andrea Palella,Rok Vodišek
Pos.,ZG,"LT,ZG","AT,LT",ZG,G,ZG,AT,LT,LT,ZG,"LT,AT",ZG,"LT,AT",AT,ZG,ZG,G,"LT,AT","LT,AT","AT,LT",AT,ZG,"ZG,LT",AT,ZG,ZG,ZG,"AT,LT",LT,"AT,ZG","AT,LT",LT,AT,G,ZG,LT,AT,ZG,AT,LT,LT,LT,G
xG+xAG,8.0,9.0,44.0,18.0,0.0,15.0,71.0,16.0,16.0,12.0,33.0,7.0,35.0,46.0,16.0,11.0,0.0,17.0,32.0,42.0,53.0,31.0,16.0,45.0,0.0,0.0,30.0,78.0,6.0,58.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,7.0,4.0,28.0,13.0,0.0,2.0,34.0,10.0,7.0,10.0,17.0,2.0,12.0,33.0,1.0,2.0,0.0,8.0,21.0,25.0,32.0,6.0,5.0,42.0,0.0,0.0,30.0,51.0,6.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,8.0,9.0,44.0,18.0,0.0,15.0,54.0,16.0,16.0,12.0,33.0,7.0,35.0,46.0,9.0,11.0,0.0,17.0,32.0,42.0,53.0,31.0,16.0,45.0,0.0,0.0,30.0,78.0,6.0,58.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,35.0,106.0,19.0,34.0,0.0,47.0,2.0,39.0,66.0,26.0,17.0,44.0,24.0,2.0,27.0,16.0,0.0,16.0,18.0,7.0,6.0,8.0,23.0,7.0,6.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,608.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,21.0,65.0,11.0,22.0,0.0,25.0,1.0,21.0,31.0,15.0,14.0,23.0,14.0,1.0,14.0,9.0,0.0,7.0,10.0,3.0,4.0,7.0,13.0,5.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,347.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,23.0,50.0,7.0,20.0,0.0,25.0,0.0,23.0,30.0,16.0,4.0,25.0,11.0,0.0,18.0,11.0,0.0,3.0,7.0,2.0,1.0,1.0,14.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,306.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,9.0,47.0,9.0,10.0,0.0,15.0,1.0,11.0,30.0,9.0,13.0,15.0,6.0,2.0,7.0,3.0,0.0,7.0,8.0,3.0,4.0,6.0,9.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,229.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,3.0,9.0,3.0,4.0,0.0,7.0,1.0,5.0,6.0,1.0,0.0,4.0,7.0,0.0,2.0,2.0,0.0,6.0,3.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,12.0,45.0,10.0,17.0,0.0,21.0,0.0,21.0,23.0,15.0,6.0,24.0,12.0,0.0,12.0,12.0,0.0,9.0,6.0,4.0,2.0,2.0,9.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,275.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,22.0,87.0,44.0,25.0,1.0,48.0,9.0,53.0,46.0,21.0,18.0,42.0,25.0,1.0,15.0,17.0,0.0,15.0,10.0,8.0,3.0,3.0,14.0,7.0,3.0,3.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,550.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,545.0,517.0,227.0,680.0,0.0,438.0,0.0,396.0,500.0,714.0,333.0,571.0,480.0,0.0,800.0,706.0,0.0,600.0,600.0,500.0,667.0,667.0,643.0,429.0,1000.0,667.0,0.0,200.0,1000.0,500.0,0.0,1000.0,0.0,0.0,500.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,10.0,42.0,34.0,8.0,1.0,27.0,9.0,32.0,23.0,6.0,12.0,18.0,13.0,1.0,3.0,5.0,0.0,6.0,4.0,4.0,1.0,1.0,5.0,4.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,275.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,31.0,66.0,17.0,29.0,0.0,32.0,11.0,38.0,37.0,18.0,18.0,32.0,14.0,4.0,9.0,6.0,0.0,12.0,17.0,10.0,9.0,6.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,430.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,21.0,6.0,1.0,16.0,0.0,4.0,1.0,10.0,9.0,10.0,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,10.0,60.0,16.0,13.0,0.0,28.0,10.0,28.0,28.0,8.0,17.0,28.0,13.0,2.0,6.0,6.0,0.0,12.0,16.0,9.0,9.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,336.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,48.0,48.0,14.0,45.0,0.0,29.0,1.0,48.0,31.0,16.0,6.0,20.0,5.0,1.0,27.0,8.0,1.0,2.0,6.0,2.0,0.0,8.0,8.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,383.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,83.0,154.0,33.0,79.0,0.0,76.0,3.0,87.0,97.0,42.0,23.0,64.0,29.0,3.0,54.0,24.0,1.0,18.0,24.0,9.0,6.0,16.0,31.0,8.0,8.0,5.0,2.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0,991.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,120.0,26.0,7.0,100.0,16.0,42.0,6.0,39.0,32.0,75.0,2.0,24.0,12.0,7.0,20.0,14.0,2.0,10.0,5.0,5.0,2.0,4.0,17.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,596.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
