Jogador,Francesco Bardi,Francesco Zampano,Raffaele Maiello,Nicolò Brighenti,Przemysław Szymiński,Marcus Rohdén,Grigoris Kastanos,Andrija Novakovich,Alessandro Salvi,Lorenzo Ariaudo,Camillo Ciano,Marcos Curado,Piotr Parzyszek,Marco Capuano,Andrea Beghetto,Pietro Iemmello,Mirko Gori,Marco Carraro,Daniel Boloca,Mattia Vitale,Alessio Tribuzzi,Salvatore D'Elia,Alessandro Iacobucci,Luigi Vitale,Enrico Brignola,Federico Dionisi,Andrea Tabanelli,Matteo Ardemagni,Vincenzo Millico,Pierluca Luciani,Riccardo Baroni,Lorenzo Coccia,Pietro Giordani,Luka Krajnc,Giuseppe Marcianò,Simone Morelli,Andrea Peres,Andrea Trovato,Thomas Vettorel,Hide Vitalucci
Pos.,G,ZG,LT,ZG,ZG,LT,LT,AT,ZG,ZG,AT,ZG,AT,ZG,"ZG,AT",AT,LT,LT,LT,LT,"LT,AT",ZG,G,ZG,"ZG,AT","AT,LT",LT,AT,"AT,LT",AT,ZG,LT,ZG,ZG,G,AT,LT,G,G,LT
xG.1,0.0,3.0,5.0,6.0,2.0,23.0,8.0,36.0,7.0,9.0,29.0,5.0,35.0,8.0,2.0,50.0,5.0,7.0,15.0,9.0,19.0,0.0,0.0,6.0,27.0,44.0,55.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,10.0,19.0,2.0,5.0,19.0,10.0,8.0,9.0,0.0,27.0,0.0,3.0,0.0,16.0,15.0,3.0,5.0,22.0,9.0,21.0,1.0,0.0,25.0,5.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,13.0,24.0,7.0,7.0,42.0,19.0,44.0,17.0,9.0,56.0,5.0,38.0,8.0,18.0,65.0,8.0,12.0,37.0,18.0,40.0,1.0,0.0,31.0,32.0,61.0,57.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,3.0,2.0,6.0,2.0,23.0,8.0,33.0,7.0,9.0,29.0,5.0,29.0,8.0,2.0,43.0,5.0,7.0,15.0,9.0,19.0,0.0,0.0,6.0,27.0,44.0,26.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,13.0,21.0,7.0,7.0,42.0,19.0,41.0,17.0,9.0,56.0,5.0,32.0,8.0,18.0,58.0,8.0,12.0,37.0,18.0,40.0,1.0,0.0,31.0,32.0,61.0,28.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,2.0,57.0,65.0,38.0,28.0,44.0,60.0,9.0,29.0,12.0,19.0,25.0,8.0,8.0,9.0,5.0,25.0,14.0,18.0,14.0,16.0,9.0,0.0,7.0,3.0,2.0,10.0,0.0,0.0,0.0,536.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,1.0,36.0,43.0,28.0,16.0,25.0,35.0,4.0,20.0,7.0,10.0,18.0,4.0,4.0,4.0,1.0,11.0,8.0,11.0,7.0,8.0,6.0,0.0,6.0,3.0,0.0,6.0,0.0,0.0,0.0,322.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,2.0,31.0,35.0,17.0,13.0,15.0,19.0,2.0,11.0,8.0,8.0,21.0,2.0,8.0,6.0,0.0,10.0,8.0,9.0,7.0,8.0,4.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,254.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,20.0,26.0,20.0,13.0,23.0,35.0,5.0,15.0,4.0,8.0,4.0,4.0,0.0,3.0,2.0,12.0,6.0,8.0,5.0,5.0,4.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,231.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,6.0,4.0,1.0,2.0,6.0,6.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,2.0,25.0,18.0,19.0,9.0,25.0,25.0,3.0,17.0,4.0,4.0,10.0,6.0,2.0,5.0,1.0,10.0,6.0,7.0,5.0,7.0,3.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,221.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,4.0,31.0,39.0,31.0,16.0,42.0,53.0,9.0,29.0,9.0,21.0,14.0,15.0,6.0,9.0,4.0,26.0,13.0,12.0,14.0,13.0,6.0,0.0,5.0,3.0,4.0,10.0,1.0,1.0,1.0,441.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,500.0,806.0,462.0,613.0,563.0,595.0,472.0,333.0,586.0,444.0,190.0,714.0,400.0,333.0,556.0,250.0,385.0,462.0,583.0,357.0,538.0,500.0,0.0,600.0,333.0,0.0,400.0,0.0,0.0,0.0,501.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,2.0,6.0,21.0,12.0,7.0,17.0,28.0,6.0,12.0,5.0,17.0,4.0,9.0,4.0,4.0,3.0,16.0,7.0,5.0,9.0,6.0,3.0,0.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,220.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,26.0,24.0,31.0,27.0,25.0,29.0,16.0,29.0,15.0,14.0,22.0,10.0,7.0,9.0,5.0,15.0,15.0,11.0,11.0,7.0,8.0,0.0,7.0,5.0,5.0,4.0,0.0,1.0,0.0,378.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,1.0,4.0,17.0,17.0,3.0,3.0,3.0,13.0,10.0,1.0,16.0,2.0,5.0,0.0,1.0,2.0,5.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,111.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,25.0,20.0,14.0,10.0,22.0,26.0,13.0,16.0,5.0,13.0,6.0,8.0,2.0,9.0,4.0,13.0,10.0,11.0,10.0,6.0,4.0,0.0,6.0,5.0,4.0,4.0,0.0,1.0,0.0,267.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,22.0,53.0,65.0,40.0,11.0,32.0,1.0,33.0,18.0,3.0,27.0,6.0,8.0,8.0,0.0,18.0,28.0,6.0,10.0,4.0,4.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,406.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,2.0,79.0,118.0,103.0,68.0,55.0,92.0,10.0,62.0,30.0,22.0,52.0,14.0,16.0,17.0,5.0,43.0,42.0,24.0,24.0,20.0,13.0,0.0,12.0,3.0,3.0,13.0,0.0,0.0,0.0,942.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,9.0,47.0,65.0,98.0,113.0,14.0,21.0,20.0,46.0,55.0,4.0,51.0,16.0,46.0,25.0,3.0,25.0,14.0,7.0,1.0,13.0,5.0,2.0,5.0,1.0,0.0,3.0,1.0,0.0,0.0,710.0,796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
