Jogador,Franco Vázquez,Enrico Del Prato,Nahuel Estévez,Yordan Osorio,Adrian Bernabe,Lautaro Valenti,Stanko Jurić,Dennis Man,Adrian Benedyczak,Gianluigi Buffon,Jayden Oosterwolde,Leandro Chichizola,Roberto Inglese,Simon Sohm,Cristian Ansaldi,Luca Zanimacchia,Botond Balogh,Alessandro Circati,Woyo Coulibaly,Gennaro Tutino,Valentin Mihaila,Elias Cobbaut,Simone Romagnoli,Drissa Camara,Edoardo Corvi,Ange-Yoan Bonny,Vasilios Zagaritis,Antoine Hainaut,Gabriel Charpentier,Dario Sits,Francesco Borriello,Nathan Buayi Kiala,Bartlomiej Maliszewski,Antonio Santurro
Pos.,"LT,AT",ZG,LT,ZG,LT,ZG,LT,"AT,LT","AT,LT",G,ZG,G,AT,"LT,AT","ZG,AT","AT,LT",ZG,ZG,"ZG,AT",AT,AT,ZG,ZG,"LT,AT",G,"AT,LT","ZG,AT","AT,ZG",AT,"AT,LT",G,LT,G,G
Terço Central,27.0,22.0,15.0,3.0,38.0,13.0,26.0,9.0,5.0,0.0,17.0,0.0,4.0,10.0,9.0,7.0,1.0,4.0,6.0,1.0,1.0,2.0,4.0,10.0,0.0,8.0,5.0,4.0,3.0,1.0,255.0,268.0,0.0,0.0
Terço de Ataque,11.0,1.0,5.0,0.0,9.0,4.0,6.0,2.0,2.0,0.0,8.0,0.0,3.0,7.0,7.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,1.0,84.0,67.0,0.0,0.0
Div.1,20.0,35.0,17.0,14.0,23.0,20.0,21.0,7.0,4.0,1.0,23.0,0.0,4.0,12.0,15.0,6.0,8.0,1.0,11.0,1.0,0.0,4.0,5.0,7.0,0.0,6.0,5.0,5.0,1.0,1.0,277.0,376.0,0.0,0.0
Tent,43.0,53.0,43.0,22.0,46.0,34.0,38.0,25.0,8.0,2.0,28.0,2.0,15.0,20.0,27.0,19.0,13.0,4.0,14.0,3.0,4.0,8.0,5.0,14.0,0.0,14.0,8.0,10.0,2.0,1.0,525.0,775.0,0.0,0.0
Tkl%,465.0,660.0,395.0,636.0,500.0,588.0,553.0,280.0,500.0,500.0,821.0,0.0,267.0,600.0,556.0,316.0,615.0,250.0,786.0,333.0,0.0,500.0,1000.0,500.0,0.0,429.0,625.0,500.0,500.0,1000.0,528.0,485.0,0.0,0.0
Perdido,23.0,18.0,26.0,8.0,23.0,14.0,17.0,18.0,4.0,1.0,5.0,2.0,11.0,8.0,12.0,13.0,5.0,3.0,3.0,2.0,4.0,4.0,0.0,7.0,0.0,8.0,3.0,5.0,1.0,0.0,248.0,399.0,0.0,0.0
Bloqueios,31.0,38.0,30.0,20.0,24.0,28.0,26.0,8.0,11.0,0.0,16.0,0.0,16.0,13.0,10.0,14.0,12.0,11.0,6.0,12.0,7.0,7.0,8.0,12.0,0.0,15.0,7.0,7.0,4.0,0.0,393.0,412.0,0.0,0.0
TC,5.0,18.0,8.0,14.0,3.0,8.0,5.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,9.0,7.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,96.0,141.0,0.0,0.0
Passe,26.0,20.0,22.0,6.0,21.0,20.0,21.0,7.0,9.0,0.0,13.0,0.0,16.0,11.0,9.0,13.0,3.0,4.0,5.0,12.0,6.0,5.0,4.0,12.0,0.0,15.0,7.0,7.0,3.0,0.0,297.0,271.0,0.0,0.0
Crts,30.0,51.0,34.0,37.0,11.0,35.0,18.0,5.0,2.0,0.0,24.0,0.0,1.0,5.0,9.0,5.0,18.0,11.0,15.0,2.0,1.0,8.0,6.0,5.0,0.0,1.0,6.0,11.0,0.0,0.0,351.0,363.0,0.0,0.0
Tkl+Int,82.0,104.0,62.0,62.0,69.0,73.0,62.0,20.0,11.0,1.0,68.0,0.0,11.0,30.0,36.0,18.0,34.0,17.0,37.0,5.0,5.0,12.0,15.0,28.0,0.0,17.0,24.0,20.0,3.0,2.0,928.0,1116.0,0.0,0.0
Def,30.0,74.0,53.0,104.0,15.0,77.0,32.0,9.0,20.0,8.0,26.0,11.0,4.0,8.0,16.0,6.0,47.0,39.0,14.0,4.0,3.0,24.0,16.0,7.0,3.0,3.0,11.0,11.0,0.0,0.0,675.0,813.0,0.0,0.0
Erros,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0
