Jogador,Cristiano Biraghi,Pietro Terracciano,Dodô,Lucas Martínez Quarta,Jonathan Ikone,Sofyan Amrabat,Nikola Milenković,Igor,Rolando Mandragora,Christian Kouamé,Giacomo Bonaventura,Antonín Barák,Luka Jović,Arthur Cabral,Riccardo Saponara,Nicolás González,Alfred Duncan,Lorenzo Venuti,Riccardo Sottil,Aleksa Terzić,Gaetano Castrovilli,Luca Ranieri,Michele Cerofolini,Youssef Maleh,Pierluigi Gollini,Alessandro Bianco,Josip Brekalo,Marco Benassi,Salvatore Sirigu,Szymon Żurkowski,Lorenzo Amatucci,Filippo Distefano,Costantino Favasuli,Michael Kayode,Dimo Krastev,Tommaso Martinelli,Matija Nastasić,Tommaso Vannucchi
Pos.,ZG,G,ZG,ZG,AT,LT,ZG,ZG,LT,AT,LT,LT,"AT,LT",AT,AT,"AT,LT",LT,ZG,AT,ZG,LT,ZG,G,LT,G,LT,"AT,LT",ZG,G,LT,LT,AT,LT,ZG,LT,G,ZG,G
G+A.1,21.0,0.0,15.0,8.0,36.0,5.0,13.0,0.0,28.0,39.0,28.0,10.0,53.0,57.0,52.0,47.0,8.0,10.0,22.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,7.0,0.0,4.0,4.0,18.0,0.0,8.0,0.0,9.0,19.0,24.0,10.0,35.0,38.0,30.0,27.0,8.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,21.0,0.0,15.0,8.0,36.0,5.0,13.0,0.0,28.0,39.0,28.0,10.0,53.0,44.0,52.0,33.0,8.0,10.0,22.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,7.0,0.0,3.0,10.0,18.0,2.0,8.0,2.0,7.0,26.0,20.0,13.0,46.0,49.0,21.0,45.0,4.0,4.0,11.0,4.0,15.0,1.0,0.0,17.0,0.0,4.0,26.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,19.0,0.0,9.0,2.0,17.0,5.0,2.0,1.0,23.0,18.0,15.0,8.0,9.0,5.0,26.0,9.0,5.0,5.0,12.0,18.0,14.0,2.0,0.0,20.0,0.0,1.0,20.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,26.0,0.0,11.0,13.0,35.0,7.0,10.0,3.0,30.0,43.0,35.0,21.0,55.0,54.0,46.0,53.0,9.0,9.0,23.0,22.0,29.0,3.0,0.0,36.0,0.0,5.0,46.0,9.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,4.0,0.0,3.0,10.0,18.0,2.0,8.0,2.0,7.0,26.0,20.0,13.0,42.0,39.0,21.0,36.0,4.0,4.0,11.0,4.0,15.0,1.0,0.0,17.0,0.0,4.0,26.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,23.0,0.0,11.0,13.0,35.0,7.0,10.0,3.0,30.0,43.0,35.0,21.0,51.0,44.0,46.0,45.0,9.0,9.0,23.0,22.0,29.0,3.0,0.0,36.0,0.0,5.0,46.0,9.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,65.0,2.0,40.0,80.0,16.0,39.0,40.0,43.0,42.0,27.0,35.0,21.0,6.0,9.0,10.0,17.0,18.0,18.0,4.0,16.0,10.0,9.0,0.0,3.0,1.0,5.0,2.0,3.0,0.0,0.0,581.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,38.0,1.0,22.0,48.0,8.0,24.0,25.0,29.0,24.0,18.0,23.0,9.0,3.0,2.0,5.0,10.0,10.0,7.0,3.0,9.0,8.0,4.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,337.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,29.0,2.0,20.0,44.0,5.0,15.0,20.0,21.0,12.0,8.0,14.0,5.0,1.0,1.0,3.0,3.0,0.0,6.0,2.0,9.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,232.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,29.0,0.0,14.0,32.0,6.0,17.0,17.0,18.0,22.0,10.0,15.0,7.0,4.0,4.0,6.0,10.0,17.0,11.0,0.0,4.0,7.0,3.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,260.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,7.0,0.0,6.0,4.0,5.0,7.0,3.0,4.0,8.0,9.0,6.0,9.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,89.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,32.0,2.0,22.0,42.0,5.0,16.0,18.0,20.0,23.0,7.0,24.0,6.0,2.0,4.0,5.0,5.0,10.0,11.0,2.0,11.0,2.0,6.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,282.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,65.0,3.0,46.0,61.0,14.0,29.0,27.0,27.0,52.0,14.0,37.0,16.0,8.0,8.0,9.0,16.0,21.0,18.0,5.0,21.0,9.0,9.0,0.0,4.0,1.0,3.0,4.0,4.0,0.0,0.0,531.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,492.0,667.0,478.0,689.0,357.0,552.0,667.0,741.0,442.0,500.0,649.0,375.0,250.0,500.0,556.0,313.0,476.0,611.0,400.0,524.0,222.0,667.0,0.0,0.0,1000.0,667.0,250.0,750.0,0.0,0.0,531.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,33.0,1.0,24.0,19.0,9.0,13.0,9.0,7.0,29.0,7.0,13.0,10.0,6.0,4.0,4.0,11.0,11.0,7.0,3.0,10.0,7.0,3.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,249.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,32.0,0.0,26.0,41.0,18.0,23.0,27.0,33.0,25.0,15.0,14.0,16.0,7.0,10.0,7.0,14.0,9.0,7.0,2.0,13.0,5.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,356.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,7.0,0.0,2.0,19.0,1.0,5.0,14.0,14.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,25.0,0.0,24.0,22.0,17.0,18.0,13.0,19.0,22.0,12.0,14.0,14.0,5.0,9.0,6.0,14.0,9.0,5.0,2.0,9.0,4.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,272.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,14.0,1.0,25.0,48.0,4.0,21.0,22.0,25.0,16.0,12.0,16.0,3.0,2.0,1.0,5.0,4.0,8.0,5.0,0.0,5.0,8.0,11.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,260.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,79.0,3.0,65.0,128.0,20.0,60.0,62.0,68.0,58.0,39.0,51.0,24.0,8.0,10.0,15.0,21.0,26.0,23.0,4.0,21.0,18.0,20.0,1.0,4.0,1.0,5.0,3.0,4.0,0.0,0.0,841.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,42.0,14.0,37.0,78.0,3.0,18.0,72.0,56.0,21.0,8.0,5.0,13.0,10.0,12.0,9.0,6.0,6.0,17.0,0.0,16.0,5.0,15.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,473.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
