Jogador,Fabio Lucioni,Morten Hjulmand,Massimo Coda,Gabriel Strefezza,Gabriel,Mario Gargiulo,Francesco Di Mariano,Valentin Gendrey,Žan Majer,Antonino Gallo,Alessandro Tuia,Antonio Barreca,Arturo Calabresi,Kastriot Dermaku,Alexis Blin,Þórir Jóhann Helgason,Marco Olivieri,John Björkengren,Marcin Listkowski,Pablo Rodríguez,Marco Bleve,Antonino Ragusa,Biagio Meccariello,Alessandro Plizzari,Paolo Faragò,Lorenco Šimić,Brayan Vera,Brynjar Ingi Bjarnason,Luca Paganini,Raúl Asencio,Alexandru Borbei,Catalin Burnete,Alberto Dima,Mattia Felici,Orlando Gill,Joan Gonzàlez,Emin Hasic,Ilario Monterisi,Jasper Samooja
Pos.,ZG,LT,AT,"AT,LT",G,LT,"AT,LT",ZG,LT,ZG,ZG,ZG,ZG,ZG,LT,LT,AT,LT,"AT,LT","AT,LT",G,"AT,LT",ZG,G,LT,ZG,ZG,ZG,"AT,LT","AT,LT",G,0,G,LT,LT,LT,ZG,ZG,G
Terço Def,21.0,37.0,1.0,28.0,0.0,8.0,13.0,30.0,9.0,23.0,18.0,10.0,29.0,4.0,8.0,1.0,1.0,5.0,4.0,3.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,263.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,22.0,39.0,10.0,27.0,0.0,10.0,11.0,11.0,21.0,11.0,11.0,11.0,17.0,8.0,12.0,1.0,0.0,4.0,2.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,243.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,2.0,12.0,4.0,12.0,0.0,9.0,2.0,5.0,3.0,4.0,1.0,3.0,7.0,0.0,5.0,6.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,90.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,10.0,35.0,3.0,26.0,0.0,9.0,9.0,12.0,7.0,17.0,7.0,10.0,27.0,2.0,10.0,3.0,1.0,3.0,1.0,3.0,0.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,210.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,22.0,51.0,23.0,55.0,1.0,20.0,20.0,25.0,14.0,31.0,19.0,18.0,47.0,4.0,23.0,10.0,7.0,8.0,2.0,7.0,0.0,12.0,8.0,0.0,5.0,2.0,2.0,0.0,1.0,4.0,441.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,455.0,686.0,130.0,473.0,0.0,450.0,450.0,480.0,500.0,548.0,368.0,556.0,574.0,500.0,435.0,300.0,143.0,375.0,500.0,429.0,0.0,583.0,500.0,0.0,400.0,0.0,0.0,0.0,0.0,500.0,476.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,12.0,16.0,20.0,29.0,1.0,11.0,11.0,13.0,7.0,14.0,12.0,8.0,20.0,2.0,13.0,7.0,6.0,5.0,1.0,4.0,0.0,5.0,4.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,231.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,27.0,66.0,17.0,50.0,1.0,20.0,23.0,26.0,27.0,12.0,6.0,9.0,25.0,18.0,13.0,9.0,2.0,9.0,5.0,4.0,0.0,6.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,384.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,14.0,21.0,4.0,3.0,0.0,4.0,2.0,3.0,2.0,5.0,2.0,1.0,5.0,14.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,92.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,13.0,45.0,13.0,47.0,1.0,16.0,21.0,23.0,25.0,7.0,4.0,8.0,20.0,4.0,12.0,5.0,2.0,6.0,4.0,4.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,292.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,47.0,54.0,5.0,26.0,3.0,12.0,18.0,27.0,9.0,28.0,48.0,22.0,31.0,21.0,10.0,7.0,1.0,4.0,5.0,0.0,0.0,3.0,19.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,409.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,92.0,142.0,20.0,93.0,3.0,39.0,44.0,73.0,42.0,66.0,78.0,46.0,84.0,33.0,35.0,15.0,2.0,15.0,13.0,10.0,0.0,13.0,28.0,0.0,6.0,6.0,1.0,0.0,0.0,4.0,1005.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,116.0,70.0,16.0,12.0,22.0,23.0,5.0,41.0,10.0,36.0,58.0,24.0,37.0,54.0,10.0,5.0,0.0,7.0,2.0,2.0,1.0,6.0,21.0,3.0,1.0,9.0,1.0,0.0,4.0,0.0,596.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
