Jogador,Bartłomiej Drągowski,Nikola Milenković,Dušan Vlahović,Germán Pezzella,Cristiano Biraghi,Gaetano Castrovilli,Sofyan Amrabat,Franck Ribéry,Giacomo Bonaventura,Martín Cáceres,Erick Pulgar,Lorenzo Venuti,Lucas Martínez Quarta,Igor,Christian Kouamé,Valentin Eysseric,José Callejón,Pol Lirola,Borja Valero,Federico Ceccherini,Federico Chiesa,Pietro Terracciano,Kévin Malcuit,Alfred Duncan,Maximiliano Olivera,Antonio Barreca,Patrick Cutrone,Aleksandr Kokorin,Riccardo Saponara,Cristóbal Montiel,Alessandro Bianco,Federico Brancolini,Lorenzo Chiti,Christian Dalle Mura,Eduard Dutu,Julián Illanes,Dimo Krastev,Louis Munteanu,Fabio Ponsi,Jacopo Ricco,Antonio Rosati
Pos.,G,ZG,AT,ZG,ZG,LT,LT,AT,LT,ZG,LT,ZG,ZG,ZG,AT,"LT,AT","AT,LT","ZG,AT","LT,AT",ZG,ZG,G,ZG,LT,ZG,ZG,AT,"AT,LT",LT,"LT,AT",LT,G,ZG,ZG,AT,ZG,LT,AT,ZG,G,G
xG.1,0.0,12.0,57.0,4.0,6.0,11.0,2.0,11.0,11.0,7.0,4.0,1.0,9.0,2.0,29.0,16.0,6.0,2.0,5.0,0.0,31.0,0.0,3.0,2.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,2.0,7.0,2.0,22.0,10.0,2.0,24.0,12.0,5.0,8.0,10.0,2.0,1.0,10.0,7.0,15.0,12.0,1.0,0.0,26.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,13.0,64.0,6.0,28.0,21.0,4.0,35.0,23.0,12.0,12.0,11.0,11.0,3.0,39.0,23.0,20.0,14.0,6.0,0.0,57.0,0.0,6.0,3.0,0.0,16.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,12.0,43.0,4.0,6.0,11.0,2.0,11.0,11.0,7.0,4.0,1.0,9.0,2.0,29.0,16.0,6.0,2.0,5.0,0.0,31.0,0.0,3.0,2.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,13.0,49.0,6.0,28.0,21.0,4.0,35.0,23.0,12.0,12.0,11.0,11.0,3.0,39.0,23.0,20.0,14.0,6.0,0.0,57.0,0.0,6.0,3.0,0.0,16.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,1.0,49.0,13.0,34.0,42.0,33.0,39.0,24.0,34.0,28.0,41.0,24.0,32.0,15.0,9.0,14.0,10.0,13.0,13.0,4.0,6.0,0.0,5.0,3.0,2.0,1.0,4.0,1.0,2.0,0.0,496.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,0.0,29.0,4.0,20.0,23.0,19.0,22.0,11.0,19.0,12.0,18.0,11.0,20.0,9.0,4.0,8.0,7.0,8.0,9.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,263.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,1.0,33.0,3.0,22.0,19.0,15.0,11.0,4.0,16.0,16.0,17.0,14.0,17.0,9.0,2.0,6.0,0.0,8.0,7.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,228.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,14.0,4.0,12.0,15.0,11.0,24.0,9.0,13.0,11.0,23.0,7.0,11.0,6.0,4.0,7.0,6.0,2.0,4.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,198.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,2.0,6.0,0.0,8.0,7.0,4.0,11.0,5.0,1.0,1.0,3.0,4.0,0.0,3.0,1.0,4.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,1.0,21.0,5.0,18.0,27.0,11.0,18.0,5.0,16.0,15.0,22.0,14.0,18.0,7.0,4.0,5.0,5.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,229.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,1.0,33.0,16.0,32.0,45.0,42.0,48.0,29.0,53.0,35.0,49.0,28.0,41.0,12.0,12.0,11.0,9.0,12.0,15.0,1.0,8.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,544.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,1000.0,636.0,313.0,563.0,600.0,262.0,375.0,172.0,302.0,429.0,449.0,500.0,439.0,583.0,333.0,455.0,556.0,500.0,200.0,1000.0,375.0,0.0,0.0,0.0,1000.0,1000.0,500.0,0.0,333.0,0.0,421.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,0.0,12.0,11.0,14.0,18.0,31.0,30.0,24.0,37.0,20.0,27.0,14.0,23.0,5.0,8.0,6.0,4.0,6.0,12.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,315.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,42.0,16.0,26.0,23.0,25.0,30.0,11.0,26.0,20.0,24.0,18.0,27.0,17.0,9.0,11.0,4.0,6.0,6.0,6.0,3.0,0.0,5.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,362.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,33.0,2.0,14.0,9.0,2.0,5.0,2.0,2.0,14.0,10.0,3.0,9.0,9.0,1.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,127.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,9.0,14.0,12.0,14.0,23.0,25.0,9.0,24.0,6.0,14.0,15.0,18.0,8.0,8.0,11.0,3.0,3.0,5.0,1.0,2.0,0.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,235.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,1.0,44.0,4.0,36.0,27.0,34.0,23.0,3.0,39.0,14.0,41.0,17.0,39.0,23.0,5.0,7.0,4.0,6.0,6.0,7.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,388.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,2.0,93.0,17.0,70.0,69.0,67.0,62.0,27.0,73.0,42.0,82.0,41.0,71.0,38.0,14.0,21.0,14.0,19.0,19.0,11.0,7.0,0.0,8.0,5.0,2.0,1.0,5.0,1.0,3.0,0.0,884.0,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,13.0,122.0,15.0,109.0,56.0,14.0,12.0,1.0,12.0,52.0,45.0,24.0,48.0,34.0,4.0,8.0,5.0,9.0,2.0,15.0,3.0,1.0,6.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,619.0,753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
