Jogador,Marco Silvestri,Walace,Roberto Pereyra,Nehuén Pérez,Jaka Bijol,Destiny Udogie,Rodrigo Becão,Sandi Lovrić,Beto,Isaac Success,Lazar Samardzic,Kingsley Ehizibue,Gerard Deulofeu,Tolgay Arslan,Jean-Victor Makengo,Enzo Ebosse,Adam Masina,Ilija Nestorovski,Florian Thauvin,Festy Ebosele,Marvin Zeegelaar,Bram Nuytinck,Brandon Soppy,Axel Guessand,James Abankwah,Simone Pafundi,Mato Jajalo,Vivaldo Semedo,Nicolò Cocetta,Leonardo Buta,Matteo Bassi,Filip Benković,Riccardo Castagnaviz,Alberto Centis,Daniele Padelli,Martin Palumbo,Edoardo Piana,Diego Russo
Pos.,G,LT,"ZG,LT",ZG,ZG,ZG,ZG,LT,AT,AT,LT,ZG,AT,LT,LT,ZG,ZG,"AT,LT","AT,LT",ZG,ZG,ZG,ZG,ZG,ZG,"LT,AT",LT,"AT,LT",ZG,ZG,LT,ZG,LT,LT,G,LT,G,LT
G+A-PB,0.0,3.0,38.0,6.0,16.0,23.0,11.0,42.0,42.0,35.0,44.0,12.0,59.0,7.0,11.0,0.0,23.0,42.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,3.0,15.0,3.0,7.0,10.0,5.0,18.0,46.0,17.0,12.0,12.0,38.0,16.0,4.0,1.0,1.0,23.0,11.0,4.0,5.0,1.0,7.0,0.0,0.0,9.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,5.0,18.0,2.0,5.0,14.0,2.0,12.0,11.0,20.0,18.0,6.0,33.0,12.0,5.0,0.0,2.0,7.0,17.0,19.0,4.0,0.0,19.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,8.0,33.0,5.0,13.0,24.0,8.0,31.0,57.0,36.0,30.0,17.0,70.0,29.0,9.0,1.0,3.0,29.0,29.0,24.0,9.0,1.0,27.0,0.0,0.0,25.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,3.0,13.0,3.0,7.0,10.0,5.0,18.0,43.0,17.0,12.0,12.0,38.0,16.0,4.0,1.0,1.0,23.0,11.0,4.0,5.0,1.0,7.0,0.0,0.0,9.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,8.0,30.0,5.0,13.0,24.0,8.0,31.0,53.0,36.0,30.0,17.0,70.0,29.0,9.0,1.0,3.0,29.0,29.0,24.0,9.0,1.0,27.0,0.0,0.0,25.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,2.0,82.0,36.0,77.0,39.0,71.0,70.0,40.0,16.0,8.0,33.0,47.0,8.0,29.0,16.0,15.0,10.0,7.0,2.0,15.0,8.0,7.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,651.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,1.0,39.0,20.0,40.0,23.0,45.0,36.0,18.0,9.0,4.0,16.0,31.0,5.0,18.0,13.0,9.0,7.0,3.0,1.0,10.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,365.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,2.0,42.0,21.0,54.0,32.0,42.0,50.0,16.0,0.0,2.0,9.0,28.0,5.0,13.0,7.0,11.0,7.0,2.0,0.0,8.0,6.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,363.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,31.0,12.0,20.0,7.0,24.0,17.0,16.0,9.0,5.0,20.0,13.0,1.0,15.0,7.0,4.0,3.0,1.0,2.0,7.0,2.0,4.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,228.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
