Jogador,Danilo,Filip Kostić,Adrien Rabiot,Gleison Bremer,Manuel Locatelli,Wojciech Szczęsny,Juan Cuadrado,Dušan Vlahović,Alex Sandro,Arkadiusz Milik,Nicolò Fagioli,Federico Gatti,Ángel Di María,Fabio Miretti,Weston McKennie,Mattia De Sciglio,Moise Kean,Mattia Perin,Leonardo Bonucci,Leandro Paredes,Federico Chiesa,Daniele Rugani,Matìas Soulé,Enzo Barrenechea,Tommaso Barbieri,Samuel Iling-Junior,Denis Zakaria,Paul Pogba,Nicolò Rovella,Mattia Compagnon,Cosimo Marco Da Graca,Giovanni Garofani,Carlo Pinsoglio,Alessandro Riccio,Simone Scaglia,Nikola Sekulov,Alessandro Sersanti
Pos.,ZG,"ZG,AT",LT,ZG,LT,G,"ZG,AT",AT,ZG,AT,LT,ZG,"AT,LT","LT,AT","LT,ZG",ZG,AT,G,ZG,LT,"ZG,LT",ZG,"LT,AT",LT,ZG,"ZG,AT",LT,"LT,AT",LT,LT,AT,G,G,ZG,G,LT,LT
Terço Central,23.0,20.0,23.0,5.0,23.0,0.0,13.0,7.0,16.0,8.0,15.0,4.0,5.0,6.0,9.0,3.0,5.0,0.0,4.0,11.0,6.0,1.0,2.0,4.0,0.0,1.0,4.0,0.0,1.0,219.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,8.0,4.0,11.0,1.0,10.0,0.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,10.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,79.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,52.0,21.0,30.0,19.0,30.0,0.0,27.0,4.0,15.0,2.0,8.0,9.0,3.0,12.0,5.0,9.0,3.0,0.0,2.0,10.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,0.0,1.0,288.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,73.0,47.0,57.0,26.0,53.0,1.0,65.0,10.0,22.0,8.0,27.0,15.0,19.0,29.0,8.0,14.0,7.0,0.0,4.0,22.0,14.0,4.0,7.0,5.0,8.0,9.0,2.0,1.0,1.0,558.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,712.0,447.0,526.0,731.0,566.0,0.0,415.0,400.0,682.0,250.0,296.0,600.0,158.0,414.0,625.0,643.0,429.0,0.0,500.0,455.0,357.0,1000.0,714.0,600.0,375.0,444.0,1000.0,0.0,1000.0,516.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,21.0,26.0,27.0,7.0,23.0,1.0,38.0,6.0,7.0,6.0,19.0,6.0,16.0,17.0,3.0,5.0,4.0,0.0,2.0,12.0,9.0,0.0,2.0,2.0,5.0,5.0,0.0,1.0,0.0,270.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,39.0,30.0,37.0,44.0,50.0,0.0,15.0,10.0,27.0,10.0,16.0,20.0,15.0,20.0,15.0,9.0,4.0,0.0,12.0,8.0,13.0,7.0,7.0,3.0,3.0,5.0,2.0,0.0,0.0,421.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,20.0,4.0,7.0,22.0,22.0,0.0,2.0,3.0,10.0,1.0,2.0,14.0,0.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,131.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,19.0,26.0,30.0,22.0,28.0,0.0,13.0,7.0,17.0,9.0,14.0,6.0,15.0,19.0,11.0,6.0,4.0,0.0,4.0,8.0,12.0,2.0,6.0,3.0,3.0,4.0,2.0,0.0,0.0,290.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,47.0,16.0,26.0,42.0,27.0,0.0,24.0,3.0,15.0,1.0,8.0,21.0,7.0,4.0,11.0,4.0,5.0,0.0,13.0,17.0,0.0,7.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,307.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,139.0,57.0,91.0,71.0,86.0,1.0,74.0,14.0,50.0,13.0,37.0,36.0,17.0,28.0,25.0,18.0,13.0,0.0,18.0,36.0,22.0,14.0,10.0,10.0,3.0,9.0,8.0,0.0,1.0,901.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,114.0,32.0,44.0,120.0,59.0,7.0,32.0,8.0,64.0,14.0,7.0,54.0,0.0,11.0,15.0,20.0,2.0,0.0,29.0,22.0,1.0,32.0,3.0,3.0,2.0,6.0,1.0,2.0,0.0,704.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
