Jogador,Andrea Pinamonti,Andrea Consigli,Armand Lauriente,Martin Erlic,Kristian Thorstvedt,Matheus Henrique,Gian Marco Ferrari,Jeremy Toljan,Daniel Boloca,Domenico Berardi,Marcus Pedersen,Ruan,Josh Doig,Nedim Bajrami,Matías Viña,Mattia Viti,Uroš Račić,Grégoire Defrel,Samu Castillejo,Cristian Volpato,Pedro Obiang,Luca Lipani,Marash Kumbulla,Alessio Cragno,Filippo Missori,Maxime Lopez,Samuele Mulattieri,Emil Ceide,Kevin Miranda,Justin Kumi,Salim Abubakar,Agustín Álvarez Martínez,Matteo Falasca,Seb Loeffen,Yeferson Paz,Gianluca Pegolo,Alessandro Scacchetti,Daniel Theiner
Pos.,AT,G,AT,ZG,LT,LT,ZG,ZG,LT,AT,ZG,ZG,ZG,"LT,AT",ZG,ZG,LT,"AT,LT","AT,LT","LT,AT",LT,LT,ZG,G,ZG,LT,"AT,LT","AT,LT",ZG,AT,LT,AT,ZG,ZG,ZG,G,G,G
Terço Central,6.0,0.0,14.0,8.0,28.0,18.0,11.0,4.0,25.0,9.0,5.0,10.0,9.0,3.0,7.0,7.0,4.0,5.0,5.0,6.0,4.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,198.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,6.0,0.0,9.0,3.0,5.0,4.0,0.0,1.0,5.0,1.0,6.0,4.0,0.0,4.0,5.0,3.0,0.0,5.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,5.0,0.0,13.0,20.0,22.0,18.0,12.0,9.0,27.0,2.0,21.0,10.0,15.0,5.0,20.0,10.0,0.0,7.0,7.0,9.0,2.0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,245.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,22.0,0.0,44.0,30.0,44.0,43.0,18.0,15.0,46.0,21.0,25.0,18.0,27.0,13.0,36.0,22.0,9.0,15.0,19.0,25.0,10.0,11.0,2.0,0.0,11.0,2.0,2.0,1.0,0.0,0.0,531.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,227.0,0.0,295.0,667.0,500.0,419.0,667.0,600.0,587.0,95.0,840.0,556.0,556.0,385.0,556.0,455.0,0.0,467.0,368.0,360.0,200.0,273.0,500.0,0.0,364.0,500.0,500.0,1000.0,0.0,0.0,461.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,17.0,0.0,31.0,10.0,22.0,25.0,6.0,6.0,19.0,19.0,4.0,8.0,12.0,8.0,16.0,12.0,9.0,8.0,12.0,16.0,8.0,8.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,286.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,19.0,1.0,29.0,31.0,25.0,18.0,28.0,17.0,23.0,17.0,19.0,18.0,31.0,5.0,12.0,20.0,16.0,10.0,16.0,7.0,6.0,9.0,8.0,0.0,3.0,1.0,7.0,6.0,0.0,0.0,402.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,2.0,0.0,4.0,16.0,9.0,8.0,17.0,5.0,13.0,0.0,5.0,15.0,10.0,1.0,2.0,10.0,7.0,0.0,1.0,0.0,4.0,2.0,6.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,143.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,17.0,1.0,25.0,15.0,16.0,10.0,11.0,12.0,10.0,17.0,14.0,3.0,21.0,4.0,10.0,10.0,9.0,10.0,15.0,7.0,2.0,7.0,2.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,259.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,1.0,1.0,15.0,28.0,21.0,25.0,25.0,16.0,14.0,13.0,10.0,24.0,16.0,6.0,9.0,10.0,7.0,3.0,1.0,1.0,8.0,6.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,267.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,14.0,1.0,46.0,65.0,61.0,68.0,47.0,29.0,62.0,30.0,46.0,49.0,41.0,19.0,43.0,34.0,17.0,20.0,13.0,17.0,16.0,15.0,3.0,0.0,10.0,4.0,2.0,2.0,0.0,0.0,774.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,40.0,19.0,11.0,128.0,36.0,31.0,76.0,49.0,33.0,9.0,51.0,68.0,38.0,8.0,34.0,44.0,22.0,9.0,3.0,5.0,10.0,7.0,22.0,3.0,8.0,0.0,2.0,0.0,1.0,0.0,767.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
