Jogador,Leo Štulac,Alberto Brignoli,Leonardo Mancuso,Simone Romagnoli,Nicolas Haas,Dimitris Nikolaou,Nedim Bajrami,Riccardo Fiamozzi,Andrea La Mantia,Nicolò Casale,Samuele Ricci,Fabiano Parisi,Aleksa Terzić,Szymon Żurkowski,Filippo Bandinelli,Stefano Moreo,Ryder Matos,Stefano Sabelli,Marco Olivieri,Jacopo Furlan,Giovanni Crociata,Samuele Damiani,Andrea Cambiaso,Roberto Pirrello,Mattia Viti,Kevin Piscopo,Tommaso Fantacci,Luca Antonelli,Kristjan Asllani,Tommaso Baldanzi,Luca Belardinelli,Valerio Biagini,Davide Merola,Leandro Pratelli,Ivan Provedel,Davide Zappella
Pos.,LT,G,AT,ZG,LT,ZG,LT,ZG,AT,ZG,LT,ZG,ZG,LT,LT,"LT,AT",AT,ZG,AT,G,LT,LT,ZG,"ZG,AT",ZG,AT,LT,"ZG,LT",LT,LT,LT,G,AT,G,G,ZG
npxG+xAG.1,26.0,0.0,61.0,7.0,29.0,1.0,51.0,12.0,75.0,11.0,24.0,21.0,11.0,21.0,27.0,47.0,55.0,18.0,40.0,0.0,40.0,17.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,62.0,0.0,8.0,24.0,63.0,24.0,13.0,16.0,10.0,35.0,36.0,30.0,33.0,32.0,19.0,18.0,6.0,22.0,3.0,1.0,5.0,4.0,2.0,4.0,1.0,0.0,0.0,471.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,40.0,0.0,3.0,13.0,37.0,20.0,6.0,9.0,7.0,23.0,20.0,17.0,19.0,16.0,8.0,9.0,3.0,14.0,2.0,1.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,280.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,18.0,0.0,1.0,17.0,20.0,19.0,2.0,9.0,1.0,21.0,16.0,15.0,25.0,12.0,10.0,3.0,3.0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,204.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,36.0,0.0,5.0,7.0,36.0,4.0,5.0,5.0,7.0,11.0,16.0,10.0,7.0,13.0,6.0,13.0,2.0,11.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,202.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,8.0,0.0,2.0,0.0,7.0,1.0,6.0,2.0,2.0,3.0,4.0,5.0,1.0,7.0,3.0,2.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,31.0,0.0,4.0,7.0,24.0,9.0,1.0,10.0,2.0,14.0,11.0,8.0,20.0,14.0,10.0,4.0,3.0,7.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,190.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,48.0,0.0,19.0,15.0,61.0,9.0,7.0,12.0,6.0,20.0,18.0,22.0,36.0,29.0,21.0,12.0,9.0,14.0,2.0,1.0,8.0,9.0,3.0,3.0,1.0,0.0,0.0,385.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,646.0,0.0,211.0,467.0,393.0,1000.0,143.0,833.0,333.0,700.0,611.0,364.0,556.0,483.0,476.0,333.0,333.0,500.0,0.0,1000.0,375.0,444.0,333.0,667.0,0.0,0.0,0.0,494.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,17.0,0.0,15.0,8.0,37.0,0.0,6.0,2.0,4.0,6.0,7.0,14.0,16.0,15.0,11.0,8.0,6.0,7.0,2.0,0.0,5.0,5.0,2.0,1.0,1.0,0.0,0.0,195.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,22.0,0.0,19.0,41.0,43.0,29.0,10.0,26.0,12.0,23.0,26.0,24.0,22.0,28.0,15.0,19.0,9.0,13.0,1.0,0.0,5.0,6.0,2.0,1.0,2.0,0.0,0.0,398.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,6.0,0.0,1.0,30.0,6.0,24.0,0.0,13.0,2.0,8.0,2.0,3.0,5.0,3.0,4.0,5.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,122.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,16.0,0.0,18.0,11.0,37.0,5.0,10.0,13.0,10.0,15.0,24.0,21.0,17.0,25.0,11.0,14.0,7.0,9.0,1.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,276.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,37.0,0.0,7.0,47.0,38.0,29.0,9.0,22.0,8.0,30.0,19.0,26.0,30.0,20.0,13.0,13.0,2.0,17.0,3.0,0.0,5.0,5.0,2.0,4.0,1.0,0.0,0.0,387.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,99.0,0.0,15.0,71.0,101.0,53.0,22.0,38.0,18.0,65.0,55.0,56.0,63.0,52.0,32.0,31.0,8.0,39.0,6.0,1.0,10.0,9.0,4.0,8.0,2.0,0.0,0.0,858.0,1095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,30.0,22.0,12.0,125.0,26.0,116.0,3.0,35.0,20.0,69.0,14.0,37.0,37.0,15.0,14.0,27.0,4.0,29.0,6.0,1.0,2.0,9.0,1.0,2.0,4.0,0.0,0.0,660.0,897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
