Jogador,Marten de Roon,Remo Freuler,Robin Gosens,Cristian Romero,Rafael Tolói,Duván Zapata,Berat Djimsiti,José Luis Palomino,Pierluigi Gollini,Ruslan Malinovskyi,Matteo Pessina,Hans Hateboer,Josip Iličić,Luis Muriel,Marco Sportiello,Joakim Mæhle,Mario Pašalić,Papu Gómez,Aleksei Miranchuk,Johan Mojica,Bosko Sutalo,Matteo Ruggeri,Fabio Depaoli,Sam Lammers,Mattia Caldara,Cristiano Piccini,Amad Diallo,Davide Angelo Ghislandi,Viktor Kovalenko,Manu Gyabuaa,Marco Carnesecchi,Jacopo Da Riva,Ludovico Gelmi,Simone Panada,Boris Radunović,Francesco Rossi,Giorgio Scalvini
Pos.,LT,LT,ZG,ZG,ZG,AT,ZG,ZG,G,"LT,AT",LT,ZG,"LT,AT",AT,G,ZG,LT,"LT,AT","LT,AT",ZG,ZG,ZG,ZG,"AT,LT",ZG,ZG,LT,ZG,AT,LT,G,LT,G,LT,G,G,ZG
Terço Def,30.0,17.0,20.0,41.0,21.0,2.0,27.0,41.0,1.0,2.0,4.0,12.0,1.0,4.0,2.0,7.0,5.0,2.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,252.0,418.0,0.0,0.0,0.0,0.0,0.0
Terço Central,36.0,38.0,15.0,19.0,26.0,3.0,12.0,19.0,0.0,13.0,6.0,14.0,5.0,8.0,0.0,5.0,17.0,1.0,9.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,256.0,243.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,14.0,8.0,11.0,3.0,4.0,7.0,2.0,7.0,0.0,4.0,4.0,2.0,3.0,8.0,0.0,6.0,4.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,55.0,0.0,0.0,0.0,0.0,0.0
Div.1,36.0,32.0,17.0,27.0,26.0,4.0,17.0,24.0,1.0,8.0,7.0,13.0,5.0,9.0,1.0,8.0,12.0,2.0,6.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,265.0,310.0,0.0,0.0,0.0,0.0,0.0
Tent,84.0,76.0,41.0,49.0,48.0,13.0,34.0,48.0,2.0,23.0,24.0,23.0,21.0,26.0,3.0,19.0,19.0,8.0,9.0,3.0,5.0,3.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,591.0,706.0,0.0,0.0,0.0,0.0,0.0
Tkl%,429.0,421.0,415.0,551.0,542.0,308.0,500.0,500.0,500.0,348.0,292.0,565.0,238.0,346.0,333.0,421.0,632.0,250.0,667.0,667.0,800.0,667.0,500.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,448.0,439.0,0.0,0.0,0.0,0.0,0.0
Perdido,48.0,44.0,24.0,22.0,22.0,9.0,17.0,24.0,1.0,15.0,17.0,10.0,16.0,17.0,2.0,11.0,7.0,6.0,3.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,326.0,396.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,44.0,52.0,50.0,31.0,37.0,19.0,34.0,30.0,1.0,16.0,17.0,8.0,12.0,17.0,0.0,17.0,12.0,8.0,1.0,3.0,2.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,421.0,494.0,0.0,0.0,0.0,0.0,0.0
TC,9.0,4.0,7.0,13.0,7.0,5.0,20.0,16.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,92.0,151.0,0.0,0.0,0.0,0.0,0.0
Passe,35.0,48.0,43.0,18.0,30.0,14.0,14.0,14.0,1.0,15.0,15.0,7.0,12.0,17.0,0.0,15.0,11.0,7.0,1.0,3.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,329.0,343.0,0.0,0.0,0.0,0.0,0.0
Crts,69.0,39.0,41.0,96.0,33.0,6.0,62.0,79.0,1.0,2.0,17.0,17.0,2.0,7.0,2.0,11.0,8.0,1.0,3.0,7.0,2.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,516.0,528.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,149.0,102.0,87.0,159.0,84.0,18.0,103.0,146.0,2.0,21.0,31.0,45.0,11.0,27.0,4.0,29.0,34.0,4.0,27.0,11.0,7.0,7.0,6.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1122.0,1244.0,0.0,0.0,0.0,0.0,0.0
Def,40.0,27.0,34.0,71.0,66.0,19.0,89.0,60.0,11.0,4.0,7.0,9.0,0.0,4.0,5.0,5.0,6.0,1.0,1.0,6.0,7.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,484.0,717.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0
