Jogador,Lorenzo Montipò,Michael Folorunsho,Ondrej Duda,Giangiacomo Magnani,Paweł Dawidowicz,Tomáš Suslov,Darko Lazović,Jackson Tchatchoua,Suat Serdar,Diego Coppola,Juan David Cabal,Cyril Ngonge,Tijjani Noslin,Filippo Terracciano,Milan Đurić,Martin Hongla,Josh Doig,Federico Bonazzoli,Isak Hien,Fabien Centonze,Davide Faraoni,Bruno Amione,Jordi Mboula,Stefan Mitrović,Karol Świderski,Daniel Bandeira,Riccardo Saponara,Thomas Henry,Rúben Vinagre,Juan Cruz,Reda Belahyane,Simone Perilli,Elayis Tavsan,Charlys,Alphadjo Cissè,Yayah Kallon,Junior Ajayi,Alessandro Berardi,Nicolò Calabrese,Denis Cazzadori,Mattia Chiesa,Christian Corradi,Siren Diao,Joselito,Nicola Patanè,Giacomo Toniolo
Pos.,G,"LT,AT",LT,ZG,ZG,"LT,AT","AT,LT",ZG,LT,ZG,ZG,"AT,LT","AT,LT",ZG,AT,LT,ZG,"AT,LT",ZG,ZG,ZG,ZG,"AT,LT","AT,LT","AT,LT",LT,"AT,LT",AT,"ZG,AT","AT,LT",LT,G,"LT,AT",LT,AT,AT,AT,G,LT,AT,G,ZG,AT,LT,LT,G
TklW,1.0,28.0,39.0,18.0,30.0,30.0,16.0,26.0,39.0,22.0,27.0,9.0,8.0,19.0,0.0,13.0,9.0,1.0,10.0,8.0,10.0,3.0,4.0,3.0,3.0,5.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,387.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,1.0,21.0,17.0,23.0,33.0,11.0,11.0,25.0,24.0,25.0,19.0,5.0,5.0,23.0,0.0,9.0,9.0,1.0,10.0,10.0,5.0,9.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,22.0,35.0,10.0,18.0,22.0,6.0,12.0,23.0,9.0,14.0,3.0,7.0,6.0,0.0,13.0,7.0,3.0,7.0,4.0,6.0,2.0,2.0,5.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,245.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,7.0,7.0,0.0,2.0,9.0,9.0,2.0,4.0,2.0,3.0,6.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,1.0,23.0,31.0,15.0,17.0,15.0,16.0,23.0,22.0,20.0,18.0,5.0,6.0,17.0,0.0,8.0,13.0,1.0,10.0,5.0,7.0,4.0,4.0,2.0,2.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,293.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,3.0,57.0,52.0,25.0,29.0,47.0,31.0,48.0,45.0,33.0,29.0,14.0,16.0,31.0,3.0,11.0,17.0,8.0,19.0,10.0,10.0,5.0,7.0,5.0,3.0,7.0,7.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,578.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,333.0,404.0,596.0,600.0,586.0,319.0,516.0,479.0,489.0,606.0,621.0,357.0,375.0,548.0,0.0,727.0,765.0,125.0,526.0,500.0,700.0,800.0,571.0,400.0,667.0,429.0,143.0,0.0,750.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,507.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,2.0,34.0,21.0,10.0,12.0,32.0,15.0,25.0,23.0,13.0,11.0,9.0,10.0,14.0,3.0,3.0,4.0,7.0,9.0,5.0,3.0,1.0,3.0,3.0,1.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,285.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,45.0,29.0,50.0,17.0,15.0,10.0,17.0,29.0,26.0,30.0,7.0,17.0,24.0,0.0,8.0,12.0,9.0,12.0,14.0,9.0,4.0,4.0,6.0,6.0,3.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,12.0,12.0,28.0,9.0,0.0,1.0,7.0,7.0,9.0,9.0,1.0,2.0,6.0,0.0,3.0,3.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,33.0,17.0,22.0,8.0,15.0,9.0,10.0,22.0,17.0,21.0,6.0,15.0,18.0,0.0,5.0,9.0,8.0,7.0,12.0,4.0,2.0,3.0,5.0,2.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,17.0,26.0,45.0,24.0,6.0,6.0,23.0,20.0,27.0,26.0,4.0,2.0,20.0,1.0,7.0,4.0,3.0,7.0,10.0,6.0,9.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,302.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,1.0,67.0,85.0,78.0,77.0,48.0,32.0,62.0,71.0,63.0,62.0,18.0,20.0,50.0,2.0,31.0,20.0,7.0,24.0,24.0,19.0,20.0,5.0,6.0,8.0,9.0,3.0,0.0,5.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,923.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,25.0,44.0,21.0,118.0,114.0,8.0,14.0,49.0,25.0,89.0,55.0,10.0,14.0,17.0,13.0,24.0,17.0,3.0,33.0,18.0,21.0,19.0,0.0,4.0,8.0,9.0,2.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,784.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
