Jogador,Juan Musso,José Luis Palomino,Davide Zappacosta,Marten de Roon,Remo Freuler,Berat Djimsiti,Mario Pašalić,Teun Koopmeiners,Merih Demiral,Duván Zapata,Ruslan Malinovskyi,Matteo Pessina,Luis Muriel,Rafael Tolói,Hans Hateboer,Joakim Mæhle,Giuseppe Pezzella,Giorgio Scalvini,Josip Iličić,Aleksei Miranchuk,Jeremie Boga,Robin Gosens,Marco Sportiello,Matteo Lovato,Roberto Piccoli,Valentin Mihaila,Moustapha Cissé,Sam Lammers,Francesco Rossi,Tommaso De Nipoti,Alassane Sidibe,Giorgio Cittadini,Tommaso Bertini,Jacopo Da Riva,Matevz Dajcar,Enrico Del Prato,Samuel Giovane,Andrea Oliveri,Simone Panada,Guillaume Philippe Renault,Jacopo Sassi,Bosko Sutalo,Federico Zuccon
Pos.,G,ZG,ZG,"LT,ZG",LT,ZG,"LT,AT",LT,ZG,AT,"LT,AT","LT,AT","AT,LT",ZG,"ZG,LT","ZG,LT","ZG,LT","ZG,LT","LT,AT","LT,AT","AT,LT",ZG,G,ZG,AT,"LT,AT",AT,"AT,LT",G,AT,LT,ZG,G,LT,G,"ZG,LT",LT,LT,LT,LT,G,ZG,AT
npxG.1,0.0,7.0,8.0,7.0,5.0,7.0,39.0,7.0,11.0,58.0,19.0,15.0,33.0,7.0,9.0,13.0,5.0,16.0,25.0,16.0,12.0,33.0,0.0,1.0,39.0,4.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,8.0,23.0,8.0,10.0,14.0,65.0,29.0,15.0,81.0,52.0,24.0,68.0,10.0,15.0,19.0,13.0,26.0,61.0,48.0,26.0,40.0,0.0,5.0,50.0,4.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,1.0,78.0,32.0,69.0,69.0,43.0,27.0,40.0,31.0,6.0,18.0,27.0,15.0,38.0,22.0,21.0,28.0,22.0,7.0,11.0,7.0,7.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,630.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,1.0,40.0,22.0,42.0,39.0,24.0,12.0,24.0,17.0,2.0,10.0,14.0,4.0,15.0,14.0,11.0,13.0,11.0,7.0,7.0,3.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,341.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,1.0,42.0,12.0,33.0,22.0,21.0,8.0,10.0,18.0,0.0,3.0,10.0,2.0,12.0,10.0,6.0,15.0,13.0,3.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,252.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,33.0,13.0,29.0,33.0,20.0,13.0,19.0,12.0,4.0,10.0,11.0,7.0,15.0,8.0,9.0,7.0,8.0,2.0,7.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,271.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,3.0,7.0,7.0,14.0,2.0,6.0,11.0,1.0,2.0,5.0,6.0,6.0,11.0,4.0,6.0,6.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,107.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,0.0,32.0,19.0,34.0,30.0,29.0,12.0,22.0,15.0,4.0,5.0,14.0,3.0,24.0,11.0,12.0,8.0,9.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,0.0,50.0,37.0,62.0,70.0,46.0,30.0,54.0,28.0,8.0,19.0,33.0,19.0,39.0,26.0,27.0,18.0,19.0,17.0,12.0,6.0,8.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,635.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,0.0,640.0,514.0,548.0,429.0,630.0,400.0,407.0,536.0,500.0,263.0,424.0,158.0,615.0,423.0,444.0,444.0,474.0,235.0,333.0,667.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,0.0,18.0,18.0,28.0,40.0,17.0,18.0,32.0,13.0,4.0,14.0,19.0,16.0,15.0,15.0,15.0,10.0,10.0,13.0,8.0,2.0,4.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,336.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,43.0,32.0,36.0,48.0,21.0,27.0,31.0,26.0,8.0,27.0,22.0,12.0,23.0,11.0,18.0,13.0,12.0,6.0,3.0,6.0,4.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,21.0,2.0,2.0,8.0,11.0,6.0,2.0,14.0,1.0,3.0,3.0,0.0,11.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,22.0,30.0,34.0,40.0,10.0,21.0,29.0,12.0,7.0,24.0,19.0,12.0,12.0,10.0,16.0,8.0,11.0,5.0,3.0,6.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,100.0,12.0,45.0,35.0,31.0,20.0,15.0,58.0,3.0,5.0,13.0,4.0,26.0,7.0,14.0,9.0,22.0,3.0,1.0,1.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,441.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,1.0,178.0,44.0,114.0,104.0,74.0,47.0,55.0,89.0,9.0,23.0,40.0,19.0,64.0,29.0,35.0,37.0,44.0,10.0,12.0,8.0,16.0,0.0,12.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1071.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,17.0,80.0,22.0,41.0,26.0,56.0,14.0,19.0,68.0,5.0,1.0,7.0,5.0,35.0,20.0,13.0,16.0,16.0,1.0,7.0,3.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
