Jogador,Michele Di Gregorio,Carlos Augusto,Andrea Barberis,Giulio Donati,Pedro Pereira,Dany Mota,Mattia Valoti,Luca Caldirola,Luca Mazzitelli,Andrea Colpani,Marco D'Alessandro,Patrick Ciurria,Mario Sampirisi,Luca Marrone,Pepín,Christian Gytkjær,Salvatore Molina,Gabriel Paletta,Leonardo Mancuso,Samuele Vignato,Lorenzo Pirola,Valentin Antov,Matteo Scozzarella,Marco Brescianini,Davide Bettella,Andrea Favilli,Gastón Ramírez,Eugenio Lamanna,Antonino Barillà,Antonis Siatounis,Mattia Finotto,Giuseppe Bellusci,Andrea Mazza,Stefano Rubbi,Daniele Sommariva
Pos.,G,ZG,LT,ZG,ZG,AT,"LT,AT",ZG,LT,"LT,AT","ZG,AT","LT,AT",ZG,ZG,LT,AT,"ZG,LT",ZG,AT,AT,ZG,ZG,LT,LT,ZG,"AT,LT","LT,AT",G,LT,LT,AT,ZG,G,G,G
Div.1,0.0,19.0,24.0,20.0,15.0,5.0,21.0,9.0,16.0,10.0,14.0,6.0,6.0,12.0,15.0,6.0,8.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,229.0,289.0,0.0
Tent,0.0,35.0,54.0,42.0,23.0,16.0,47.0,17.0,42.0,23.0,20.0,15.0,13.0,22.0,36.0,11.0,19.0,17.0,4.0,3.0,3.0,1.0,1.0,2.0,6.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,481.0,597.0,0.0
Tkl%,0.0,543.0,444.0,476.0,652.0,313.0,447.0,529.0,381.0,435.0,700.0,400.0,462.0,545.0,417.0,545.0,421.0,647.0,0.0,667.0,667.0,0.0,0.0,0.0,833.0,0.0,667.0,0.0,0.0,0.0,0.0,1000.0,476.0,484.0,0.0
Perdido,0.0,16.0,30.0,22.0,8.0,11.0,26.0,8.0,26.0,13.0,6.0,9.0,7.0,10.0,21.0,5.0,11.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,252.0,308.0,0.0
Bloqueios,1.0,33.0,37.0,40.0,21.0,15.0,24.0,22.0,28.0,14.0,15.0,15.0,18.0,17.0,14.0,12.0,12.0,26.0,6.0,0.0,8.0,1.0,1.0,5.0,5.0,3.0,5.0,0.0,0.0,2.0,1.0,0.0,401.0,385.0,0.0
TC,0.0,6.0,3.0,14.0,4.0,2.0,4.0,13.0,11.0,2.0,2.0,3.0,7.0,9.0,4.0,1.0,7.0,17.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,119.0,112.0,0.0
Passe,1.0,27.0,34.0,26.0,17.0,13.0,20.0,9.0,17.0,12.0,13.0,12.0,11.0,8.0,10.0,11.0,5.0,9.0,6.0,0.0,3.0,0.0,1.0,5.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,282.0,273.0,0.0
Crts,0.0,51.0,34.0,47.0,19.0,3.0,25.0,27.0,33.0,4.0,7.0,4.0,27.0,24.0,14.0,3.0,13.0,26.0,1.0,0.0,7.0,3.0,3.0,2.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,386.0,402.0,0.0
Tkl+Int,0.0,98.0,105.0,92.0,41.0,18.0,79.0,47.0,74.0,30.0,34.0,19.0,41.0,54.0,47.0,15.0,31.0,54.0,1.0,2.0,14.0,5.0,4.0,7.0,15.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,935.0,997.0,0.0
Def,19.0,81.0,23.0,71.0,42.0,9.0,33.0,73.0,35.0,9.0,16.0,6.0,45.0,56.0,11.0,19.0,17.0,54.0,4.0,0.0,20.0,9.0,0.0,4.0,10.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,670.0,689.0,0.0
Erros,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0
