Jogador,Lorenzo Montipò,Adrien Tameze,Isak Hien,Darko Lazović,Fabio Depaoli,Paweł Dawidowicz,Giangiacomo Magnani,Davide Faraoni,Federico Ceccherini,Kevin Lasagna,Josh Doig,Milan Đurić,Miguel Veloso,Thomas Henry,Simone Verdi,Diego Coppola,Ondrej Duda,Koray Günter,Ivan Ilić,Cyril Ngonge,Yayah Kallon,Adolfo Gaich,Filippo Terracciano,Ibrahim Sulemana,Oliver Abildgaard,Martin Hongla,Juan David Cabal,Ajdin Hrustic,Jayden Braaf,Roberto Piccoli,Panagiotis Retsos,Simone Perilli,Bruno Amione,Antonín Barák,Deyovaisio Zeefuik,Alessandro Cortinovis,Alessandro Berardi,Davide Bragantini,Federico Caia,Denis Cazzadori,Mattia Chiesa,Alphadjo Cissè,Joselito,Mateusz Praszelik,Manuel Ravasio,Giacomo Toniolo
Pos.,G,LT,ZG,"LT,ZG",ZG,ZG,ZG,ZG,ZG,"AT,LT",ZG,AT,LT,AT,"LT,AT",ZG,LT,ZG,LT,"LT,AT","LT,AT",AT,"ZG,LT",LT,LT,LT,ZG,LT,"LT,AT",AT,ZG,G,ZG,LT,ZG,LT,G,AT,AT,AT,G,LT,LT,LT,G,G
Terço Central,0.0,26.0,19.0,12.0,16.0,17.0,11.0,13.0,9.0,3.0,7.0,0.0,12.0,1.0,5.0,10.0,12.0,8.0,7.0,2.0,4.0,3.0,7.0,7.0,3.0,4.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,228.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,4.0,0.0,3.0,7.0,3.0,2.0,2.0,1.0,2.0,6.0,1.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,0.0,28.0,38.0,13.0,25.0,22.0,19.0,16.0,13.0,6.0,6.0,1.0,16.0,1.0,6.0,11.0,9.0,4.0,6.0,3.0,7.0,1.0,15.0,6.0,7.0,5.0,7.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,296.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,3.0,63.0,61.0,29.0,44.0,31.0,25.0,41.0,23.0,14.0,16.0,3.0,26.0,5.0,17.0,24.0,16.0,7.0,11.0,11.0,12.0,6.0,20.0,12.0,16.0,5.0,12.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,562.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,0.0,444.0,623.0,448.0,568.0,710.0,760.0,390.0,565.0,429.0,375.0,333.0,615.0,200.0,353.0,458.0,563.0,571.0,545.0,273.0,583.0,167.0,750.0,500.0,438.0,1000.0,583.0,500.0,0.0,0.0,1000.0,0.0,500.0,0.0,0.0,0.0,527.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,3.0,35.0,23.0,16.0,19.0,9.0,6.0,25.0,10.0,8.0,10.0,2.0,10.0,4.0,11.0,13.0,7.0,3.0,5.0,8.0,5.0,5.0,5.0,6.0,9.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,266.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,1.0,51.0,40.0,14.0,32.0,14.0,20.0,30.0,17.0,17.0,25.0,7.0,26.0,6.0,8.0,20.0,11.0,24.0,10.0,7.0,10.0,7.0,7.0,8.0,7.0,7.0,8.0,2.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,445.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,14.0,17.0,3.0,6.0,9.0,15.0,11.0,10.0,1.0,6.0,4.0,6.0,2.0,1.0,6.0,0.0,15.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,143.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,1.0,37.0,23.0,11.0,26.0,5.0,5.0,19.0,7.0,16.0,19.0,3.0,20.0,4.0,7.0,14.0,11.0,9.0,9.0,7.0,10.0,5.0,3.0,6.0,6.0,6.0,3.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,302.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,37.0,31.0,16.0,18.0,23.0,21.0,15.0,19.0,5.0,11.0,1.0,6.0,0.0,0.0,14.0,13.0,30.0,8.0,6.0,8.0,3.0,10.0,14.0,5.0,6.0,13.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,337.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,1.0,88.0,104.0,40.0,66.0,71.0,54.0,49.0,44.0,17.0,30.0,3.0,39.0,5.0,15.0,39.0,35.0,40.0,24.0,13.0,22.0,8.0,30.0,33.0,15.0,14.0,23.0,2.0,7.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,942.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,26.0,55.0,92.0,19.0,33.0,71.0,76.0,37.0,55.0,13.0,13.0,24.0,14.0,14.0,2.0,38.0,8.0,46.0,14.0,4.0,5.0,7.0,14.0,15.0,17.0,9.0,12.0,2.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,745.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
