Jogador,Andrea Consigli,Gian Marco Ferrari,Manuel Locatelli,Domenico Berardi,Filip Đuričić,Maxime Lopez,Vlad Chiricheș,Rogério,Hamed Junior Traorè,Jeremie Boga,Marlon,Francesco Caputo,Mert Müldür,Jeremy Toljan,Pedro Obiang,Giorgos Kyriakopoulos,Grégoire Defrel,Giacomo Raspadori,Kaan Ayhan,Francesco Magnanelli,Mehdi Bourabia,Lukáš Haraslín,Federico Peluso,Gianluca Pegolo,Brian Oddei,Nicolás Schiappacasse,Federico Ricci,Isaac Karamoko,Stefano Turati,Federico Artioli,Andrea Ghion,Alessandro Mercati,Stefano Piccinini,Matteo Saccani,Luigi Samele,Gianluca Scamacca,Raul Steau,Samuele Vitale
Pos.,G,ZG,LT,AT,"LT,AT",LT,ZG,ZG,"LT,AT","AT,LT",ZG,AT,ZG,ZG,LT,ZG,"LT,AT","AT,LT",ZG,LT,LT,"AT,LT",ZG,G,"AT,LT",LT,AT,ZG,G,LT,LT,LT,ZG,ZG,AT,AT,LT,G
Assis..1,0.0,12.0,6.0,25.0,17.0,0.0,5.0,5.0,10.0,10.0,0.0,27.0,0.0,12.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,12.0,19.0,87.0,39.0,10.0,15.0,5.0,35.0,30.0,0.0,85.0,0.0,12.0,6.0,6.0,40.0,44.0,0.0,0.0,17.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,0.0,6.0,36.0,17.0,10.0,10.0,0.0,25.0,20.0,0.0,42.0,0.0,0.0,0.0,6.0,20.0,44.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,12.0,12.0,62.0,35.0,10.0,15.0,5.0,35.0,30.0,0.0,69.0,0.0,12.0,6.0,6.0,40.0,44.0,0.0,0.0,17.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,6.0,11.0,55.0,27.0,6.0,6.0,3.0,20.0,18.0,1.0,53.0,4.0,1.0,4.0,10.0,14.0,31.0,5.0,1.0,9.0,18.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,4.0,9.0,23.0,25.0,7.0,2.0,7.0,17.0,5.0,0.0,11.0,3.0,5.0,6.0,6.0,7.0,16.0,0.0,4.0,2.0,19.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,10.0,20.0,77.0,52.0,13.0,8.0,10.0,38.0,23.0,2.0,64.0,7.0,6.0,10.0,16.0,21.0,47.0,5.0,5.0,10.0,37.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,6.0,7.0,32.0,23.0,6.0,6.0,3.0,20.0,18.0,1.0,40.0,4.0,1.0,4.0,10.0,14.0,31.0,5.0,1.0,9.0,18.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,10.0,15.0,54.0,48.0,13.0,8.0,10.0,38.0,23.0,2.0,51.0,7.0,6.0,10.0,16.0,21.0,47.0,5.0,5.0,10.0,37.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,2.0,32.0,81.0,42.0,32.0,24.0,38.0,26.0,29.0,11.0,19.0,0.0,43.0,21.0,35.0,35.0,13.0,5.0,15.0,7.0,6.0,8.0,1.0,0.0,2.0,0.0,0.0,1.0,528.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
