Jogador,Lassana Coulibaly,Antonio Candreva,Boulaye Dia,Tonny Vilhena,Domagoj Bradarić,Flavius Daniliuc,Krzysztof Piątek,Pasquale Mazzocchi,Lorenzo Pirola,Norbert Gyömbér,Guillermo Ochoa,Dylan Bronn,Luigi Sepe,Grigoris Kastanos,Federico Bonazzoli,Federico Fazio,Giulio Maggiore,Erik Botheim,Emil Bohinen,Matteo Lovato,Junior Sambia,Ivan Radovanović,Hans Nicolussi Caviglia,William Troost-Ekong,Domen Črnigoj,Vincenzo Fiorillo,Diego Valencia,Franck Ribéry,Julian Kristoffersen,Antonio Iervolino,Pasquale Allocca,Reda Boultam,Leonardo Capezzi,Jacopo De Matteis,Paweł Jaroszyński,Wajdi Kechrida,Alessandro Micai,Andrei Motoc,Andres Sfait,Andrea Sorrentino,Freddie Veseli
Pos.,LT,"LT,ZG","AT,LT",LT,ZG,ZG,AT,ZG,ZG,ZG,G,ZG,G,"LT,ZG","AT,LT",ZG,LT,"LT,AT",LT,ZG,ZG,"LT,ZG",LT,ZG,LT,G,"LT,AT",LT,AT,LT,G,LT,LT,G,"ZG,LT",ZG,G,LT,LT,G,ZG
Terço de Ataque,7.0,2.0,3.0,5.0,4.0,3.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,58.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,30.0,11.0,2.0,20.0,7.0,26.0,5.0,17.0,19.0,16.0,0.0,20.0,0.0,16.0,0.0,4.0,10.0,6.0,12.0,10.0,6.0,4.0,9.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,259.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,73.0,38.0,7.0,50.0,16.0,47.0,21.0,37.0,27.0,24.0,2.0,30.0,1.0,40.0,9.0,11.0,21.0,13.0,23.0,25.0,10.0,10.0,15.0,7.0,2.0,0.0,9.0,0.0,0.0,1.0,569.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,411.0,289.0,286.0,400.0,438.0,553.0,238.0,459.0,704.0,667.0,0.0,667.0,0.0,400.0,0.0,364.0,476.0,462.0,522.0,400.0,600.0,400.0,600.0,857.0,500.0,0.0,222.0,0.0,0.0,0.0,455.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,43.0,27.0,5.0,30.0,9.0,21.0,16.0,20.0,8.0,8.0,2.0,10.0,1.0,24.0,9.0,7.0,11.0,7.0,11.0,15.0,4.0,6.0,6.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,310.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,35.0,7.0,10.0,17.0,20.0,30.0,17.0,10.0,50.0,33.0,0.0,32.0,0.0,20.0,9.0,9.0,19.0,3.0,25.0,8.0,9.0,9.0,9.0,7.0,9.0,0.0,10.0,1.0,1.0,0.0,409.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,7.0,3.0,0.0,7.0,5.0,13.0,4.0,2.0,35.0,22.0,0.0,20.0,0.0,6.0,1.0,4.0,4.0,0.0,7.0,5.0,3.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,157.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,28.0,4.0,10.0,10.0,15.0,17.0,13.0,8.0,15.0,11.0,0.0,12.0,0.0,14.0,8.0,5.0,15.0,3.0,18.0,3.0,6.0,6.0,9.0,3.0,8.0,0.0,9.0,1.0,1.0,0.0,252.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,25.0,17.0,7.0,18.0,21.0,29.0,2.0,10.0,30.0,35.0,0.0,20.0,0.0,8.0,3.0,28.0,8.0,0.0,17.0,13.0,8.0,7.0,7.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,329.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,109.0,34.0,19.0,62.0,47.0,86.0,20.0,42.0,63.0,67.0,0.0,54.0,0.0,47.0,8.0,43.0,28.0,11.0,42.0,30.0,20.0,19.0,22.0,17.0,17.0,0.0,9.0,0.0,0.0,0.0,916.0,863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,33.0,32.0,27.0,21.0,44.0,76.0,39.0,37.0,85.0,92.0,9.0,58.0,0.0,8.0,0.0,61.0,10.0,4.0,21.0,33.0,16.0,9.0,7.0,10.0,6.0,0.0,2.0,0.0,0.0,0.0,740.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
