Jogador,Adam Marušić,Felipe Anderson,Ivan Provedel,Luis Alberto,Mattéo Guendouzi,Alessio Romagnoli,Mattia Zaccagni,Mario Gila,Ciro Immobile,Manuel Lazzari,Patric,Daichi Kamada,Valentín Castellanos,Nicolò Casale,Nicolò Rovella,Danilo Cataldi,Gustav Isaksen,Elseid Hysaj,Matías Vecino,Luca Pellegrini,Christos Mandas,Pedro,Marius Adamonis,Toma Bašić,Larsson Coulibaly,Saná Fernandes,Alessio Furlanetto,Diego González,Dimitrije Kamenović,Anderson Lima,Luca Napolitano,Davide Renzetti,Fabio Ruggeri,Luigi Sepe
Pos.,ZG,"AT,LT",G,LT,LT,ZG,"AT,LT",ZG,AT,ZG,ZG,LT,AT,ZG,LT,LT,AT,ZG,LT,ZG,G,"AT,LT",G,LT,LT,LT,G,AT,ZG,LT,LT,G,ZG,G
Terço de Ataque,2.0,13.0,0.0,7.0,5.0,0.0,1.0,1.0,4.0,3.0,0.0,9.0,9.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,4.0,68.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,27.0,34.0,1.0,15.0,21.0,16.0,9.0,19.0,3.0,18.0,8.0,28.0,6.0,6.0,16.0,8.0,1.0,15.0,20.0,9.0,0.0,3.0,283.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,49.0,90.0,3.0,53.0,49.0,24.0,21.0,34.0,14.0,28.0,18.0,52.0,20.0,15.0,36.0,18.0,9.0,24.0,31.0,17.0,1.0,12.0,618.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,551.0,378.0,333.0,283.0,429.0,667.0,429.0,559.0,214.0,643.0,444.0,538.0,300.0,400.0,444.0,444.0,111.0,625.0,645.0,529.0,0.0,250.0,458.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,22.0,56.0,2.0,38.0,28.0,8.0,12.0,15.0,11.0,10.0,10.0,24.0,14.0,9.0,20.0,10.0,8.0,9.0,11.0,8.0,1.0,9.0,335.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,27.0,45.0,0.0,34.0,24.0,29.0,26.0,27.0,9.0,20.0,15.0,24.0,22.0,19.0,27.0,15.0,11.0,16.0,17.0,7.0,0.0,16.0,430.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,7.0,3.0,0.0,4.0,6.0,17.0,2.0,14.0,3.0,4.0,9.0,5.0,2.0,16.0,6.0,7.0,1.0,6.0,5.0,3.0,0.0,2.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,20.0,42.0,0.0,30.0,18.0,12.0,24.0,13.0,6.0,16.0,6.0,19.0,20.0,3.0,21.0,8.0,10.0,10.0,12.0,4.0,0.0,14.0,308.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,29.0,27.0,0.0,7.0,21.0,29.0,21.0,20.0,5.0,12.0,6.0,18.0,2.0,12.0,23.0,17.0,4.0,17.0,12.0,9.0,1.0,3.0,295.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,74.0,105.0,1.0,42.0,55.0,54.0,48.0,52.0,16.0,38.0,19.0,71.0,24.0,27.0,69.0,41.0,8.0,41.0,44.0,27.0,1.0,19.0,876.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,63.0,23.0,12.0,13.0,24.0,115.0,15.0,69.0,11.0,37.0,44.0,7.0,18.0,61.0,29.0,19.0,4.0,31.0,21.0,20.0,3.0,1.0,640.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
