Jogador,Marco Silvestri,Davide Faraoni,Mattia Zaccagni,Antonín Barák,Federico Dimarco,Adrien Tameze,Darko Lazović,Federico Ceccherini,Paweł Dawidowicz,Koray Günter,Ivan Ilić,Giangiacomo Magnani,Miguel Veloso,Nikola Kalinić,Matteo Lovato,Kevin Lasagna,Eddie Salcedo,Samuel Di Carmine,Ebrima Colley,Daniel Bessa,Stefano Sturaro,Yıldırım Mert Çetin,Ivor Pandur,Alan Empereur,Andrea Favilli,Ronaldo Vieira,Kevin Rüegg,Andrea Danzi,Ľubomír Tupta,Destiny Udogie,Alessandro Berardi,Philip Ankhrah,Bruno Amione,Marco Benassi,Lorenzo Bertini,Salvatore Bocchetti,Nicola Borghetto,Bernardo Calabrese,Matteo Cancellieri,Nicolò Casale,Lucas Felippe,Matei Ilie,Mariusz Stępiński,Filippo Terracciano
Pos.,G,ZG,LT,LT,ZG,LT,"ZG,LT",ZG,ZG,ZG,LT,ZG,LT,AT,ZG,AT,"LT,AT",AT,"LT,AT",LT,LT,ZG,G,ZG,AT,"LT,ZG","ZG,LT",ZG,AT,"ZG,LT",G,LT,ZG,LT,AT,ZG,G,ZG,AT,ZG,LT,ZG,AT,ZG
xG.1,0.0,10.0,11.0,22.0,10.0,5.0,12.0,7.0,9.0,2.0,8.0,6.0,14.0,35.0,0.0,23.0,46.0,30.0,21.0,15.0,1.0,4.0,0.0,3.0,42.0,2.0,1.0,0.0,67.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,11.0,20.0,7.0,28.0,2.0,17.0,3.0,5.0,3.0,5.0,0.0,5.0,3.0,1.0,14.0,4.0,3.0,8.0,28.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,21.0,31.0,30.0,38.0,7.0,29.0,10.0,14.0,4.0,13.0,6.0,19.0,38.0,1.0,36.0,51.0,33.0,29.0,43.0,1.0,4.0,0.0,3.0,44.0,4.0,1.0,0.0,67.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,10.0,9.0,22.0,10.0,5.0,12.0,7.0,9.0,2.0,8.0,6.0,3.0,35.0,0.0,23.0,46.0,30.0,21.0,15.0,1.0,4.0,0.0,3.0,42.0,2.0,1.0,0.0,67.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,21.0,29.0,30.0,38.0,7.0,29.0,10.0,14.0,4.0,13.0,6.0,8.0,38.0,1.0,36.0,51.0,33.0,29.0,43.0,1.0,4.0,0.0,3.0,44.0,4.0,1.0,0.0,67.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,0.0,62.0,27.0,30.0,32.0,39.0,29.0,16.0,42.0,20.0,26.0,26.0,24.0,5.0,21.0,7.0,6.0,1.0,11.0,15.0,4.0,8.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,465.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,0.0,33.0,13.0,19.0,19.0,25.0,17.0,12.0,28.0,10.0,14.0,15.0,17.0,1.0,12.0,3.0,2.0,2.0,4.0,8.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,269.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,0.0,36.0,8.0,8.0,23.0,23.0,8.0,10.0,30.0,10.0,11.0,14.0,10.0,2.0,14.0,0.0,3.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,224.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,19.0,11.0,16.0,7.0,15.0,17.0,6.0,10.0,9.0,11.0,9.0,10.0,2.0,5.0,5.0,2.0,1.0,6.0,11.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,183.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,7.0,8.0,6.0,2.0,1.0,4.0,0.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,58.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
