Jogador,Marco Carnesecchi,Leonardo Sernicola,Gianluca Gaetano,Caleb Okoli,Matteo Bianchetti,Michele Castagnetti,Nicolò Fagioli,Emanuele Valeri,Luca Zanimacchia,Cristian Buonaiuto,Jaime Báez,Daniel Ciofani,Luca Valzania,Samuel Di Carmine,Luca Ravanelli,Alessandro Crescenzi,Luca Strizzolo,Paolo Bartolomei,Andrea Meroni,Luca Vido,Tiago Casasola,Hamza Rafia,Cedric Gondo,Mouhamadou Sarr,Alessandro Fiordaliso,Francesco Deli,Filippo Nardi,Dennis Politic,Federico Agazzi,Enrico Alfonso,Dorian Ciężkowski,Riccardo Collodel,Christian Dalle Mura,Daniel Frey,Davide Peschieri,Emanuele Terranova,Marco Zunno
Pos.,G,ZG,"LT,AT",ZG,ZG,LT,LT,ZG,AT,"AT,LT","AT,ZG",AT,LT,AT,ZG,ZG,"AT,LT",LT,ZG,"AT,LT",ZG,"LT,AT","AT,LT",G,ZG,"LT,AT",LT,"ZG,LT",G,G,G,LT,ZG,LT,G,ZG,ZG
Div,3.0,59.0,37.0,22.0,33.0,51.0,49.0,35.0,45.0,31.0,19.0,14.0,47.0,4.0,23.0,20.0,16.0,8.0,6.0,7.0,13.0,10.0,4.0,1.0,1.0,6.0,1.0,0.0,565.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,2.0,37.0,28.0,15.0,21.0,32.0,25.0,20.0,31.0,16.0,13.0,9.0,31.0,3.0,13.0,10.0,9.0,5.0,3.0,3.0,6.0,10.0,3.0,1.0,0.0,4.0,1.0,0.0,351.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,3.0,30.0,11.0,16.0,22.0,15.0,13.0,25.0,21.0,15.0,12.0,7.0,24.0,0.0,10.0,12.0,5.0,3.0,5.0,3.0,8.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,267.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,22.0,21.0,6.0,10.0,34.0,27.0,8.0,14.0,10.0,4.0,4.0,19.0,2.0,10.0,6.0,10.0,4.0,1.0,1.0,5.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,227.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,7.0,5.0,0.0,1.0,2.0,9.0,2.0,10.0,6.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,71.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,3.0,38.0,22.0,9.0,17.0,22.0,27.0,20.0,24.0,16.0,13.0,7.0,26.0,1.0,15.0,9.0,6.0,4.0,4.0,1.0,9.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,301.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,4.0,48.0,60.0,16.0,30.0,55.0,62.0,35.0,58.0,41.0,41.0,13.0,55.0,4.0,18.0,13.0,15.0,10.0,6.0,6.0,16.0,14.0,4.0,2.0,2.0,6.0,1.0,1.0,636.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,750.0,792.0,367.0,563.0,567.0,400.0,435.0,571.0,414.0,390.0,317.0,538.0,473.0,250.0,833.0,692.0,400.0,400.0,667.0,167.0,563.0,214.0,250.0,500.0,0.0,500.0,0.0,0.0,473.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,1.0,10.0,38.0,7.0,13.0,33.0,35.0,15.0,34.0,25.0,28.0,6.0,29.0,3.0,3.0,4.0,9.0,6.0,2.0,5.0,7.0,11.0,3.0,1.0,2.0,3.0,1.0,1.0,335.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,26.0,30.0,25.0,32.0,29.0,25.0,17.0,21.0,28.0,24.0,10.0,29.0,4.0,23.0,9.0,16.0,16.0,2.0,9.0,3.0,2.0,5.0,0.0,1.0,1.0,0.0,1.0,388.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,6.0,1.0,18.0,20.0,6.0,3.0,6.0,2.0,3.0,2.0,1.0,8.0,0.0,10.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,20.0,29.0,7.0,12.0,23.0,22.0,11.0,19.0,25.0,22.0,9.0,21.0,4.0,13.0,6.0,16.0,13.0,0.0,8.0,2.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,291.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,1.0,60.0,26.0,40.0,36.0,29.0,24.0,48.0,17.0,11.0,13.0,6.0,24.0,3.0,29.0,18.0,12.0,10.0,1.0,2.0,9.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,429.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,4.0,119.0,63.0,62.0,69.0,80.0,73.0,83.0,62.0,42.0,32.0,20.0,71.0,7.0,52.0,38.0,28.0,18.0,7.0,9.0,22.0,12.0,8.0,1.0,3.0,8.0,1.0,0.0,994.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,24.0,80.0,25.0,141.0,116.0,39.0,10.0,35.0,14.0,9.0,28.0,18.0,25.0,10.0,64.0,21.0,12.0,9.0,31.0,4.0,16.0,3.0,4.0,7.0,2.0,1.0,2.0,0.0,750.0,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
