Jogador,Gleison Bremer,Wojciech Szczęsny,Manuel Locatelli,Adrien Rabiot,Federico Gatti,Weston McKennie,Andrea Cambiaso,Danilo,Dušan Vlahović,Filip Kostić,Federico Chiesa,Fabio Miretti,Daniele Rugani,Timothy Weah,Kenan Yıldız,Alex Sandro,Moise Kean,Arkadiusz Milik,Samuel Iling-Junior,Nicolò Fagioli,Carlos Alcaraz,Hans Nicolussi Caviglia,Mattia Perin,Mattia De Sciglio,Paul Pogba,Carlo Pinsoglio,Joseph Nonge,Tiago Djaló,Dean Huijsen,Nikola Sekulov,Leonardo Cerri,Gian Crespi,Giovanni Daffara,Giovanni Garofani,Luis Hasa,Tommaso Mancini,Simone Scaglia,Matìas Soulé
Pos.,ZG,G,LT,LT,ZG,"LT,ZG","ZG,AT",ZG,AT,ZG,AT,LT,ZG,"ZG,AT","AT,ZG",ZG,AT,AT,"ZG,LT",LT,LT,LT,G,ZG,LT,G,LT,ZG,ZG,AT,ZG,G,G,G,LT,AT,G,"AT,LT"
Tent,29.0,0.0,58.0,45.0,24.0,27.0,43.0,48.0,11.0,33.0,13.0,26.0,5.0,20.0,8.0,5.0,3.0,5.0,18.0,7.0,10.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,528.0,0.0,0.0,0.0,0.0,0.0
Tkl%,724.0,0.0,534.0,667.0,792.0,630.0,581.0,667.0,364.0,515.0,231.0,385.0,800.0,750.0,500.0,800.0,333.0,600.0,611.0,429.0,500.0,667.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,509.0,0.0,0.0,0.0,0.0,0.0
Perdido,8.0,0.0,27.0,15.0,5.0,10.0,18.0,16.0,7.0,16.0,10.0,16.0,1.0,5.0,4.0,1.0,2.0,2.0,7.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,259.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,45.0,0.0,43.0,26.0,26.0,28.0,28.0,34.0,4.0,29.0,17.0,10.0,11.0,12.0,6.0,13.0,4.0,7.0,17.0,3.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,375.0,408.0,0.0,0.0,0.0,0.0,0.0
TC,27.0,0.0,17.0,6.0,15.0,7.0,3.0,15.0,2.0,8.0,1.0,1.0,4.0,1.0,0.0,7.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,150.0,0.0,0.0,0.0,0.0,0.0
Passe,18.0,0.0,26.0,20.0,11.0,21.0,25.0,19.0,2.0,21.0,16.0,9.0,7.0,11.0,6.0,6.0,3.0,6.0,12.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,251.0,258.0,0.0,0.0,0.0,0.0,0.0
Crts,40.0,1.0,25.0,25.0,19.0,18.0,11.0,37.0,1.0,9.0,6.0,7.0,9.0,5.0,1.0,15.0,2.0,5.0,6.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,273.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,98.0,1.0,94.0,83.0,52.0,66.0,58.0,97.0,10.0,46.0,26.0,25.0,20.0,32.0,14.0,28.0,9.0,14.0,29.0,9.0,11.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,849.0,0.0,0.0,0.0,0.0,0.0
Def,147.0,11.0,65.0,34.0,90.0,69.0,26.0,94.0,11.0,43.0,4.0,6.0,42.0,15.0,4.0,23.0,5.0,3.0,19.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,725.0,741.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0
