Jogador,Alberto Dossena,Antoine Makoumbou,Simone Scuffet,Nahitan Nández,Tommaso Augello,Gabriele Zappa,Matteo Prati,Zito Luvumbo,Alessandro Deiola,Ibrahim Sulemana,Yerry Mina,Gianluca Lapadula,Andrea Petagna,Jakub Jankto,Pantelis Hatzidiakos,Edoardo Goldaniga,Nicolas Viola,Gaetano Oristanio,Mateusz Wieteska,Adam Obert,Eldor Shomurodov,Gianluca Gaetano,Paulo Azzi,Boris Radunović,Leonardo Pavoletti,Marco Mancosu,Alessandro Di Pardo,Kingstone Mutandwa,Simone Aresti,Elio Capradossi,Jacopo Desogus,Christos Kourfalidis,Gastón Pereiro,Velizar-Ilia Svetozarov Iliev,Alessandro Vinciguerra
Pos.,ZG,LT,G,"LT,ZG",ZG,ZG,LT,"AT,LT",LT,LT,ZG,AT,AT,"LT,AT",ZG,ZG,"LT,AT","AT,LT",ZG,ZG,"AT,LT","AT,LT","ZG,LT",G,AT,"LT,AT","ZG,LT","AT,LT",G,ZG,AT,LT,"AT,LT",G,AT
xAG.1,6.0,3.0,0.0,10.0,7.0,12.0,3.0,14.0,5.0,1.0,0.0,8.0,9.0,5.0,0.0,1.0,29.0,9.0,5.0,9.0,16.0,16.0,6.0,0.0,4.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,13.0,5.0,0.0,24.0,9.0,17.0,13.0,33.0,19.0,6.0,10.0,44.0,23.0,21.0,4.0,6.0,54.0,23.0,8.0,10.0,50.0,31.0,18.0,0.0,41.0,85.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,7.0,2.0,0.0,11.0,2.0,5.0,9.0,18.0,14.0,5.0,4.0,30.0,15.0,15.0,4.0,5.0,19.0,14.0,3.0,1.0,34.0,6.0,12.0,0.0,37.0,29.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,13.0,5.0,0.0,21.0,9.0,17.0,13.0,33.0,19.0,6.0,4.0,38.0,23.0,20.0,4.0,6.0,49.0,23.0,8.0,10.0,50.0,22.0,18.0,0.0,41.0,42.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,55.0,41.0,1.0,59.0,26.0,54.0,45.0,9.0,33.0,36.0,20.0,1.0,4.0,12.0,22.0,12.0,13.0,20.0,14.0,17.0,11.0,7.0,19.0,0.0,1.0,3.0,4.0,1.0,0.0,540.0,558.0,0.0,0.0,0.0,0.0
TklW,35.0,24.0,0.0,40.0,19.0,31.0,25.0,6.0,19.0,14.0,13.0,1.0,2.0,9.0,10.0,7.0,9.0,10.0,11.0,9.0,4.0,4.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,315.0,327.0,0.0,0.0,0.0,0.0
Terço Def,43.0,21.0,1.0,27.0,18.0,29.0,15.0,5.0,13.0,15.0,14.0,0.0,1.0,9.0,12.0,9.0,2.0,5.0,9.0,8.0,2.0,0.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,272.0,275.0,0.0,0.0,0.0,0.0
Terço Central,12.0,15.0,0.0,23.0,6.0,16.0,27.0,2.0,16.0,15.0,6.0,0.0,0.0,1.0,10.0,3.0,8.0,14.0,3.0,8.0,6.0,4.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,203.0,213.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,5.0,0.0,9.0,2.0,9.0,3.0,2.0,4.0,6.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,65.0,70.0,0.0,0.0,0.0,0.0
Div.1,32.0,15.0,1.0,27.0,16.0,29.0,26.0,4.0,18.0,17.0,13.0,1.0,1.0,8.0,10.0,4.0,7.0,5.0,3.0,8.0,6.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,264.0,220.0,0.0,0.0,0.0,0.0
