Jogador,Giovanni Di Lorenzo,Andre-Frank Zambo Anguissa,Kim Min-jae,Stanislav Lobotka,Alex Meret,Victor Osimhen,Khvicha Kvaratskhelia,Amir Rrahmani,Piotr Zieliński,Mário Rui,Hirving Lozano,Mathías Olivera,Elif Elmas,Matteo Politano,Juan Jesus,Giacomo Raspadori,Tanguy Ndombele,Leo Skiri Østigård,Pierluigi Gollini,Alessio Zerbin,Bartosz Bereszyński,Diego Demme,Giovanni Simeone,Gianluca Gaetano,Karim Zedadka,Adam Ounas,Alessandro Zanoli,Hubert Idasiak,Davide Marfella,Salvatore Sirigu
Pos.,ZG,LT,ZG,LT,G,AT,AT,ZG,LT,ZG,AT,ZG,"AT,LT",AT,ZG,"AT,LT",LT,ZG,G,AT,ZG,LT,AT,LT,AT,AT,ZG,G,G,G
G+A-PB,19.0,24.0,12.0,6.0,0.0,98.0,71.0,11.0,43.0,31.0,28.0,22.0,44.0,31.0,10.0,40.0,11.0,0.0,0.0,0.0,54.0,0.0,111.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,7.0,13.0,3.0,2.0,0.0,75.0,29.0,7.0,14.0,3.0,30.0,4.0,22.0,32.0,2.0,35.0,11.0,2.0,0.0,12.0,0.0,0.0,30.0,142.0,0.0,23.0,47.0,0.0,0.0,0.0
xAG.1,13.0,8.0,6.0,3.0,0.0,10.0,27.0,4.0,29.0,20.0,19.0,12.0,11.0,28.0,1.0,13.0,5.0,0.0,0.0,0.0,10.0,1.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,20.0,21.0,9.0,5.0,0.0,85.0,56.0,11.0,43.0,24.0,49.0,16.0,33.0,60.0,2.0,47.0,16.0,2.0,0.0,12.0,10.0,1.0,56.0,164.0,0.0,23.0,47.0,0.0,0.0,0.0
npxG.1,7.0,13.0,3.0,2.0,0.0,66.0,23.0,7.0,14.0,3.0,26.0,4.0,18.0,13.0,2.0,35.0,11.0,2.0,0.0,12.0,0.0,0.0,30.0,142.0,0.0,23.0,47.0,0.0,0.0,0.0
npxG+xAG.1,20.0,21.0,9.0,5.0,0.0,76.0,51.0,11.0,43.0,24.0,45.0,16.0,29.0,41.0,2.0,47.0,16.0,2.0,0.0,12.0,10.0,1.0,56.0,164.0,0.0,23.0,47.0,0.0,0.0,0.0
Div,60.0,53.0,55.0,83.0,0.0,10.0,43.0,33.0,17.0,34.0,24.0,39.0,24.0,18.0,16.0,10.0,14.0,4.0,0.0,10.0,3.0,1.0,12.0,5.0,0.0,0.0,1.0,569.0,700.0,0.0
TklW,29.0,32.0,30.0,44.0,0.0,6.0,23.0,18.0,10.0,22.0,13.0,23.0,13.0,9.0,11.0,8.0,8.0,1.0,0.0,5.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,313.0,406.0,0.0
Terço Def,33.0,16.0,32.0,35.0,0.0,1.0,12.0,20.0,1.0,17.0,10.0,16.0,8.0,9.0,9.0,0.0,4.0,3.0,0.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,236.0,403.0,0.0
Terço Central,19.0,29.0,22.0,35.0,0.0,2.0,8.0,13.0,11.0,13.0,6.0,16.0,12.0,5.0,6.0,6.0,8.0,1.0,0.0,5.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,227.0,226.0,0.0
