Jogador,Sergej Milinković-Savić,Felipe Anderson,Ciro Immobile,Adam Marušić,Francesco Acerbi,Luiz Felipe,Luis Alberto,Pedro,Elseid Hysaj,Thomas Strakosha,Mattia Zaccagni,Danilo Cataldi,Lucas Leiva,Patric,Manuel Lazzari,Pepe Reina,Toma Bašić,Ștefan Radu,Jean-Daniel Akpa-Akpro,Jovane Cabral,Vedat Muriqi,Raúl Moro,Luka Romero,Anderson Lima,Dimitrije Kamenović,Gonzalo Escalante,Denis Vavro,Marius Adamonis,Marco Bertini,Felipe Caicedo,Romano Floriani,Alessio Furlanetto,Jony
Pos.,LT,AT,AT,ZG,ZG,ZG,LT,AT,ZG,G,AT,LT,LT,ZG,ZG,G,LT,ZG,LT,AT,AT,AT,AT,LT,ZG,LT,ZG,G,LT,"AT,LT",ZG,G,"AT,LT"
G-PB.1,32.0,19.0,66.0,3.0,14.0,0.0,19.0,40.0,4.0,0.0,19.0,5.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,61.0,44.0,73.0,3.0,14.0,0.0,54.0,58.0,4.0,0.0,43.0,16.0,0.0,11.0,32.0,7.0,18.0,0.0,0.0,47.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,21.0,19.0,71.0,1.0,9.0,1.0,12.0,21.0,3.0,0.0,15.0,2.0,1.0,5.0,4.0,0.0,15.0,1.0,4.0,49.0,17.0,20.0,2.0,10.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,18.0,20.0,9.0,2.0,2.0,1.0,30.0,14.0,3.0,0.0,14.0,17.0,2.0,4.0,11.0,3.0,8.0,0.0,1.0,2.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,39.0,40.0,81.0,2.0,10.0,2.0,42.0,35.0,6.0,0.0,29.0,19.0,2.0,9.0,15.0,3.0,23.0,1.0,5.0,51.0,17.0,30.0,6.0,10.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,21.0,19.0,48.0,1.0,9.0,1.0,12.0,21.0,3.0,0.0,15.0,2.0,1.0,5.0,4.0,0.0,15.0,1.0,4.0,49.0,17.0,20.0,2.0,10.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,39.0,40.0,57.0,2.0,10.0,2.0,42.0,35.0,6.0,0.0,29.0,19.0,2.0,9.0,15.0,3.0,23.0,1.0,5.0,51.0,17.0,30.0,6.0,10.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,67.0,71.0,10.0,30.0,25.0,41.0,29.0,36.0,46.0,0.0,33.0,36.0,55.0,21.0,28.0,0.0,12.0,9.0,17.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,578.0,547.0,0.0,0.0,0.0,0.0
TklW,44.0,45.0,5.0,18.0,12.0,23.0,17.0,23.0,30.0,0.0,16.0,17.0,30.0,15.0,14.0,0.0,8.0,6.0,10.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,339.0,319.0,0.0,0.0,0.0,0.0
Terço Def,20.0,30.0,4.0,16.0,15.0,21.0,8.0,8.0,25.0,0.0,10.0,15.0,26.0,17.0,13.0,0.0,3.0,3.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,246.0,243.0,0.0,0.0,0.0,0.0
Terço Central,32.0,33.0,4.0,12.0,9.0,16.0,11.0,19.0,17.0,0.0,13.0,17.0,25.0,4.0,15.0,0.0,9.0,6.0,9.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,255.0,223.0,0.0,0.0,0.0,0.0
Terço de Ataque,15.0,8.0,2.0,2.0,1.0,4.0,10.0,9.0,4.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,77.0,81.0,0.0,0.0,0.0,0.0
Div.1,29.0,27.0,1.0,13.0,12.0,20.0,8.0,16.0,29.0,0.0,11.0,12.0,15.0,9.0,16.0,0.0,5.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,238.0,274.0,0.0,0.0,0.0,0.0
Tent,67.0,99.0,15.0,32.0,19.0,34.0,52.0,47.0,45.0,0.0,19.0,38.0,53.0,20.0,26.0,1.0,17.0,9.0,12.0,0.0,5.0,5.0,2.0,2.0,1.0,1.0,0.0,621.0,608.0,0.0,0.0,0.0,0.0
Tkl%,433.0,273.0,67.0,406.0,632.0,588.0,154.0,340.0,644.0,0.0,579.0,316.0,283.0,450.0,615.0,0.0,294.0,556.0,583.0,0.0,0.0,200.0,0.0,0.0,1000.0,1000.0,0.0,383.0,451.0,0.0,0.0,0.0,0.0
Perdido,38.0,72.0,14.0,19.0,7.0,14.0,44.0,31.0,16.0,0.0,8.0,26.0,38.0,11.0,10.0,1.0,12.0,4.0,5.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,383.0,334.0,0.0,0.0,0.0,0.0
Bloqueios,50.0,65.0,7.0,19.0,37.0,40.0,32.0,18.0,18.0,0.0,17.0,24.0,27.0,22.0,10.0,0.0,13.0,7.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,416.0,351.0,0.0,0.0,0.0,0.0
TC,9.0,6.0,1.0,8.0,28.0,33.0,4.0,2.0,6.0,0.0,2.0,12.0,10.0,11.0,2.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,144.0,89.0,0.0,0.0,0.0,0.0
Passe,41.0,59.0,6.0,11.0,9.0,7.0,28.0,16.0,12.0,0.0,15.0,12.0,17.0,11.0,8.0,0.0,9.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,272.0,262.0,0.0,0.0,0.0,0.0
Crts,34.0,20.0,3.0,41.0,34.0,33.0,13.0,6.0,24.0,0.0,20.0,17.0,28.0,12.0,12.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,315.0,399.0,0.0,0.0,0.0,0.0
Tkl+Int,101.0,91.0,13.0,71.0,59.0,74.0,42.0,42.0,70.0,0.0,53.0,53.0,83.0,33.0,40.0,0.0,16.0,14.0,19.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,0.0,893.0,946.0,0.0,0.0,0.0,0.0
Def,43.0,16.0,16.0,71.0,92.0,102.0,7.0,8.0,34.0,7.0,5.0,19.0,37.0,44.0,16.0,1.0,21.0,15.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,565.0,621.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0
