Jogador,Sebastiano Luperto,Youssef Maleh,Nicolò Cambiaghi,Elia Caprile,Sebastian Walukiewicz,Ardian Ismajli,Alberto Grassi,Bartosz Bereszyński,Emmanuel Gyasi,Răzvan Marin,Liberato Cacace,Matteo Cancellieri,Francesco Caputo,Etrit Berisha,Jacopo Fazzini,Giuseppe Pezzella,Tyronne Ebuehi,Szymon Żurkowski,Alberto Cerri,Simone Bastoni,Tommaso Baldanzi,M'Baye Niang,Filippo Ranocchia,Viktor Kovalenko,Steven Shpendi,Mattia Destro,Daniel Maldini,Nicolas Haas,Samuele Perisan,Roberto Piccoli,Giacomo Corona,Emmanuel Ekong,Liam Henderson,Andrea Sodero,Saba Goglichidze,Gabriele Guarino,Gabriele Indragoli,Luca Marianucci,Jacopo Seghetti,Petar Stojanović,Lovro Štubljar,Filippo Vertua
Pos.,ZG,LT,"AT,LT",G,ZG,ZG,LT,ZG,"ZG,AT",LT,ZG,"AT,LT",AT,G,LT,ZG,ZG,LT,AT,"LT,ZG","LT,AT",AT,"LT,ZG",LT,"AT,LT","AT,LT","AT,LT",LT,G,AT,AT,AT,LT,LT,ZG,ZG,ZG,ZG,G,"ZG,LT",G,G
npxG.1,4.0,5.0,14.0,0.0,1.0,1.0,5.0,0.0,17.0,5.0,2.0,24.0,19.0,0.0,9.0,1.0,2.0,10.0,19.0,5.0,25.0,29.0,4.0,14.0,9.0,29.0,10.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,7.0,14.0,24.0,1.0,1.0,2.0,9.0,2.0,24.0,20.0,10.0,38.0,24.0,0.0,26.0,5.0,10.0,11.0,23.0,11.0,38.0,41.0,14.0,25.0,20.0,37.0,12.0,10.0,0.0,12.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,37.0,74.0,51.0,1.0,39.0,26.0,30.0,41.0,34.0,40.0,40.0,35.0,2.0,0.0,49.0,25.0,14.0,15.0,3.0,22.0,4.0,3.0,16.0,5.0,0.0,2.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,618.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,26.0,48.0,39.0,0.0,28.0,16.0,18.0,25.0,17.0,22.0,24.0,22.0,0.0,0.0,25.0,14.0,9.0,6.0,3.0,13.0,2.0,1.0,11.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,378.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,25.0,30.0,15.0,1.0,33.0,18.0,13.0,25.0,18.0,13.0,24.0,12.0,0.0,0.0,27.0,19.0,9.0,5.0,1.0,12.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,10.0,36.0,20.0,0.0,6.0,6.0,13.0,13.0,13.0,23.0,13.0,16.0,0.0,0.0,13.0,5.0,5.0,8.0,1.0,7.0,1.0,1.0,9.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,2.0,8.0,16.0,0.0,0.0,2.0,4.0,3.0,3.0,4.0,3.0,7.0,2.0,0.0,9.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,15.0,23.0,16.0,1.0,28.0,18.0,10.0,24.0,15.0,19.0,24.0,13.0,0.0,0.0,30.0,20.0,7.0,5.0,2.0,11.0,3.0,0.0,7.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,300.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,24.0,52.0,35.0,1.0,41.0,23.0,26.0,40.0,32.0,29.0,38.0,36.0,1.0,1.0,53.0,28.0,11.0,15.0,5.0,22.0,10.0,6.0,16.0,8.0,4.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,564.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,625.0,442.0,457.0,1000.0,683.0,783.0,385.0,600.0,469.0,655.0,632.0,361.0,0.0,0.0,566.0,714.0,636.0,333.0,400.0,500.0,300.0,0.0,438.0,250.0,0.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,532.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,9.0,29.0,19.0,0.0,13.0,5.0,16.0,16.0,17.0,10.0,14.0,23.0,1.0,1.0,23.0,8.0,4.0,10.0,3.0,11.0,7.0,6.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,46.0,62.0,26.0,0.0,50.0,28.0,26.0,22.0,30.0,16.0,23.0,19.0,4.0,0.0,21.0,17.0,9.0,5.0,3.0,8.0,7.0,7.0,9.0,12.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,35.0,7.0,1.0,0.0,31.0,17.0,11.0,10.0,12.0,4.0,6.0,0.0,0.0,0.0,3.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,11.0,55.0,25.0,0.0,19.0,11.0,15.0,12.0,18.0,12.0,17.0,19.0,4.0,0.0,18.0,11.0,5.0,4.0,2.0,8.0,7.0,6.0,8.0,10.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,32.0,25.0,14.0,0.0,15.0,23.0,41.0,21.0,5.0,6.0,19.0,6.0,1.0,0.0,12.0,2.0,6.0,6.0,3.0,11.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,69.0,99.0,65.0,1.0,54.0,49.0,71.0,62.0,39.0,46.0,59.0,41.0,3.0,0.0,61.0,27.0,20.0,21.0,6.0,33.0,6.0,6.0,19.0,6.0,1.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,881.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,157.0,29.0,8.0,16.0,121.0,126.0,37.0,52.0,27.0,30.0,56.0,18.0,3.0,7.0,18.0,35.0,27.0,11.0,7.0,18.0,0.0,10.0,14.0,7.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
