Jogador,Tommaso Augello,Tomás Rincón,Mehdi Léris,Manolo Gabbiadini,Filip Đuričić,Emil Audero,Bruno Amione,Harry Winks,Bram Nuytinck,Alessandro Zanoli,Omar Colley,Bartosz Bereszyński,Sam Lammers,Francesco Caputo,Abdelhamid Sabiri,Jeison Murillo,Alex Ferrari,Nicola Ravaglia,Mickaël Cuisance,Ronaldo Vieira,Koray Günter,Gonzalo Villar,Fabio Quagliarella,Valerio Verre,Nicola Murru,Martin Turk,Daniele Montevago,Marios Oikonomou,Gerard Yepes,Flavio Paoletti,Jesé,Ignacio Pussetto,Fabio Depaoli,Emirhan İlkhan,Lorenzo Malagrida,Manuel De Luca,Andrea Conti,Mihailo Ivanović,Samuel Ntanda,Telasco Segovia,Nikita Contini Baranovsky,Maxime Leverbe,Arttu Lötjönen,Elia Tantalocchi,Simone Trimboli,Lorenzo Villa,Federico Zorzi
Pos.,ZG,LT,"LT,ZG","AT,LT","LT,AT",G,ZG,LT,ZG,ZG,ZG,ZG,AT,AT,"LT,AT",ZG,ZG,G,LT,LT,ZG,LT,AT,LT,ZG,G,AT,ZG,LT,LT,AT,"LT,ZG","ZG,LT",LT,"LT,ZG","AT,LT",ZG,AT,LT,LT,G,ZG,ZG,G,LT,ZG,G
G-PB.1,6.0,0.0,4.0,27.0,12.0,0.0,4.0,0.0,0.0,12.0,7.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,21.0,7.0,7.0,34.0,12.0,0.0,9.0,0.0,6.0,29.0,7.0,0.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,3.0,2.0,13.0,28.0,11.0,0.0,4.0,3.0,2.0,15.0,8.0,1.0,20.0,15.0,26.0,2.0,2.0,0.0,7.0,4.0,1.0,0.0,31.0,8.0,0.0,0.0,19.0,13.0,3.0,0.0,13.0,9.0,12.0,2.0,12.0,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,11.0,4.0,7.0,17.0,8.0,0.0,3.0,7.0,2.0,7.0,0.0,1.0,10.0,4.0,12.0,0.0,4.0,0.0,10.0,0.0,2.0,0.0,8.0,14.0,1.0,0.0,9.0,0.0,1.0,1.0,20.0,11.0,26.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,14.0,6.0,19.0,45.0,19.0,0.0,6.0,10.0,3.0,22.0,8.0,2.0,30.0,19.0,38.0,2.0,6.0,0.0,17.0,4.0,3.0,0.0,40.0,22.0,1.0,0.0,28.0,13.0,4.0,1.0,34.0,20.0,38.0,8.0,21.0,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,3.0,2.0,13.0,28.0,11.0,0.0,4.0,3.0,2.0,15.0,8.0,1.0,20.0,15.0,11.0,2.0,2.0,0.0,7.0,4.0,1.0,0.0,31.0,8.0,0.0,0.0,19.0,13.0,3.0,0.0,13.0,9.0,12.0,2.0,12.0,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,14.0,6.0,19.0,45.0,19.0,0.0,6.0,10.0,3.0,22.0,8.0,2.0,30.0,19.0,23.0,2.0,6.0,0.0,17.0,4.0,3.0,0.0,40.0,22.0,1.0,0.0,28.0,13.0,4.0,1.0,34.0,20.0,38.0,8.0,21.0,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,17.0,56.0,63.0,23.0,43.0,0.0,50.0,27.0,54.0,22.0,17.0,28.0,12.0,3.0,18.0,22.0,9.0,0.0,13.0,18.0,10.0,13.0,2.0,14.0,24.0,0.0,1.0,3.0,5.0,2.0,2.0,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,589.0,557.0,0.0,0.0,0.0,0.0,0.0
TklW,14.0,27.0,46.0,15.0,22.0,0.0,33.0,12.0,38.0,14.0,10.0,18.0,5.0,1.0,7.0,11.0,5.0,0.0,10.0,10.0,8.0,7.0,1.0,7.0,14.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,354.0,0.0,0.0,0.0,0.0,0.0
Terço Def,13.0,22.0,30.0,8.0,18.0,0.0,36.0,7.0,33.0,14.0,10.0,15.0,2.0,0.0,5.0,16.0,7.0,0.0,7.0,4.0,6.0,4.0,1.0,6.0,15.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,244.0,0.0,0.0,0.0,0.0,0.0
