Jogador,Gabriel,Fabio Lucioni,Massimo Coda,Liam Henderson,Biagio Meccariello,Žan Majer,Marco Mancosu,Panagiotis Tachtsidis,Mariusz Stępiński,John Björkengren,Claud Adjapong,Morten Hjulmand,Leonard Zuta,Christian Maggio,Antonino Gallo,Luca Paganini,Stefano Pettinari,Marco Calderoni,Marcin Listkowski,Fabio Pisacane,Kastriot Dermaku,Pablo Rodríguez,Filippo Falco,Boban Nikolov,Jacopo Petriccione,Güven Yalçın,Sergio Maselli,Edgaras Dubickas,Simone Lo Faso,Roberto Pierno,Marco Bleve,Alexandru Borbei,Mattia Felici,Luigi Gianfreda,Gianmarco Mancarella,Joakim Milli,Ilario Monterisi,Samuele Oltremarini,Luca Rossettini,Massimo Schirone,Mauro Vigorito
Pos.,G,ZG,AT,LT,ZG,LT,LT,LT,AT,LT,ZG,LT,ZG,ZG,ZG,"LT,ZG",AT,ZG,"LT,AT",ZG,ZG,AT,AT,LT,LT,"AT,LT",LT,AT,AT,LT,G,G,LT,ZG,LT,G,ZG,AT,ZG,LT,G
PrgR,0.0,4.0,316.0,221.0,4.0,91.0,194.0,27.0,146.0,79.0,78.0,20.0,49.0,75.0,91.0,67.0,107.0,61.0,47.0,2.0,1.0,78.0,43.0,25.0,1.0,18.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,0.0,72.0,11.0,3.0,14.0,36.0,5.0,47.0,5.0,6.0,0.0,0.0,18.0,0.0,9.0,39.0,10.0,0.0,0.0,21.0,74.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,0.0,26.0,25.0,7.0,9.0,45.0,20.0,16.0,0.0,6.0,6.0,0.0,12.0,0.0,9.0,10.0,10.0,28.0,0.0,0.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,0.0,98.0,35.0,10.0,23.0,81.0,25.0,63.0,5.0,11.0,6.0,0.0,30.0,0.0,18.0,49.0,20.0,28.0,0.0,21.0,87.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,0.0,59.0,11.0,3.0,14.0,22.0,5.0,42.0,5.0,6.0,0.0,0.0,18.0,0.0,9.0,39.0,10.0,0.0,0.0,21.0,74.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,0.0,85.0,35.0,10.0,23.0,67.0,25.0,58.0,5.0,11.0,6.0,0.0,30.0,0.0,18.0,49.0,20.0,28.0,0.0,21.0,87.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,4.0,65.0,13.0,11.0,6.0,41.0,5.0,34.0,8.0,5.0,7.0,1.0,10.0,0.0,20.0,42.0,4.0,6.0,1.0,11.0,38.0,14.0,16.0,4.0,56.0,13.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,4.0,16.0,20.0,3.0,9.0,47.0,18.0,11.0,3.0,7.0,5.0,3.0,12.0,8.0,14.0,11.0,9.0,13.0,1.0,0.0,11.0,37.0,2.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,8.0,81.0,33.0,14.0,14.0,88.0,23.0,45.0,11.0,12.0,12.0,4.0,23.0,8.0,34.0,53.0,13.0,19.0,2.0,11.0,49.0,51.0,18.0,7.0,68.0,17.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,4.0,50.0,13.0,11.0,6.0,27.0,5.0,30.0,8.0,5.0,7.0,1.0,10.0,0.0,20.0,42.0,4.0,6.0,1.0,11.0,38.0,14.0,16.0,4.0,56.0,13.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,8.0,66.0,33.0,14.0,14.0,74.0,23.0,41.0,11.0,12.0,12.0,4.0,23.0,8.0,34.0,53.0,13.0,19.0,2.0,11.0,49.0,51.0,18.0,7.0,68.0,17.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,1.0,32.0,12.0,23.0,39.0,54.0,20.0,55.0,6.0,27.0,17.0,28.0,27.0,28.0,21.0,10.0,4.0,9.0,7.0,9.0,8.0,8.0,4.0,8.0,4.0,0.0,5.0,1.0,1.0,1.0,469.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,1.0,23.0,7.0,11.0,26.0,37.0,10.0,28.0,3.0,11.0,10.0,19.0,15.0,17.0,15.0,7.0,2.0,8.0,4.0,3.0,6.0,5.0,3.0,6.0,1.0,0.0,2.0,1.0,0.0,1.0,282.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,1.0,17.0,2.0,8.0,24.0,24.0,3.0,26.0,1.0,8.0,6.0,11.0,15.0,17.0,12.0,5.0,1.0,7.0,3.0,9.0,5.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,215.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,14.0,1.0,9.0,13.0,25.0,10.0,27.0,3.0,11.0,10.0,16.0,11.0,10.0,8.0,3.0,1.0,2.0,4.0,0.0,3.0,4.0,3.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,196.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,1.0,9.0,6.0,2.0,5.0,7.0,2.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,58.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
