Jogador,Gleison Bremer,Andrea Belotti,Tomás Rincón,Salvatore Sirigu,Saša Lukić,Armando Izzo,Lyanco,Cristian Ansaldi,Wilfried Singo,Karol Linetty,Simone Verdi,Rolando Mandragora,Mërgim Vojvoda,Nicolas Nkoulou,Simone Zaza,Ricardo Rodríguez,Antonio Sanabria,Soualiho Meïté,Alessandro Buongiorno,Nicola Murru,Amer Gojak,Vanja Milinković-Savić,Federico Bonazzoli,Daniele Baselli,Álex Berenguer,Jacopo Segre,Samir Ujkani,Simone Edera,Vincenzo Millico,Christian Celesia,Iago Falque,Erick Ferigra,Jean Freddi Greco,Krisztofer Horváth,Ibrahim Karamoko,Altin Kryeziu,Nicola Rauti,Antonio Rosati,Razvan Sava,Samuele Vianni
Pos.,ZG,AT,LT,G,LT,ZG,ZG,"ZG,AT",ZG,LT,"LT,AT",LT,"ZG,AT",ZG,AT,ZG,AT,LT,ZG,ZG,"LT,AT",G,AT,LT,LT,LT,G,"ZG,LT","AT,LT",LT,"AT,LT",ZG,LT,LT,LT,LT,AT,G,G,AT
Terço Def,36.0,4.0,27.0,1.0,11.0,13.0,13.0,25.0,16.0,13.0,10.0,4.0,18.0,11.0,4.0,11.0,0.0,6.0,8.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,241.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,14.0,16.0,33.0,0.0,18.0,13.0,6.0,14.0,6.0,19.0,6.0,9.0,5.0,3.0,6.0,8.0,4.0,4.0,4.0,5.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,1.0,0.0,205.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,1.0,10.0,8.0,0.0,3.0,4.0,2.0,9.0,7.0,6.0,3.0,6.0,1.0,0.0,5.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,84.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,21.0,11.0,36.0,1.0,15.0,13.0,8.0,24.0,17.0,16.0,6.0,7.0,12.0,7.0,6.0,13.0,2.0,5.0,7.0,3.0,1.0,1.0,2.0,6.0,2.0,2.0,0.0,3.0,0.0,247.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,36.0,35.0,71.0,2.0,50.0,33.0,14.0,38.0,33.0,45.0,19.0,30.0,22.0,12.0,20.0,22.0,9.0,16.0,12.0,5.0,7.0,1.0,13.0,10.0,5.0,5.0,0.0,4.0,0.0,569.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,583.0,314.0,507.0,500.0,300.0,394.0,571.0,632.0,515.0,356.0,316.0,233.0,545.0,583.0,300.0,591.0,222.0,313.0,583.0,600.0,143.0,1000.0,154.0,600.0,400.0,400.0,0.0,750.0,0.0,434.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,15.0,24.0,35.0,1.0,35.0,20.0,6.0,14.0,16.0,29.0,13.0,23.0,10.0,5.0,14.0,9.0,7.0,11.0,5.0,2.0,6.0,0.0,11.0,4.0,3.0,3.0,0.0,1.0,0.0,322.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,54.0,27.0,32.0,0.0,23.0,22.0,36.0,21.0,13.0,19.0,8.0,19.0,19.0,28.0,14.0,16.0,5.0,18.0,15.0,11.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,412.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,21.0,4.0,7.0,0.0,5.0,9.0,26.0,7.0,3.0,5.0,0.0,6.0,4.0,14.0,0.0,5.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,33.0,23.0,25.0,0.0,18.0,13.0,10.0,14.0,10.0,14.0,8.0,13.0,15.0,14.0,14.0,11.0,5.0,17.0,6.0,10.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,285.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,70.0,12.0,31.0,0.0,17.0,53.0,46.0,16.0,29.0,15.0,8.0,20.0,18.0,33.0,3.0,20.0,5.0,10.0,11.0,12.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,444.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,121.0,42.0,99.0,1.0,49.0,83.0,67.0,64.0,58.0,53.0,27.0,39.0,42.0,47.0,18.0,41.0,13.0,21.0,23.0,21.0,4.0,1.0,8.0,21.0,2.0,5.0,0.0,4.0,0.0,974.0,928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,142.0,21.0,44.0,6.0,17.0,62.0,76.0,38.0,40.0,7.0,2.0,19.0,35.0,71.0,5.0,43.0,8.0,9.0,44.0,24.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0,727.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
