Jogador,Giuseppe Bellusci,Dany Mota,Davide Frattesi,Carlos Augusto,Michele Di Gregorio,Giulio Donati,Kevin-Prince Boateng,Andrea Barberis,Mario Sampirisi,Christian Gytkjær,Antonino Barillà,Gabriel Paletta,Davide Bettella,Marco Armellino,Lorenzo Pirola,Andrea Colpani,Matteo Scozzarella,Andrea D'Errico,Davide Diaw,Filippo Scaglia,Eugenio Lamanna,Marco Fossati,Mirko Marić,Pepín,Marco D'Alessandro,Mario Balotelli,Federico Ricci,Daniele Sommariva,Franco Lepore,Mattia Finotto,Antonio Marin,Armando Anastasio,Nicola Rigoni,Luigi Caccavo,Edoardo Colferai,Luca Lombardi,Danilo Magli,Andrea Mazza,Nicola Mosti,Gianluca Ravarelli,Andrea Robbiati,Stefano Rubbi,Pietro Saio,Sabino Signorile
Pos.,ZG,AT,LT,ZG,G,ZG,"AT,LT",LT,ZG,AT,LT,ZG,ZG,LT,ZG,LT,LT,"LT,AT",AT,ZG,G,LT,AT,"LT,AT","AT,LT",AT,"AT,LT",G,ZG,AT,"AT,LT",ZG,LT,AT,AT,LT,LT,G,LT,G,ZG,G,ZG,AT
npxG+xAG.1,10.0,46.0,37.0,14.0,0.0,9.0,31.0,22.0,14.0,56.0,34.0,7.0,7.0,26.0,11.0,45.0,15.0,38.0,26.0,10.0,0.0,16.0,58.0,17.0,40.0,109.0,21.0,0.0,9.0,10.0,51.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,37.0,24.0,59.0,51.0,0.0,37.0,14.0,39.0,36.0,8.0,38.0,18.0,15.0,42.0,22.0,12.0,13.0,14.0,9.0,10.0,0.0,18.0,6.0,9.0,7.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,548.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,26.0,15.0,41.0,34.0,0.0,28.0,8.0,26.0,22.0,6.0,24.0,11.0,8.0,28.0,14.0,9.0,8.0,11.0,5.0,4.0,0.0,12.0,5.0,6.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,360.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,21.0,10.0,30.0,25.0,0.0,21.0,2.0,20.0,21.0,0.0,19.0,12.0,11.0,20.0,12.0,2.0,7.0,2.0,3.0,8.0,0.0,12.0,3.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,272.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,14.0,12.0,23.0,19.0,0.0,10.0,8.0,16.0,9.0,7.0,16.0,6.0,3.0,14.0,9.0,8.0,5.0,10.0,3.0,2.0,0.0,5.0,1.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,211.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,2.0,2.0,6.0,7.0,0.0,6.0,4.0,3.0,6.0,1.0,3.0,0.0,1.0,8.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,18.0,16.0,26.0,22.0,0.0,19.0,3.0,15.0,18.0,2.0,14.0,9.0,5.0,25.0,14.0,5.0,6.0,6.0,3.0,7.0,0.0,11.0,4.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,257.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,35.0,29.0,52.0,38.0,1.0,29.0,17.0,33.0,30.0,8.0,34.0,18.0,8.0,33.0,22.0,12.0,13.0,17.0,11.0,11.0,0.0,22.0,12.0,10.0,1.0,1.0,8.0,0.0,2.0,1.0,3.0,1.0,0.0,512.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,514.0,552.0,500.0,579.0,0.0,655.0,176.0,455.0,600.0,250.0,412.0,500.0,625.0,758.0,636.0,417.0,462.0,353.0,273.0,636.0,0.0,500.0,333.0,400.0,0.0,1000.0,375.0,0.0,0.0,0.0,0.0,1000.0,0.0,502.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,17.0,13.0,26.0,16.0,1.0,10.0,14.0,18.0,12.0,6.0,20.0,9.0,3.0,8.0,8.0,7.0,7.0,11.0,8.0,4.0,0.0,11.0,8.0,6.0,1.0,0.0,5.0,0.0,2.0,1.0,3.0,0.0,0.0,255.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,24.0,20.0,36.0,39.0,1.0,20.0,10.0,24.0,27.0,10.0,15.0,15.0,17.0,13.0,25.0,12.0,11.0,12.0,20.0,23.0,0.0,6.0,13.0,9.0,2.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,416.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,12.0,1.0,7.0,9.0,0.0,5.0,1.0,5.0,7.0,1.0,8.0,11.0,7.0,4.0,13.0,4.0,1.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,113.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,12.0,19.0,29.0,30.0,1.0,15.0,9.0,19.0,20.0,9.0,7.0,4.0,10.0,9.0,12.0,8.0,10.0,11.0,19.0,11.0,0.0,5.0,13.0,9.0,2.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,303.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,42.0,10.0,22.0,47.0,2.0,47.0,13.0,37.0,20.0,7.0,15.0,19.0,31.0,10.0,27.0,7.0,19.0,9.0,4.0,17.0,0.0,9.0,3.0,6.0,5.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,435.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,79.0,34.0,81.0,98.0,2.0,84.0,27.0,76.0,56.0,15.0,53.0,37.0,46.0,52.0,49.0,19.0,32.0,23.0,13.0,27.0,0.0,27.0,9.0,15.0,12.0,2.0,6.0,0.0,7.0,0.0,0.0,2.0,0.0,983.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,103.0,19.0,24.0,70.0,7.0,59.0,12.0,29.0,53.0,14.0,17.0,67.0,82.0,17.0,39.0,9.0,10.0,7.0,9.0,26.0,6.0,8.0,3.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,703.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
