Jogador,Antonio Candreva,Domagoj Bradarić,Lassana Coulibaly,Lorenzo Pirola,Loum Tchaouna,Guillermo Ochoa,Giulio Maggiore,Norbert Gyömbér,Grigoris Kastanos,Pasquale Mazzocchi,Federico Fazio,Toma Bašić,Benoît Costil,Boulaye Dia,Chukwubuikem Ikwuemesi,Matteo Lovato,Niccolò Pierozzi,Mateusz Łęgowski,Junior Sambia,Alessandro Zanoli,Flavius Daniliuc,Jovane Cabral,Emil Bohinen,Agustín Martegani,Simeon Nwankwo,Kostas Manolas,Marco Pellegrino,Shon Weissman,Triantafyllos Pasaridīs,Vincenzo Fiorillo,Erik Botheim,Jérôme Boateng,Emanuel Vignato,Iron Gomis,Trivante Stewart,Dylan Bronn,Andres Sfait,Gerardo Fusco,Mamadou Coulibaly,Pasquale Allocca,Luca Boncori,Rocco Di Vico,Emanuele Elia,Tommaso Ferrari,Salvati Gregorio,Niccolò Guccione,Antonio Iervolino,Andrei Motoc
Pos.,"LT,AT",ZG,LT,ZG,"AT,LT",G,LT,ZG,"LT,ZG",ZG,ZG,LT,G,"AT,LT",AT,ZG,ZG,LT,"ZG,LT",ZG,ZG,"LT,AT",LT,LT,AT,ZG,ZG,"AT,ZG",ZG,G,"AT,LT",ZG,"LT,AT",LT,"AT,LT","ZG,LT","ZG,LT",AT,ZG,G,AT,LT,ZG,ZG,G,ZG,LT,LT
xG.1,16.0,3.0,3.0,4.0,11.0,0.0,11.0,1.0,17.0,2.0,3.0,5.0,0.0,31.0,21.0,0.0,3.0,2.0,5.0,2.0,3.0,15.0,1.0,7.0,35.0,3.0,1.0,19.0,0.0,0.0,3.0,0.0,1.0,38.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,16.0,6.0,4.0,0.0,6.0,0.0,6.0,1.0,17.0,9.0,1.0,4.0,0.0,4.0,6.0,2.0,1.0,2.0,7.0,17.0,3.0,6.0,4.0,6.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,10.0,11.0,5.0,0.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,32.0,8.0,6.0,4.0,18.0,0.0,17.0,2.0,35.0,11.0,3.0,9.0,0.0,35.0,26.0,2.0,3.0,4.0,12.0,19.0,6.0,21.0,5.0,13.0,42.0,3.0,1.0,21.0,1.0,0.0,3.0,5.0,11.0,49.0,12.0,5.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,13.0,3.0,3.0,4.0,11.0,0.0,11.0,1.0,17.0,2.0,3.0,5.0,0.0,24.0,21.0,0.0,3.0,2.0,5.0,2.0,3.0,15.0,1.0,7.0,35.0,3.0,1.0,19.0,0.0,0.0,3.0,0.0,1.0,38.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,30.0,8.0,6.0,4.0,18.0,0.0,17.0,2.0,35.0,11.0,3.0,9.0,0.0,28.0,26.0,2.0,3.0,4.0,12.0,19.0,6.0,21.0,5.0,13.0,42.0,3.0,1.0,21.0,1.0,0.0,3.0,5.0,11.0,49.0,12.0,5.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,18.0,29.0,47.0,39.0,20.0,0.0,49.0,36.0,23.0,25.0,18.0,20.0,2.0,4.0,3.0,27.0,17.0,23.0,12.0,16.0,19.0,13.0,8.0,13.0,6.0,9.0,8.0,4.0,11.0,0.0,2.0,0.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,536.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,13.0,20.0,32.0,23.0,10.0,0.0,29.0,18.0,14.0,19.0,11.0,13.0,1.0,2.0,1.0,14.0,11.0,12.0,5.0,13.0,11.0,9.0,6.0,7.0,3.0,5.0,6.0,3.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,327.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,8.0,13.0,20.0,25.0,5.0,0.0,26.0,30.0,8.0,14.0,14.0,10.0,1.0,2.0,0.0,17.0,13.0,8.0,8.0,9.0,12.0,4.0,5.0,7.0,0.0,6.0,4.0,2.0,9.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,289.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,8.0,10.0,21.0,14.0,13.0,0.0,22.0,6.0,9.0,10.0,4.0,9.0,1.0,2.0,2.0,8.0,4.0,12.0,1.0,7.0,5.0,7.0,3.0,3.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,198.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,2.0,6.0,6.0,0.0,2.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
