Jogador,Andrea Consigli,Davide Frattesi,Rogério,Jeremy Toljan,Armand Lauriente,Martin Erlic,Maxime Lopez,Andrea Pinamonti,Gian Marco Ferrari,Domenico Berardi,Matheus Henrique,Ruan,Grégoire Defrel,Kristian Thorstvedt,Pedro Obiang,Giorgos Kyriakopoulos,Nedim Bajrami,Nadir Zortea,Hamed Junior Traorè,Abdou Harroui,Kaan Ayhan,Emil Ceide,Luca D'Andrea,Riccardo Marchizza,Gianluca Pegolo,Agustín Álvarez Martínez,Alessandro Russo,Mert Müldür,Janis Antiste,Filippo Romagna,Giacomo Raspadori,Kevin Bruno,Adrian Cannavaro,Edoardo Pieragnolo,Gioele Zacchi
Pos.,G,LT,ZG,ZG,AT,ZG,LT,AT,ZG,AT,LT,ZG,AT,LT,LT,"AT,ZG","AT,LT",ZG,"LT,AT",LT,ZG,AT,AT,ZG,G,"AT,LT",G,"AT,ZG",AT,ZG,AT,LT,ZG,ZG,G
xAG.1,0.0,6.0,8.0,8.0,26.0,1.0,8.0,6.0,2.0,32.0,8.0,0.0,4.0,9.0,2.0,17.0,16.0,9.0,27.0,5.0,0.0,23.0,23.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,30.0,10.0,10.0,45.0,3.0,12.0,36.0,7.0,87.0,21.0,3.0,31.0,26.0,6.0,29.0,37.0,11.0,41.0,25.0,0.0,38.0,31.0,10.0,0.0,46.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,24.0,2.0,2.0,16.0,2.0,4.0,26.0,5.0,24.0,13.0,3.0,27.0,17.0,4.0,13.0,21.0,2.0,15.0,20.0,0.0,15.0,8.0,0.0,0.0,36.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,30.0,10.0,10.0,42.0,3.0,12.0,32.0,7.0,56.0,21.0,3.0,31.0,26.0,6.0,29.0,37.0,11.0,41.0,25.0,0.0,38.0,31.0,10.0,0.0,46.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,1.0,63.0,37.0,36.0,21.0,27.0,42.0,10.0,23.0,23.0,26.0,38.0,9.0,16.0,26.0,21.0,12.0,15.0,11.0,17.0,10.0,5.0,4.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,502.0,634.0,0.0,0.0
TklW,0.0,36.0,21.0,23.0,15.0,16.0,18.0,7.0,16.0,14.0,12.0,26.0,7.0,7.0,17.0,8.0,7.0,8.0,6.0,6.0,4.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,281.0,360.0,0.0,0.0
Terço Def,1.0,24.0,22.0,17.0,5.0,18.0,26.0,0.0,11.0,8.0,9.0,25.0,5.0,4.0,12.0,7.0,6.0,12.0,4.0,6.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,237.0,319.0,0.0,0.0
Terço Central,0.0,29.0,8.0,14.0,7.0,8.0,12.0,5.0,10.0,10.0,11.0,12.0,2.0,9.0,12.0,9.0,2.0,2.0,6.0,7.0,4.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,186.0,244.0,0.0,0.0
Terço de Ataque,0.0,10.0,7.0,5.0,9.0,1.0,4.0,5.0,2.0,5.0,6.0,1.0,2.0,3.0,2.0,5.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,71.0,0.0,0.0
Div.1,0.0,25.0,17.0,22.0,8.0,10.0,16.0,3.0,10.0,9.0,12.0,19.0,4.0,6.0,10.0,10.0,5.0,9.0,4.0,2.0,7.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,216.0,270.0,0.0,0.0
