Jogador,Mattia Perin,Andrea Masiello,Milan Badelj,Ivan Radovanović,Davide Zappacosta,Miha Zajc,Mattia Destro,Domenico Criscito,Edoardo Goldaniga,Kevin Strootman,Eldor Shomurodov,Marko Pjaca,Goran Pandev,Lennart-Marten Czyborra,Paolo Ghiglione,Gianluca Scamacca,Lukas Lerager,Nicolò Rovella,Cristián Zapata,Davide Biraschi,Mattia Bani,Valon Behrami,Luca Pellegrini,Stefano Sturaro,Federico Marchetti,Filippo Melegoni,Francesco Cassata,Alberto Paleari,Jérôme Onguéné,Manolo Portanova,Vittorio Parigini,Giuseppe Caso,Steeve-Mike Ebongue,Yayah Kallon,Giuseppe Agostino,Peter Ankersen,Raúl Asencio,Joel Asoro,Petar Brlek,Daniel Dumbravanu,Darian Males,Claudiu Micovschi,Lasse Schöne,Lukáš Zima
Pos.,G,ZG,LT,"ZG,LT",ZG,LT,AT,ZG,ZG,LT,AT,"AT,LT","AT,LT",ZG,"ZG,LT",AT,LT,LT,ZG,ZG,ZG,LT,"ZG,LT",LT,G,"LT,ZG","ZG,AT",G,ZG,"LT,AT","LT,ZG","ZG,AT",LT,AT,G,ZG,AT,AT,LT,ZG,LT,LT,LT,G
Div.1,0.0,23.0,26.0,12.0,15.0,13.0,2.0,22.0,14.0,14.0,9.0,4.0,4.0,11.0,13.0,7.0,11.0,9.0,10.0,5.0,5.0,9.0,4.0,3.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,255.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,0.0,48.0,84.0,31.0,30.0,39.0,9.0,39.0,23.0,32.0,37.0,16.0,10.0,19.0,28.0,19.0,30.0,32.0,14.0,10.0,12.0,26.0,10.0,15.0,1.0,6.0,7.0,0.0,7.0,2.0,1.0,0.0,3.0,0.0,640.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,0.0,479.0,310.0,387.0,500.0,333.0,222.0,564.0,609.0,438.0,243.0,250.0,400.0,579.0,464.0,368.0,367.0,281.0,714.0,500.0,417.0,346.0,400.0,200.0,1000.0,500.0,571.0,0.0,286.0,0.0,0.0,0.0,0.0,0.0,398.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,0.0,25.0,58.0,19.0,15.0,26.0,7.0,17.0,9.0,18.0,28.0,12.0,6.0,8.0,15.0,12.0,19.0,23.0,4.0,5.0,7.0,17.0,6.0,12.0,0.0,3.0,3.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,385.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,32.0,51.0,39.0,17.0,30.0,11.0,27.0,17.0,35.0,17.0,7.0,6.0,6.0,14.0,21.0,13.0,11.0,15.0,12.0,16.0,13.0,11.0,5.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,437.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,13.0,10.0,21.0,1.0,4.0,0.0,14.0,7.0,3.0,2.0,2.0,0.0,1.0,2.0,4.0,3.0,0.0,11.0,6.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,123.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,19.0,41.0,18.0,16.0,26.0,11.0,13.0,10.0,32.0,15.0,5.0,6.0,5.0,12.0,17.0,10.0,11.0,4.0,6.0,5.0,8.0,9.0,5.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,314.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,1.0,53.0,87.0,37.0,18.0,27.0,4.0,44.0,38.0,25.0,6.0,7.0,2.0,17.0,13.0,9.0,14.0,20.0,15.0,21.0,27.0,9.0,8.0,7.0,0.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,520.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,1.0,91.0,143.0,55.0,51.0,49.0,10.0,87.0,66.0,55.0,34.0,20.0,11.0,36.0,40.0,28.0,38.0,49.0,33.0,38.0,37.0,30.0,17.0,18.0,1.0,12.0,10.0,0.0,4.0,4.0,5.0,0.0,2.0,0.0,1075.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,6.0,107.0,45.0,114.0,41.0,19.0,8.0,51.0,62.0,18.0,11.0,12.0,7.0,27.0,25.0,12.0,25.0,19.0,56.0,26.0,44.0,13.0,13.0,2.0,2.0,8.0,1.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,785.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
