Jogador,Łukasz Skorupski,Jhon Lucumí,Stefan Posch,Jerdy Schouten,Lewis Ferguson,Nicolás Domínguez,Musa Barrow,Andrea Cambiaso,Riccardo Orsolini,Adama Soumaoro,Michel Aebischer,Marko Arnautović,Gary Medel,Roberto Soriano,Nikola Moro,Charalambos Lykogiannis,Kevin Bonifazi,Nicola Sansone,Giorgos Kyriakopoulos,Joaquin Sosa,Lorenzo De Silvestri,Joshua Zirkzee,Denso Kasius,Emanuel Vignato,Francesco Bardi,Niklas Pyyhtiä,Antonio Raimondo,Wisdom Amey,Matteo Angeli,Nicola Bagnolini,Ibrahima Mbaye,Mattia Motolese,Francesco Raffaelli,Federico Ravaglia,Kacper Urbanski
Pos.,G,ZG,ZG,LT,"LT,AT",LT,"AT,LT",ZG,AT,ZG,"AT,LT",AT,"LT,ZG","AT,LT",LT,ZG,ZG,AT,"ZG,AT",ZG,ZG,AT,ZG,"LT,AT",G,LT,AT,ZG,ZG,G,"ZG,LT",ZG,G,G,LT
TklW,1.0,37.0,43.0,38.0,25.0,49.0,4.0,34.0,19.0,17.0,6.0,6.0,15.0,16.0,21.0,8.0,8.0,4.0,6.0,2.0,2.0,2.0,6.0,4.0,0.0,0.0,0.0,373.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,2.0,39.0,41.0,28.0,16.0,34.0,10.0,34.0,15.0,11.0,3.0,2.0,16.0,9.0,11.0,5.0,7.0,6.0,4.0,5.0,2.0,1.0,7.0,2.0,0.0,0.0,0.0,310.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,13.0,29.0,33.0,20.0,33.0,6.0,20.0,10.0,12.0,6.0,5.0,7.0,16.0,15.0,6.0,6.0,4.0,5.0,1.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,255.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,1.0,11.0,2.0,8.0,12.0,5.0,3.0,5.0,2.0,3.0,2.0,2.0,6.0,6.0,5.0,0.0,2.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,83.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,1.0,24.0,44.0,27.0,20.0,39.0,8.0,28.0,17.0,5.0,2.0,1.0,9.0,13.0,14.0,5.0,6.0,5.0,10.0,4.0,3.0,2.0,8.0,2.0,0.0,0.0,0.0,297.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,2.0,43.0,75.0,49.0,40.0,76.0,14.0,65.0,41.0,7.0,18.0,6.0,16.0,25.0,36.0,13.0,12.0,10.0,23.0,18.0,7.0,7.0,10.0,4.0,0.0,1.0,0.0,618.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,500.0,558.0,587.0,551.0,500.0,513.0,571.0,431.0,415.0,714.0,111.0,167.0,563.0,520.0,389.0,385.0,500.0,500.0,435.0,222.0,429.0,286.0,800.0,500.0,0.0,0.0,0.0,481.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,1.0,19.0,31.0,22.0,20.0,37.0,6.0,37.0,24.0,2.0,16.0,5.0,7.0,12.0,22.0,8.0,6.0,5.0,13.0,14.0,4.0,5.0,2.0,2.0,0.0,1.0,0.0,321.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,43.0,44.0,40.0,22.0,29.0,25.0,26.0,29.0,18.0,14.0,11.0,17.0,23.0,15.0,9.0,11.0,0.0,14.0,5.0,6.0,4.0,6.0,2.0,0.0,1.0,0.0,414.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,26.0,15.0,17.0,7.0,3.0,1.0,2.0,3.0,13.0,2.0,1.0,10.0,2.0,2.0,4.0,8.0,0.0,2.0,3.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,131.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,17.0,29.0,23.0,15.0,26.0,24.0,24.0,26.0,5.0,12.0,10.0,7.0,21.0,13.0,5.0,3.0,0.0,12.0,2.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,283.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,35.0,35.0,40.0,19.0,21.0,1.0,26.0,8.0,15.0,7.0,2.0,28.0,6.0,8.0,15.0,12.0,0.0,4.0,6.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,302.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,2.0,88.0,116.0,103.0,63.0,100.0,22.0,83.0,38.0,40.0,19.0,11.0,53.0,37.0,40.0,31.0,25.0,12.0,17.0,12.0,6.0,8.0,15.0,7.0,0.0,2.0,0.0,950.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,19.0,100.0,69.0,43.0,25.0,29.0,7.0,33.0,18.0,75.0,9.0,10.0,34.0,14.0,18.0,30.0,39.0,4.0,10.0,31.0,20.0,4.0,6.0,0.0,0.0,4.0,1.0,652.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
