Jogador,Pietro Terracciano,Nikola Milenković,Cristiano Biraghi,Giacomo Bonaventura,Lucas Martínez Quarta,Alfred Duncan,Luca Ranieri,Arthur Melo,Michael Kayode,Nicolás González,Lucas Beltrán,Jonathan Ikone,Rolando Mandragora,Fabiano Parisi,M'Bala Nzola,Riccardo Sottil,Christian Kouamé,Andrea Belotti,Antonín Barák,Josip Brekalo,Maxime Lopez,Dodô,Gaetano Castrovilli,Davide Faraoni,Oliver Christensen,Tommaso Martinelli,Gino Infantino,Yerry Mina,Pietro Comuzzo,Lorenzo Amatucci,Sofyan Amrabat,Christian Biagetti,Christian Dalle Mura,Maat Daniel Caprini,Niccolò Fortini,Luka Jović,Aleksandr Kokorin,Niccolò Pierozzi,Abdelhamid Sabiri,Fallou Sene,Tommaso Vannucchi
Pos.,G,ZG,ZG,LT,ZG,LT,ZG,LT,ZG,AT,"AT,LT",AT,LT,ZG,AT,AT,AT,AT,"LT,AT",AT,LT,ZG,"AT,LT",ZG,G,G,LT,"ZG,LT","ZG,AT",LT,LT,ZG,ZG,AT,LT,AT,"AT,LT",ZG,LT,AT,G
PrgP,0.0,81.0,129.0,140.0,177.0,133.0,99.0,133.0,80.0,100.0,49.0,58.0,93.0,78.0,29.0,33.0,41.0,15.0,33.0,25.0,48.0,39.0,12.0,17.0,0.0,0.0,7.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,10.0,109.0,107.0,16.0,47.0,5.0,27.0,102.0,190.0,113.0,154.0,32.0,64.0,143.0,139.0,110.0,60.0,64.0,69.0,11.0,21.0,25.0,16.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,0.0,8.0,32.0,20.0,10.0,9.0,9.0,4.0,56.0,32.0,16.0,17.0,0.0,17.0,16.0,17.0,28.0,22.0,14.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,0.0,19.0,12.0,4.0,24.0,4.0,14.0,4.0,9.0,11.0,5.0,17.0,6.0,17.0,24.0,8.0,0.0,33.0,0.0,0.0,0.0,49.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,0.0,27.0,43.0,24.0,33.0,13.0,23.0,9.0,66.0,43.0,21.0,34.0,6.0,35.0,41.0,25.0,28.0,56.0,14.0,0.0,0.0,74.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,0.0,8.0,32.0,20.0,10.0,9.0,5.0,4.0,52.0,27.0,16.0,17.0,0.0,12.0,16.0,17.0,28.0,22.0,14.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,0.0,27.0,43.0,24.0,33.0,13.0,18.0,9.0,61.0,37.0,21.0,34.0,6.0,29.0,41.0,25.0,28.0,56.0,14.0,0.0,0.0,74.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,1.0,6.0,22.0,11.0,7.0,4.0,5.0,2.0,49.0,20.0,25.0,20.0,6.0,26.0,21.0,16.0,35.0,17.0,6.0,2.0,1.0,8.0,2.0,0.0,0.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,1.0,3.0,14.0,14.0,7.0,10.0,2.0,8.0,5.0,7.0,8.0,10.0,9.0,15.0,9.0,20.0,15.0,7.0,25.0,4.0,6.0,13.0,15.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,1.0,4.0,20.0,36.0,18.0,17.0,6.0,13.0,7.0,56.0,28.0,35.0,29.0,20.0,36.0,41.0,31.0,41.0,42.0,10.0,8.0,15.0,23.0,11.0,0.0,0.0,5.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,1.0,3.0,18.0,11.0,7.0,4.0,1.0,2.0,38.0,16.0,25.0,20.0,6.0,22.0,21.0,16.0,35.0,17.0,6.0,2.0,1.0,8.0,2.0,0.0,0.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,1.0,4.0,17.0,32.0,18.0,17.0,6.0,9.0,7.0,45.0,24.0,35.0,29.0,20.0,31.0,41.0,31.0,41.0,42.0,10.0,8.0,15.0,23.0,11.0,0.0,0.0,5.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,1.0,41.0,47.0,26.0,75.0,35.0,14.0,45.0,53.0,28.0,27.0,22.0,26.0,30.0,11.0,10.0,13.0,8.0,6.0,8.0,18.0,5.0,3.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,564.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
