Jogador,Vanja Milinković-Savić,Alessandro Buongiorno,Ricardo Rodríguez,Nikola Vlašić,Antonio Sanabria,Perr Schuurs,Koffi Djidji,Aleksei Miranchuk,Wilfried Singo,Samuele Ricci,Karol Linetty,Mërgim Vojvoda,Nemanja Radonjić,Valentino Lazaro,Saša Lukić,Ivan Ilić,Ola Aina,Yann Karamoh,Demba Seck,Pietro Pellegri,David Zima,Andrew Gravillon,Michel Ndary Adopo,Gvidas Gineitis,Emirhan İlkhan,Brian Bayeye,Jacopo Segre,Ronaldo Vieira,Etrit Berisha,Aaron Ciammaglichella,Ali Dembélé,Simone Edera,Matteo Fiorenza,Matt Garbett,Luca Gemello,Caumenan N'Guessan,Sebastian Wade
Pos.,G,ZG,ZG,"LT,AT",AT,ZG,ZG,LT,ZG,LT,LT,ZG,"LT,AT",ZG,LT,LT,ZG,"LT,AT","LT,AT",AT,ZG,ZG,"LT,ZG",LT,LT,ZG,ZG,LT,G,LT,ZG,LT,G,LT,G,ZG,ZG
Div.1,2.0,16.0,28.0,15.0,1.0,14.0,18.0,3.0,12.0,18.0,13.0,12.0,0.0,6.0,9.0,10.0,9.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,199.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,2.0,31.0,42.0,34.0,7.0,26.0,32.0,11.0,19.0,23.0,25.0,24.0,4.0,14.0,15.0,20.0,15.0,5.0,3.0,3.0,4.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,367.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,1000.0,516.0,667.0,441.0,143.0,538.0,563.0,273.0,632.0,783.0,520.0,500.0,0.0,429.0,600.0,500.0,600.0,200.0,667.0,667.0,750.0,0.0,333.0,500.0,1000.0,1000.0,0.0,1000.0,542.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,0.0,15.0,14.0,19.0,6.0,12.0,14.0,8.0,7.0,5.0,12.0,12.0,4.0,8.0,6.0,10.0,6.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,168.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,38.0,30.0,25.0,9.0,28.0,29.0,11.0,15.0,20.0,28.0,14.0,3.0,16.0,17.0,12.0,12.0,5.0,3.0,5.0,7.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,337.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,19.0,15.0,2.0,2.0,16.0,14.0,0.0,2.0,5.0,8.0,2.0,0.0,3.0,7.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,110.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,19.0,15.0,23.0,7.0,12.0,15.0,11.0,13.0,15.0,20.0,12.0,3.0,13.0,10.0,9.0,10.0,5.0,2.0,4.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,227.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,1.0,60.0,38.0,10.0,4.0,28.0,34.0,2.0,12.0,17.0,19.0,10.0,2.0,3.0,13.0,5.0,11.0,0.0,1.0,0.0,9.0,9.0,1.0,0.0,2.0,1.0,0.0,0.0,292.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,3.0,98.0,92.0,42.0,15.0,79.0,84.0,13.0,39.0,49.0,51.0,32.0,4.0,13.0,34.0,23.0,28.0,5.0,6.0,6.0,18.0,12.0,8.0,3.0,3.0,4.0,0.0,1.0,765.0,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,19.0,105.0,61.0,14.0,7.0,102.0,72.0,5.0,33.0,29.0,25.0,31.0,4.0,29.0,10.0,10.0,26.0,2.0,1.0,4.0,11.0,16.0,4.0,1.0,2.0,2.0,0.0,2.0,627.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
