Jogador,Norbert Gyömbér,Vid Belec,Tiago Casasola,Francesco Di Tacchio,Gennaro Tutino,Milan Đurić,Ramzi Aya,Leonardo Capezzi,Tomasz Kupisz,Luka Bogdan,Freddie Veseli,Mamadou Coulibaly,Valerio Mantovani,Paweł Jaroszyński,Cedric Gondo,Walter López,Emanuele Cicerelli,Anderson Lima,Andrea Schiavone,Sofian Kiyine,Patryk Dziczek,Marius Adamonis,Cristiano Lombardi,Niccolò Giannetti,Felipe Curcio,Sanasi Sy,Riza Durmisi,Julian Kristoffersen,Mirko Antonucci,Marco Migliorini,Edoardo Iannoni,Reda Boultam,Joel Baraye,Antreas Karo,Giuseppe Barone,Gioacchino Galeotafiore,Guido Guerrieri,Alessandro Micai,Antonio Russo,Stefano Russo
Pos.,ZG,G,ZG,LT,AT,AT,ZG,LT,"LT,ZG",ZG,ZG,LT,ZG,ZG,AT,ZG,"LT,ZG","LT,AT",LT,"LT,AT",LT,G,LT,"AT,LT",ZG,ZG,ZG,"AT,LT","ZG,AT",ZG,LT,LT,ZG,LT,LT,ZG,G,G,G,G
TklW,34.0,0.0,41.0,47.0,5.0,7.0,5.0,35.0,23.0,21.0,12.0,26.0,9.0,18.0,5.0,13.0,14.0,15.0,14.0,8.0,14.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,301.0,0.0,0.0,0.0,0.0
Terço Def,38.0,0.0,46.0,41.0,2.0,1.0,8.0,24.0,16.0,20.0,8.0,20.0,10.0,15.0,0.0,11.0,7.0,11.0,6.0,6.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,228.0,0.0,0.0,0.0,0.0
Terço Central,7.0,0.0,22.0,24.0,3.0,6.0,1.0,24.0,12.0,10.0,10.0,21.0,2.0,10.0,3.0,6.0,13.0,9.0,11.0,5.0,6.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,211.0,181.0,0.0,0.0,0.0,0.0
Terço de Ataque,4.0,0.0,3.0,1.0,2.0,6.0,0.0,5.0,5.0,2.0,0.0,3.0,0.0,7.0,3.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0
Div.1,26.0,0.0,41.0,30.0,3.0,3.0,4.0,15.0,16.0,10.0,7.0,13.0,6.0,13.0,2.0,9.0,11.0,8.0,8.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,205.0,0.0,0.0,0.0,0.0
Tent,41.0,0.0,74.0,57.0,16.0,6.0,8.0,37.0,38.0,21.0,13.0,28.0,10.0,24.0,8.0,17.0,30.0,27.0,33.0,11.0,17.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,523.0,472.0,0.0,0.0,0.0,0.0
Tkl%,634.0,0.0,554.0,526.0,188.0,500.0,500.0,405.0,421.0,476.0,538.0,464.0,600.0,542.0,250.0,529.0,367.0,296.0,242.0,364.0,647.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,434.0,0.0,0.0,0.0,0.0
Perdido,15.0,0.0,33.0,27.0,13.0,3.0,4.0,22.0,22.0,11.0,6.0,15.0,4.0,11.0,6.0,8.0,19.0,19.0,25.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,279.0,267.0,0.0,0.0,0.0,0.0
Bloqueios,50.0,0.0,38.0,43.0,17.0,12.0,17.0,35.0,25.0,19.0,13.0,12.0,18.0,13.0,6.0,13.0,14.0,23.0,18.0,10.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,334.0,0.0,0.0,0.0,0.0
TC,36.0,0.0,8.0,18.0,0.0,2.0,15.0,3.0,6.0,6.0,9.0,0.0,14.0,3.0,1.0,7.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,104.0,0.0,0.0,0.0,0.0
Passe,14.0,0.0,30.0,25.0,17.0,10.0,2.0,32.0,19.0,13.0,4.0,12.0,4.0,10.0,5.0,6.0,14.0,22.0,14.0,9.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,230.0,0.0,0.0,0.0,0.0
Crts,52.0,2.0,62.0,75.0,6.0,4.0,23.0,14.0,22.0,50.0,28.0,27.0,25.0,17.0,10.0,19.0,14.0,7.0,27.0,11.0,9.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,509.0,395.0,0.0,0.0,0.0,0.0
Tkl+Int,101.0,2.0,133.0,141.0,13.0,17.0,32.0,67.0,55.0,82.0,46.0,71.0,37.0,49.0,16.0,36.0,37.0,30.0,46.0,23.0,26.0,0.0,1.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1073.0,855.0,0.0,0.0,0.0,0.0
Def,235.0,13.0,88.0,52.0,5.0,36.0,90.0,27.0,27.0,79.0,64.0,11.0,43.0,31.0,8.0,47.0,9.0,1.0,26.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,915.0,786.0,0.0,0.0,0.0,0.0
Erros,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0
