Jogador,João Pedro,Răzvan Marin,Alessio Cragno,Nahitan Nández,Charalambos Lykogiannis,Diego Godín,Gabriele Zappa,Radja Nainggolan,Giovanni Simeone,Sebastian Walukiewicz,Leonardo Pavoletti,Luca Ceppitelli,Marko Rog,Riccardo Sottil,Andrea Carboni,Alfred Duncan,Daniele Rugani,Ragnar Klavan,Alessandro Deiola,Paolo Faragò,Guglielmo Vicario,Christian Oliva,Alberto Cerri,Adam Ounas,Alessandro Tripaldelli,Gastón Pereiro,Fabio Pisacane,Fabrizio Caligara,Kwadwo Asamoah,Mattéo Tramoni,Arturo Calabresi,Kiril Despodov,Simone Aresti,Salvatore Boccia,Giuseppe Ciocci,Gianluca Contini,Isaias Del Pupo,Riccardo Ladinetti,Marko Pajač,Francesco Paolo Cusumano,Simone Pinna
Pos.,"AT,LT",LT,G,"LT,ZG",ZG,ZG,ZG,LT,AT,ZG,AT,ZG,LT,"AT,LT",ZG,LT,ZG,ZG,LT,ZG,G,LT,AT,"LT,AT",ZG,"LT,ZG",ZG,"LT,AT","ZG,LT","LT,AT",ZG,AT,G,ZG,G,AT,LT,LT,"ZG,LT",ZG,ZG
npxG.1,24.0,4.0,0.0,11.0,8.0,3.0,2.0,7.0,40.0,4.0,41.0,3.0,2.0,12.0,3.0,2.0,4.0,4.0,3.0,4.0,0.0,0.0,74.0,25.0,0.0,76.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,39.0,18.0,0.0,20.0,14.0,6.0,18.0,17.0,47.0,7.0,47.0,4.0,4.0,25.0,12.0,14.0,9.0,5.0,15.0,17.0,0.0,2.0,89.0,52.0,4.0,115.0,0.0,13.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,13.0,54.0,0.0,56.0,34.0,60.0,34.0,41.0,24.0,27.0,7.0,25.0,40.0,7.0,34.0,18.0,24.0,15.0,13.0,13.0,0.0,10.0,3.0,3.0,13.0,3.0,3.0,6.0,4.0,4.0,0.0,1.0,589.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,6.0,33.0,0.0,28.0,21.0,32.0,17.0,26.0,11.0,19.0,3.0,19.0,24.0,3.0,23.0,10.0,11.0,9.0,5.0,9.0,0.0,4.0,2.0,2.0,6.0,1.0,2.0,4.0,3.0,2.0,0.0,1.0,336.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,2.0,26.0,0.0,23.0,22.0,51.0,16.0,22.0,2.0,11.0,2.0,13.0,15.0,2.0,23.0,8.0,10.0,9.0,5.0,10.0,0.0,6.0,0.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,296.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,6.0,22.0,0.0,23.0,9.0,9.0,15.0,14.0,15.0,13.0,5.0,10.0,22.0,3.0,11.0,9.0,12.0,5.0,4.0,3.0,0.0,3.0,2.0,0.0,6.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,5.0,6.0,0.0,10.0,3.0,0.0,3.0,5.0,7.0,3.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,64.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,2.0,27.0,0.0,25.0,22.0,24.0,22.0,19.0,7.0,12.0,1.0,14.0,16.0,0.0,15.0,4.0,10.0,7.0,8.0,9.0,0.0,6.0,0.0,0.0,5.0,1.0,3.0,6.0,2.0,1.0,0.0,1.0,269.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,27.0,53.0,1.0,68.0,38.0,39.0,49.0,34.0,31.0,30.0,20.0,26.0,37.0,7.0,28.0,21.0,20.0,11.0,23.0,20.0,0.0,17.0,5.0,11.0,6.0,2.0,7.0,9.0,3.0,2.0,1.0,1.0,647.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,74.0,509.0,0.0,368.0,579.0,615.0,449.0,559.0,226.0,400.0,50.0,538.0,432.0,0.0,536.0,190.0,500.0,636.0,348.0,450.0,0.0,353.0,0.0,0.0,833.0,500.0,429.0,667.0,667.0,500.0,0.0,1000.0,416.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,25.0,26.0,1.0,43.0,16.0,15.0,27.0,15.0,24.0,18.0,19.0,12.0,21.0,7.0,13.0,17.0,10.0,4.0,15.0,11.0,0.0,11.0,5.0,11.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,378.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,32.0,29.0,0.0,26.0,34.0,41.0,36.0,18.0,23.0,22.0,4.0,23.0,17.0,4.0,15.0,8.0,15.0,9.0,7.0,3.0,0.0,11.0,4.0,5.0,6.0,2.0,8.0,9.0,5.0,5.0,0.0,0.0,421.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,6.0,10.0,0.0,4.0,13.0,24.0,4.0,0.0,1.0,14.0,2.0,12.0,6.0,0.0,4.0,0.0,10.0,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,130.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,26.0,19.0,0.0,22.0,21.0,17.0,32.0,18.0,22.0,8.0,2.0,11.0,11.0,4.0,11.0,8.0,5.0,5.0,5.0,1.0,0.0,10.0,2.0,5.0,5.0,2.0,3.0,7.0,4.0,5.0,0.0,0.0,291.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,13.0,29.0,1.0,23.0,32.0,56.0,24.0,15.0,10.0,36.0,4.0,25.0,19.0,5.0,14.0,16.0,15.0,8.0,11.0,6.0,0.0,8.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,388.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,26.0,83.0,1.0,79.0,66.0,116.0,58.0,56.0,34.0,63.0,11.0,50.0,59.0,12.0,48.0,34.0,39.0,23.0,24.0,19.0,0.0,18.0,5.0,6.0,16.0,4.0,4.0,9.0,8.0,5.0,0.0,1.0,977.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,28.0,15.0,10.0,49.0,94.0,117.0,50.0,15.0,18.0,60.0,32.0,58.0,15.0,3.0,52.0,8.0,46.0,34.0,11.0,15.0,1.0,7.0,6.0,0.0,15.0,2.0,9.0,3.0,2.0,2.0,0.0,0.0,777.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
