Jogador,Mike Maignan,Rafael Leão,Sandro Tonali,Fikayo Tomori,Theo Hernández,Franck Kessié,Brahim Díaz,Davide Calabria,Olivier Giroud,Alexis Saelemaekers,Pierre Kalulu,Alessio Romagnoli,Ismaël Bennacer,Rade Krunić,Junior Messias,Alessandro Florenzi,Zlatan Ibrahimović,Simon Kjær,Ante Rebić,Ciprian Tătărușanu,Matteo Gabbia,Tiemoué Bakayoko,Fodé Ballo-Touré,Daniel Maldini,Pietro Pellegri,Samu Castillejo,Andrea Conti,Luca Stanga,Sebastiano Desplanches,Enrico Di Gesù,Andreas Jungdal,Marko Lazetić,Antonio Mirante,Lapo Nava,Alessandro Plizzari,Tommaso Pobega
Pos.,G,AT,LT,ZG,ZG,LT,LT,ZG,AT,AT,ZG,ZG,LT,"LT,AT","AT,LT","ZG,AT",AT,ZG,AT,G,ZG,LT,ZG,LT,AT,"AT,LT",ZG,ZG,G,LT,G,AT,G,G,G,LT
Gols.1,0.0,38.0,17.0,0.0,17.0,23.0,15.0,8.0,52.0,5.0,5.0,6.0,12.0,0.0,32.0,16.0,71.0,0.0,20.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,3.0,35.0,7.0,0.0,17.0,0.0,15.0,8.0,14.0,14.0,9.0,0.0,6.0,6.0,13.0,0.0,18.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,3.0,73.0,24.0,0.0,33.0,23.0,29.0,17.0,67.0,19.0,14.0,6.0,18.0,6.0,44.0,16.0,89.0,0.0,40.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,38.0,17.0,0.0,13.0,16.0,15.0,8.0,43.0,5.0,5.0,6.0,12.0,0.0,32.0,16.0,71.0,0.0,20.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,3.0,73.0,24.0,0.0,30.0,16.0,29.0,17.0,57.0,19.0,14.0,6.0,18.0,6.0,44.0,16.0,89.0,0.0,40.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,30.0,14.0,4.0,12.0,17.0,20.0,16.0,47.0,14.0,2.0,4.0,4.0,5.0,22.0,6.0,64.0,5.0,24.0,0.0,1.0,5.0,6.0,26.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,1.0,23.0,14.0,0.0,19.0,6.0,11.0,8.0,11.0,16.0,3.0,1.0,8.0,11.0,11.0,7.0,18.0,4.0,48.0,0.0,1.0,6.0,3.0,4.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,1.0,54.0,28.0,4.0,32.0,24.0,31.0,24.0,58.0,30.0,5.0,4.0,12.0,15.0,33.0,13.0,82.0,9.0,73.0,0.0,2.0,11.0,9.0,30.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,30.0,14.0,4.0,9.0,8.0,20.0,16.0,39.0,14.0,2.0,4.0,4.0,5.0,22.0,6.0,57.0,5.0,24.0,0.0,1.0,5.0,6.0,26.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,1.0,54.0,28.0,4.0,29.0,14.0,31.0,24.0,50.0,30.0,5.0,4.0,12.0,15.0,33.0,13.0,75.0,9.0,73.0,0.0,2.0,11.0,9.0,30.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,2.0,17.0,54.0,73.0,53.0,41.0,23.0,62.0,15.0,43.0,61.0,24.0,44.0,33.0,34.0,28.0,0.0,20.0,14.0,0.0,4.0,19.0,18.0,8.0,2.0,4.0,0.0,1.0,697.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0
