Jogador,Josep Martinez,Morten Frendrup,Albert Guðmundsson,Johan Vásquez,Milan Badelj,Stefano Sabelli,Mattia Bani,Koni De Winter,Mateo Retegui,Radu Drăgușin,Ruslan Malinovskyi,Aarón Martín,Kevin Strootman,Alessandro Vogliacco,Junior Messias,Caleb Ekuban,Morten Thorsby,Djed Spence,Ridgeciano Haps,Vitinha,Nicola Leali,George Pușcaș,Silvan Hefti,Giorgio Cittadini,Alan Matturro,Davide Biraschi,Berkan Kutlu,David Akpan Ankeye,Emil Bohinen,Seydou Fini,Filip Jagiełło,Pablo Galdames Millán,Daniele Sommariva,Christos Papadopoulos,Mattia Aramu,Riccardo Arboscello,Simone Calvani,Faroukou Cissé,Massimo Coda,Tommaso Pittino
Pos.,G,LT,"AT,LT",ZG,LT,ZG,ZG,ZG,AT,ZG,LT,ZG,LT,ZG,"LT,ZG",AT,LT,ZG,ZG,"AT,LT",G,AT,"LT,ZG",ZG,ZG,ZG,LT,AT,LT,"ZG,AT",LT,"LT,ZG",G,AT,"AT,LT",LT,G,LT,AT,ZG
G+A-PB,0.0,20.0,42.0,6.0,14.0,4.0,8.0,4.0,32.0,16.0,29.0,7.0,15.0,8.0,9.0,40.0,31.0,0.0,12.0,63.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,5.0,30.0,6.0,5.0,3.0,5.0,3.0,24.0,5.0,6.0,1.0,1.0,3.0,14.0,23.0,14.0,2.0,1.0,36.0,0.0,98.0,0.0,0.0,6.0,10.0,7.0,0.0,0.0,34.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,5.0,16.0,3.0,4.0,7.0,0.0,4.0,3.0,4.0,3.0,11.0,10.0,4.0,11.0,11.0,11.0,3.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,9.0,45.0,8.0,9.0,10.0,5.0,7.0,27.0,10.0,10.0,12.0,10.0,7.0,25.0,34.0,25.0,4.0,10.0,40.0,0.0,102.0,0.0,0.0,6.0,10.0,20.0,0.0,17.0,34.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,5.0,17.0,6.0,5.0,3.0,5.0,3.0,20.0,5.0,6.0,1.0,1.0,3.0,14.0,23.0,14.0,2.0,1.0,36.0,0.0,98.0,0.0,0.0,6.0,10.0,7.0,0.0,0.0,34.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,9.0,33.0,8.0,9.0,10.0,5.0,7.0,24.0,10.0,10.0,12.0,10.0,7.0,25.0,34.0,25.0,4.0,10.0,40.0,0.0,102.0,0.0,0.0,6.0,10.0,20.0,0.0,17.0,34.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,0.0,133.0,23.0,51.0,51.0,50.0,26.0,44.0,17.0,16.0,35.0,21.0,34.0,23.0,26.0,8.0,19.0,16.0,7.0,2.0,0.0,0.0,6.0,5.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,625.0,493.0,0.0,0.0,0.0,0.0
TklW,0.0,72.0,10.0,33.0,27.0,24.0,10.0,25.0,9.0,11.0,20.0,10.0,19.0,15.0,20.0,4.0,11.0,10.0,6.0,2.0,0.0,0.0,1.0,4.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,352.0,298.0,0.0,0.0,0.0,0.0
Terço Def,0.0,47.0,8.0,38.0,23.0,28.0,18.0,26.0,7.0,9.0,18.0,7.0,13.0,14.0,19.0,2.0,9.0,12.0,3.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,230.0,0.0,0.0,0.0,0.0
Terço Central,0.0,70.0,10.0,11.0,24.0,19.0,7.0,13.0,8.0,6.0,11.0,10.0,18.0,8.0,5.0,4.0,8.0,4.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,247.0,198.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,16.0,5.0,2.0,4.0,3.0,1.0,5.0,2.0,1.0,6.0,4.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,65.0,0.0,0.0,0.0,0.0
Div.1,0.0,55.0,12.0,32.0,24.0,15.0,11.0,21.0,6.0,8.0,17.0,9.0,15.0,12.0,8.0,5.0,7.0,8.0,5.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,200.0,0.0,0.0,0.0,0.0
Tent,0.0,91.0,44.0,50.0,61.0,46.0,22.0,31.0,20.0,9.0,41.0,22.0,31.0,15.0,19.0,9.0,14.0,10.0,8.0,2.0,0.0,3.0,7.0,3.0,1.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,571.0,393.0,0.0,0.0,0.0,0.0
Tkl%,0.0,604.0,273.0,640.0,393.0,326.0,500.0,677.0,300.0,889.0,415.0,409.0,484.0,800.0,421.0,556.0,500.0,800.0,625.0,500.0,0.0,0.0,571.0,1000.0,1000.0,333.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,509.0,0.0,0.0,0.0,0.0
Perdido,0.0,36.0,32.0,18.0,37.0,31.0,11.0,10.0,14.0,1.0,24.0,13.0,16.0,3.0,11.0,4.0,7.0,2.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,288.0,193.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,55.0,15.0,50.0,45.0,27.0,51.0,30.0,18.0,18.0,22.0,12.0,20.0,16.0,9.0,11.0,21.0,20.0,3.0,2.0,0.0,1.0,2.0,1.0,6.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,462.0,339.0,0.0,0.0,0.0,0.0
TC,0.0,14.0,2.0,26.0,13.0,6.0,31.0,10.0,2.0,12.0,8.0,4.0,6.0,10.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162.0,88.0,0.0,0.0,0.0,0.0
Passe,0.0,41.0,13.0,24.0,32.0,21.0,20.0,20.0,16.0,6.0,14.0,8.0,14.0,6.0,8.0,8.0,16.0,15.0,3.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,300.0,251.0,0.0,0.0,0.0,0.0
Crts,1.0,51.0,11.0,45.0,50.0,23.0,22.0,21.0,0.0,21.0,5.0,9.0,7.0,30.0,5.0,1.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,332.0,271.0,0.0,0.0,0.0,0.0
Tkl+Int,1.0,184.0,34.0,96.0,101.0,73.0,48.0,65.0,17.0,37.0,40.0,30.0,41.0,53.0,31.0,9.0,23.0,24.0,13.0,2.0,0.0,0.0,6.0,8.0,3.0,5.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,957.0,764.0,0.0,0.0,0.0,0.0
Def,21.0,42.0,13.0,113.0,54.0,35.0,116.0,78.0,30.0,87.0,16.0,15.0,22.0,40.0,22.0,7.0,20.0,28.0,11.0,2.0,0.0,1.0,1.0,5.0,4.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,796.0,677.0,0.0,0.0,0.0,0.0
Erros,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0
