Jogador,Elias Cobbaut,Franco Vázquez,Enrico Del Prato,Danilo Larangeira,Stanko Jurić,Gianluigi Buffon,Dennis Man,Adrian Benedyczak,Gennaro Tutino,Pasquale Schiattarella,Simon Sohm,Andrea Rispoli,Adrian Bernabe,Juan Brunetta,Yordan Osorio,Woyo Coulibaly,Roberto Inglese,Martin Turk,Valentin Mihaila,Simeon Nwankwo,Goran Pandev,Alessandro Circati,Botond Balogh,Félix Correia,Jayden Oosterwolde,Simone Colombi,Filippo Costa,Maxime Busi,Lautaro Valenti,Dario Sits,Ange-Yoan Bonny,Drissa Camara,Riccardo Gagliolo,Vasilios Zagaritis,Daniele Iacoponi,Aliou Badara Traore,Gastón Brugman,Francesco Cassata,Ahmed Ankrah,Francesco Borriello,Daan Dierckx,Simone Iacoponi,Andrea Mallamo,Andrea Piga,Alberto Rossi
Pos.,ZG,LT,ZG,ZG,LT,G,"ZG,AT",AT,AT,LT,"LT,ZG",ZG,LT,"LT,AT",ZG,ZG,AT,G,"AT,ZG",AT,AT,ZG,ZG,"ZG,AT",ZG,G,ZG,"ZG,AT",ZG,"AT,ZG",AT,LT,ZG,ZG,"AT,LT",LT,LT,LT,LT,G,ZG,ZG,LT,G,G
PrgP,110.0,240.0,110.0,48.0,79.0,2.0,109.0,24.0,35.0,81.0,62.0,57.0,70.0,97.0,56.0,39.0,21.0,0.0,29.0,7.0,20.0,2.0,7.0,51.0,10.0,0.0,6.0,13.0,6.0,0.0,8.0,3.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,24.0,201.0,68.0,4.0,70.0,0.0,128.0,94.0,134.0,8.0,29.0,69.0,32.0,69.0,6.0,62.0,86.0,0.0,83.0,42.0,61.0,0.0,0.0,62.0,10.0,0.0,10.0,11.0,0.0,1.0,22.0,1.0,1.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,6.0,43.0,3.0,4.0,11.0,0.0,15.0,34.0,32.0,0.0,0.0,0.0,40.0,7.0,0.0,0.0,23.0,0.0,22.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,9.0,12.0,6.0,0.0,4.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,8.0,39.0,0.0,0.0,23.0,0.0,11.0,40.0,16.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,14.0,55.0,9.0,4.0,14.0,0.0,20.0,39.0,38.0,0.0,0.0,0.0,49.0,46.0,0.0,0.0,46.0,0.0,33.0,53.0,32.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,6.0,43.0,3.0,4.0,11.0,0.0,15.0,34.0,32.0,0.0,0.0,0.0,40.0,7.0,0.0,0.0,23.0,0.0,22.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,14.0,55.0,9.0,4.0,14.0,0.0,20.0,39.0,38.0,0.0,0.0,0.0,49.0,46.0,0.0,0.0,46.0,0.0,33.0,53.0,32.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,4.0,21.0,5.0,3.0,9.0,0.0,16.0,30.0,20.0,1.0,5.0,14.0,15.0,28.0,0.0,1.0,37.0,0.0,34.0,52.0,13.0,6.0,0.0,8.0,3.0,0.0,12.0,0.0,1.0,18.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,4.0,23.0,3.0,0.0,4.0,0.0,15.0,6.0,6.0,5.0,7.0,9.0,13.0,26.0,1.0,4.0,20.0,0.0,10.0,18.0,36.0,11.0,1.0,19.0,0.0,0.0,19.0,4.0,0.0,8.0,5.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,8.0,44.0,8.0,3.0,13.0,0.0,31.0,36.0,25.0,6.0,12.0,23.0,28.0,54.0,1.0,5.0,57.0,0.0,43.0,70.0,49.0,17.0,1.0,27.0,3.0,0.0,31.0,4.0,1.0,27.0,44.0,3.0,0.0,0.0,10.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
