Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Kingsley Ehizibue,ZG,28.0,23,11,955.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.3,1.3,0.7,20.0,18.0,15.0,44.0,0.0,9.0,9.0,0.0,9.0,12.0,7.0,19.0,12.0,19.0,22.0,14.0,16.0,4.0,2.0,11.0,18.0,611.0,7.0,21.0,3.0,18.0,8.0,30.0,36.0,0.0
Jordan Zemura,ZG,23.0,27,10,1.038,11.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.4,12.0,23.0,32.0,52.0,9.0,0.0,9.0,9.0,9.0,7.0,3.0,10.0,7.0,10.0,24.0,16.0,13.0,7.0,4.0,11.0,19.0,579.0,8.0,5.0,1.0,4.0,13.0,37.0,21.0,0.0
Christian Kabasele,ZG,32.0,13,10,861.0,9.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.5,16.0,7.0,22.0,1.0,10.0,10.0,21.0,10.0,21.0,12.0,5.0,17.0,12.0,17.0,10.0,7.0,4.0,5.0,1.0,2.0,11.0,182.0,9.0,15.0,9.0,6.0,12.0,22.0,56.0,0.0
Isaac Success,"AT,LT",27.0,27,9,880.0,9.8,1.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,2.7,1.9,1.1,30.0,15.0,17.0,51.0,10.0,10.0,20.0,10.0,20.0,28.0,11.0,39.0,20.0,31.0,6.0,4.0,0.0,5.0,1.0,1.0,3.0,333.0,2.0,6.0,1.0,5.0,2.0,8.0,11.0,0.0
Lautaro Gianetti,ZG,29.0,7,7,630.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.1,4.0,2.0,4.0,0.0,14.0,0.0,14.0,14.0,14.0,6.0,1.0,6.0,6.0,6.0,9.0,4.0,7.0,2.0,0.0,4.0,5.0,800.0,1.0,10.0,6.0,4.0,19.0,28.0,39.0,0.0
Oier Zarraga,LT,24.0,15,4,404.0,4.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,6.0,5.0,8.0,10.0,45.0,0.0,45.0,45.0,45.0,13.0,1.0,14.0,13.0,14.0,3.0,3.0,2.0,1.0,0.0,1.0,5.0,200.0,4.0,5.0,2.0,3.0,5.0,8.0,16.0,1.0
Brenner,"LT,AT",23.0,8,2,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,4.0,6.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,20.0,18.0,20.0,8.0,7.0,1.0,5.0,2.0,4.0,7.0,571.0,3.0,2.0,0.0,2.0,0.0,8.0,2.0,0.0
Beto,AT,25.0,1,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Adam Masina,ZG,29.0,4,1,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,4.0,0.0,2.0,2.0,0.0,2.0,4.0,500.0,2.0,2.0,1.0,1.0,2.0,6.0,5.0,0.0
Keinan Davis,"AT,LT",25.0,8,0,186.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,6.0,2.0,6.0,15.0,48.0,0.0,48.0,48.0,48.0,24.0,4.0,28.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
