Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Armando Izzo,ZG,29.0,11,6,526.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.0,6.0,6.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,11.0,11.0,16.0,9.0,14.0,2.0,0.0,9.0,11.0,818.0,2.0,5.0,4.0,1.0,17.0,33.0,21.0,0.0
Cristian Ansaldi,ZG,34.0,19,5,691.0,7.7,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.1,24.0,24.0,41.0,40.0,0.0,39.0,39.0,0.0,39.0,4.0,28.0,32.0,4.0,32.0,20.0,9.0,11.0,7.0,2.0,10.0,13.0,769.0,3.0,9.0,1.0,8.0,6.0,26.0,10.0,0.0
Pietro Pellegri,AT,20.0,9,1,216.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,4.0,3.0,1.0,17.0,42.0,0.0,42.0,42.0,42.0,16.0,2.0,18.0,16.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
Tomás Rincón,LT,33.0,7,1,163.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,0.0
Demba Seck,"LT,AT",20.0,6,1,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,6.0,6.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,39.0,39.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Luca Gemello,G,21.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniele Baselli,"LT,AT",29.0,6,0,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,8.0,1.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,47.0,46.0,47.0,3.0,3.0,2.0,0.0,1.0,2.0,6.0,333.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0
Simone Zaza,"AT,ZG",30.0,10,0,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,10.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,71.0,71.0,71.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1000.0,0.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0
Ben Lhassine Kone,LT,21.0,1,0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0
Magnus Warming,"LT,AT",21.0,4,0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
Simone Verdi,"LT,AT",29.0,3,0,46.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0,0.0,1.0,5.0,196.0,0.0,196.0,196.0,196.0,44.0,6.0,50.0,44.0,50.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Samuele Angori,ZG,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.0,314.0,223.0,234.0,74.0,228.0,440.0,518.0,212.0,375.0,108.0,267.0,423.0,954.0,651.0,4.0
Andrei Anton,ZG,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.0,284.0,267.0,190.0,45.0,216.0,511.0,423.0,295.0,390.0,123.0,267.0,300.0,802.0,625.0,9.0
Simone Edera,LT,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Fares,"ZG,AT",25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Garbett,LT,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Milan,G,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicola Rauti,AT,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacopo Segre,LT,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denis Stojković,AT,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
