Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Fabiano Parisi,ZG,19.0,20,19,1.644,18.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,3.2,38.0,72.0,120.0,83.0,5.0,11.0,16.0,5.0,16.0,3.0,18.0,21.0,3.0,21.0,30.0,17.0,15.0,10.0,5.0,8.0,22.0,364.0,14.0,24.0,3.0,21.0,26.0,56.0,37.0,0.0
Aleksa Terzić,ZG,20.0,21,18,1.65,18.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.4,20.0,67.0,70.0,80.0,0.0,5.0,5.0,0.0,5.0,3.0,7.0,11.0,3.0,11.0,33.0,19.0,25.0,7.0,1.0,20.0,36.0,556.0,16.0,22.0,5.0,17.0,30.0,63.0,37.0,0.0
Szymon Żurkowski,LT,22.0,25,14,1.262,14.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.3,2.3,0.6,29.0,47.0,58.0,78.0,14.0,0.0,14.0,14.0,14.0,16.0,5.0,21.0,16.0,21.0,32.0,16.0,12.0,13.0,7.0,14.0,29.0,483.0,15.0,28.0,3.0,25.0,20.0,52.0,15.0,0.0
Filippo Bandinelli,LT,25.0,18,14,1.159,12.9,0.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,1.7,35.0,47.0,63.0,110.0,0.0,39.0,39.0,0.0,39.0,13.0,13.0,27.0,13.0,27.0,19.0,8.0,10.0,6.0,3.0,10.0,21.0,476.0,11.0,15.0,4.0,11.0,13.0,32.0,14.0,0.0
Stefano Moreo,"LT,AT",27.0,31,12,1.351,15.0,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,5.3,5.3,1.7,70.0,30.0,41.0,80.0,27.0,0.0,27.0,27.0,27.0,36.0,11.0,47.0,36.0,47.0,18.0,9.0,3.0,13.0,2.0,4.0,12.0,333.0,8.0,19.0,5.0,14.0,13.0,31.0,27.0,0.0
Ryder Matos,AT,27.0,28,11,1.023,11.4,7.0,3.0,10.0,6.0,1.0,1.0,4.0,0.0,4.3,3.5,2.7,62.0,47.0,23.0,126.0,62.0,26.0,88.0,53.0,79.0,38.0,24.0,62.0,31.0,55.0,6.0,3.0,3.0,2.0,1.0,3.0,9.0,333.0,6.0,9.0,2.0,7.0,2.0,8.0,4.0,0.0
Stefano Sabelli,ZG,27.0,12,10,875.0,9.7,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.6,18.0,25.0,51.0,25.0,0.0,31.0,31.0,0.0,31.0,2.0,17.0,18.0,2.0,18.0,22.0,14.0,5.0,11.0,6.0,7.0,14.0,500.0,7.0,13.0,4.0,9.0,17.0,39.0,29.0,0.0
Marco Olivieri,AT,21.0,29,8,783.0,8.7,5.0,1.0,6.0,4.0,1.0,1.0,3.0,0.0,3.3,2.5,1.0,35.0,25.0,21.0,78.0,57.0,11.0,69.0,46.0,57.0,38.0,11.0,49.0,29.0,40.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,6.0,6.0,0.0
Jacopo Furlan,G,27.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Giovanni Crociata,LT,22.0,12,3,324.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,14.0,13.0,20.0,29.0,0.0,28.0,28.0,0.0,28.0,11.0,29.0,40.0,11.0,40.0,5.0,5.0,1.0,2.0,2.0,3.0,8.0,375.0,5.0,5.0,1.0,4.0,5.0,10.0,2.0,0.0
