Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Ardian Ismajli,ZG,23.0,17,14,1.297,14.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.7,0.7,0.6,13.0,4.0,40.0,0.0,7.0,7.0,14.0,7.0,14.0,5.0,4.0,9.0,5.0,9.0,19.0,9.0,10.0,8.0,1.0,8.0,13.0,615.0,5.0,10.0,7.0,3.0,23.0,42.0,52.0,1.0
Salvador Ferrer,ZG,22.0,18,14,1.19,13.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.3,14.0,28.0,46.0,49.0,0.0,8.0,8.0,0.0,8.0,1.0,10.0,10.0,1.0,10.0,20.0,10.0,10.0,8.0,2.0,8.0,22.0,364.0,14.0,13.0,4.0,9.0,24.0,44.0,37.0,1.0
Daniele Verde,AT,24.0,21,12,980.0,10.9,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,3.0,3.0,1.9,50.0,28.0,30.0,88.0,55.0,9.0,64.0,55.0,64.0,28.0,18.0,45.0,28.0,45.0,5.0,4.0,2.0,2.0,1.0,4.0,10.0,400.0,6.0,5.0,0.0,5.0,9.0,14.0,7.0,0.0
Lucien Agoume,LT,18.0,12,9,800.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,2.0,6.0,46.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,18.0,10.0,11.0,7.0,0.0,6.0,19.0,316.0,13.0,10.0,5.0,5.0,15.0,33.0,10.0,0.0
Léo Sena,LT,24.0,16,8,885.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,30.0,92.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,22.0,12.0,7.0,10.0,5.0,12.0,26.0,462.0,14.0,19.0,4.0,15.0,11.0,33.0,5.0,0.0
Roberto Piccoli,AT,19.0,20,8,703.0,7.8,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.6,5.6,0.6,62.0,8.0,6.0,44.0,64.0,0.0,64.0,64.0,64.0,72.0,8.0,80.0,72.0,80.0,7.0,3.0,0.0,4.0,3.0,2.0,4.0,500.0,2.0,4.0,0.0,4.0,2.0,9.0,5.0,0.0
Jeroen Zoet,G,29.0,7,7,603.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
Riccardo Saponara,"AT,LT",28.0,9,5,389.0,4.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.7,17.0,17.0,20.0,30.0,46.0,0.0,46.0,46.0,46.0,23.0,16.0,39.0,23.0,39.0,4.0,1.0,1.0,0.0,3.0,1.0,3.0,333.0,2.0,1.0,0.0,1.0,1.0,5.0,4.0,0.0
Andrey Galabinov,AT,31.0,12,4,430.0,4.8,3.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,3.0,2.2,0.2,24.0,3.0,10.0,18.0,63.0,21.0,84.0,63.0,84.0,62.0,4.0,66.0,45.0,49.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,333.0,2.0,2.0,0.0,2.0,0.0,2.0,5.0,0.0
Jacopo Sala,ZG,28.0,6,4,375.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,7.0,6.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,16.0,17.0,9.0,14.0,1.0,2.0,8.0,22.0,364.0,14.0,5.0,2.0,3.0,5.0,22.0,6.0,0.0
Alessandro Deiola,LT,24.0,12,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,6.0,3.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,14.0,6.0,14.0,6.0,3.0,2.0,3.0,1.0,5.0,13.0,385.0,8.0,3.0,1.0,2.0,3.0,9.0,1.0,0.0
Paolo Bartolomei,LT,30.0,6,3,320.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,5.0,8.0,10.0,14.0,0.0,28.0,28.0,0.0,28.0,4.0,9.0,13.0,4.0,13.0,6.0,2.0,3.0,1.0,2.0,4.0,7.0,571.0,3.0,1.0,0.0,1.0,1.0,7.0,2.0,0.0
Gennaro Acampora,"LT,AT",26.0,14,2,441.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,3.0,15.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,6.0,7.0,6.0,4.0,1.0,4.0,1.0,2.0,7.0,286.0,5.0,4.0,1.0,3.0,4.0,10.0,4.0,0.0
Juan Manuel Ramos,ZG,23.0,6,2,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,3.0,7.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,1.0,9.0,5.0,0.0,3.0,0.0,2.0,4.0,7.0,571.0,3.0,1.0,0.0,1.0,2.0,7.0,6.0,0.0
Cristian Dell'Orco,ZG,26.0,8,2,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,333.0,2.0,8.0,5.0,3.0,7.0,8.0,9.0,1.0
Rafael,G,38.0,3,2,207.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,43.0,0.0,17.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luca Mora,LT,32.0,4,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,3.0,1.0,1.0,2.0,0.0,2.0,4.0,500.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0
Elio Capradossi,ZG,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,29.0,29.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1000.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0
Federico Mattiello,ZG,25.0,1,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giuseppe Mastinu,AT,28.0,3,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1000.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Nicolò Bertola,ZG,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.0,320.0,264.0,223.0,81.0,265.0,617.0,429.0,352.0,364.0,101.0,263.0,394.0,962.0,551.0,12.0
Axel Desjardins,G,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501.0,280.0,246.0,208.0,47.0,206.0,528.0,390.0,322.0,362.0,89.0,273.0,459.0,960.0,644.0,12.0
Titas Krapikas,G,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niccolò Pietra,LT,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
