Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Pietro Iemmello,AT,28.0,17,11,1.053,11.7,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,5.8,5.1,1.7,68.0,19.0,34.0,65.0,26.0,0.0,26.0,26.0,26.0,50.0,15.0,65.0,43.0,58.0,5.0,1.0,0.0,2.0,3.0,1.0,4.0,250.0,3.0,5.0,1.0,4.0,0.0,5.0,3.0,0.0
Mirko Gori,LT,27.0,17,11,934.0,10.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.3,9.0,7.0,40.0,25.0,0.0,10.0,10.0,0.0,10.0,5.0,3.0,8.0,5.0,8.0,25.0,11.0,10.0,12.0,3.0,10.0,26.0,385.0,16.0,15.0,2.0,13.0,18.0,43.0,25.0,1.0
Marco Carraro,LT,22.0,21,10,945.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.5,13.0,7.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,12.0,7.0,12.0,14.0,8.0,8.0,6.0,0.0,6.0,13.0,462.0,7.0,15.0,5.0,10.0,28.0,42.0,14.0,0.0
Daniel Boloca,LT,21.0,13,8,730.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.2,1.2,1.8,30.0,17.0,39.0,34.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,37.0,15.0,37.0,18.0,11.0,9.0,8.0,1.0,7.0,12.0,583.0,5.0,11.0,0.0,11.0,6.0,24.0,7.0,0.0
Mattia Vitale,LT,22.0,10,8,589.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.6,12.0,20.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,18.0,9.0,18.0,14.0,7.0,7.0,5.0,2.0,5.0,14.0,357.0,9.0,11.0,1.0,10.0,10.0,24.0,1.0,0.0
Alessio Tribuzzi,"LT,AT",21.0,25,7,1.151,12.8,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,2.4,2.4,2.7,51.0,48.0,20.0,113.0,0.0,23.0,23.0,0.0,23.0,19.0,21.0,40.0,19.0,40.0,16.0,8.0,8.0,5.0,3.0,7.0,13.0,538.0,6.0,7.0,1.0,6.0,4.0,20.0,13.0,0.0
Salvatore D'Elia,ZG,31.0,14,6,526.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,13.0,18.0,29.0,0.0,17.0,17.0,0.0,17.0,0.0,1.0,1.0,0.0,1.0,9.0,6.0,4.0,4.0,1.0,3.0,6.0,500.0,3.0,8.0,4.0,4.0,4.0,13.0,5.0,0.0
Alessandro Iacobucci,G,29.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Luigi Vitale,ZG,32.0,9,3,364.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.0,12.0,7.0,32.0,32.0,0.0,49.0,49.0,0.0,49.0,6.0,25.0,31.0,6.0,31.0,7.0,6.0,4.0,2.0,1.0,3.0,5.0,600.0,2.0,7.0,1.0,6.0,5.0,12.0,5.0,0.0
Enrico Brignola,"ZG,AT",21.0,7,3,290.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,10.0,6.0,10.0,18.0,31.0,0.0,31.0,31.0,31.0,27.0,5.0,32.0,27.0,32.0,3.0,3.0,0.0,1.0,2.0,1.0,3.0,333.0,2.0,5.0,0.0,5.0,0.0,3.0,1.0,0.0
