Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Nedim Bajrami,"AT,LT",23.0,18,7,819.0,9.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.9,1.9,1.5,34.0,23.0,44.0,96.0,11.0,0.0,11.0,11.0,11.0,21.0,16.0,37.0,21.0,37.0,12.0,7.0,6.0,2.0,4.0,5.0,11.0,455.0,6.0,9.0,1.0,8.0,7.0,19.0,6.0,0.0
Nadir Zortea,ZG,23.0,10,7,657.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,8.0,24.0,38.0,25.0,0.0,14.0,14.0,0.0,14.0,2.0,9.0,11.0,2.0,11.0,15.0,8.0,12.0,2.0,1.0,9.0,14.0,643.0,5.0,10.0,4.0,6.0,4.0,19.0,21.0,0.0
Hamed Junior Traorè,"LT,AT",22.0,11,6,591.0,6.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.8,27.0,14.0,26.0,36.0,0.0,46.0,46.0,0.0,46.0,15.0,27.0,41.0,15.0,41.0,11.0,6.0,4.0,6.0,1.0,4.0,11.0,364.0,7.0,4.0,0.0,4.0,2.0,13.0,0.0,1.0
Abdou Harroui,LT,24.0,23,5,647.0,7.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,0.3,18.0,21.0,36.0,32.0,28.0,0.0,28.0,28.0,28.0,20.0,5.0,25.0,20.0,25.0,17.0,6.0,6.0,7.0,4.0,2.0,7.0,286.0,5.0,6.0,1.0,5.0,2.0,19.0,10.0,0.0
Kaan Ayhan,ZG,27.0,10,5,545.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,4.0,0.0,7.0,7.0,1000.0,0.0,5.0,4.0,1.0,5.0,15.0,26.0,1.0
Emil Ceide,AT,20.0,19,5,515.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.3,21.0,37.0,19.0,47.0,0.0,17.0,17.0,0.0,17.0,15.0,23.0,38.0,15.0,38.0,5.0,2.0,5.0,0.0,0.0,3.0,5.0,600.0,2.0,3.0,1.0,2.0,1.0,6.0,0.0,0.0
Luca D'Andrea,AT,17.0,5,5,316.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,11.0,11.0,9.0,29.0,0.0,28.0,28.0,0.0,28.0,8.0,23.0,31.0,8.0,31.0,4.0,0.0,2.0,1.0,1.0,1.0,4.0,250.0,3.0,2.0,0.0,2.0,1.0,5.0,1.0,0.0
Riccardo Marchizza,ZG,24.0,10,3,283.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,3.0,3.0,15.0,15.0,0.0,32.0,32.0,0.0,32.0,0.0,10.0,10.0,0.0,10.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,500.0,2.0,2.0,0.0,2.0,2.0,4.0,8.0,0.0
Gianluca Pegolo,G,41.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Agustín Álvarez Martínez,"AT,LT",21.0,22,1,368.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.4,19.0,2.0,6.0,19.0,24.0,24.0,49.0,24.0,49.0,36.0,10.0,46.0,36.0,46.0,6.0,3.0,0.0,5.0,1.0,1.0,4.0,250.0,3.0,5.0,1.0,4.0,3.0,9.0,3.0,0.0
Alessandro Russo,G,21.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Mert Müldür,"AT,ZG",23.0,2,1,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janis Antiste,AT,19.0,2,0,52.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,1.0,2.0,173.0,0.0,173.0,173.0,173.0,31.0,0.0,31.0,31.0,31.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Filippo Romagna,ZG,25.0,2,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
Giacomo Raspadori,AT,22.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Bruno,LT,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.0,281.0,237.0,186.0,79.0,216.0,461.0,469.0,245.0,371.0,122.0,249.0,278.0,780.0,658.0,16.0
Adrian Cannavaro,ZG,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.0,360.0,319.0,244.0,71.0,270.0,569.0,475.0,299.0,426.0,124.0,302.0,306.0,940.0,625.0,10.0
Edoardo Pieragnolo,ZG,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gioele Zacchi,G,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
