Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Alessandro Crescenzi,ZG,29.0,21,11,938.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.2,7.0,25.0,44.0,24.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,5.0,7.0,20.0,10.0,12.0,6.0,2.0,9.0,13.0,692.0,4.0,9.0,3.0,6.0,18.0,38.0,21.0,0.0
Luca Strizzolo,"AT,LT",29.0,22,11,834.0,9.3,4.0,3.0,7.0,4.0,0.0,0.0,5.0,1.0,3.2,3.2,2.0,52.0,18.0,21.0,60.0,43.0,32.0,76.0,43.0,76.0,35.0,22.0,57.0,35.0,57.0,16.0,9.0,5.0,10.0,1.0,6.0,15.0,400.0,9.0,16.0,0.0,16.0,12.0,28.0,12.0,0.0
Paolo Bartolomei,LT,31.0,20,10,874.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.5,19.0,13.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,20.0,4.0,20.0,8.0,5.0,3.0,4.0,1.0,4.0,10.0,400.0,6.0,16.0,3.0,13.0,10.0,18.0,9.0,0.0
Andrea Meroni,ZG,24.0,8,6,550.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,1.0,0.0,4.0,6.0,667.0,2.0,2.0,2.0,0.0,1.0,7.0,31.0,0.0
Luca Vido,"AT,LT",24.0,14,6,479.0,5.3,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.6,1.6,1.0,25.0,9.0,13.0,37.0,56.0,0.0,56.0,56.0,56.0,29.0,18.0,48.0,29.0,48.0,7.0,3.0,3.0,1.0,3.0,1.0,6.0,167.0,5.0,9.0,1.0,8.0,2.0,9.0,4.0,0.0
Tiago Casasola,ZG,25.0,9,6,442.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.4,13.0,7.0,24.0,16.0,20.0,0.0,20.0,20.0,20.0,19.0,7.0,26.0,19.0,26.0,13.0,6.0,8.0,5.0,0.0,9.0,16.0,563.0,7.0,3.0,1.0,2.0,9.0,22.0,16.0,0.0
Hamza Rafia,"LT,AT",22.0,12,4,347.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.5,13.0,7.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,33.0,19.0,33.0,10.0,10.0,2.0,3.0,5.0,3.0,14.0,214.0,11.0,2.0,0.0,2.0,2.0,12.0,3.0,0.0
Cedric Gondo,"AT,LT",24.0,15,3,510.0,5.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.8,0.8,1.0,18.0,10.0,15.0,46.0,18.0,35.0,53.0,18.0,53.0,14.0,18.0,32.0,14.0,32.0,4.0,3.0,1.0,2.0,1.0,1.0,4.0,250.0,3.0,5.0,0.0,5.0,4.0,8.0,4.0,0.0
Mouhamadou Sarr,G,24.0,3,2,247.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
Alessandro Fiordaliso,ZG,22.0,3,2,138.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0
