Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Edoardo Bove,LT,20.0,22,10,992.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.5,0.9,14.0,9.0,33.0,26.0,9.0,0.0,9.0,9.0,9.0,7.0,8.0,15.0,5.0,13.0,35.0,18.0,12.0,15.0,8.0,16.0,39.0,410.0,23.0,15.0,1.0,14.0,10.0,45.0,11.0,0.0
Georginio Wijnaldum,LT,31.0,14,10,769.0,8.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.2,2.2,0.7,29.0,16.0,18.0,33.0,23.0,0.0,23.0,23.0,23.0,26.0,8.0,34.0,26.0,34.0,4.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,7.0,1.0,6.0,2.0,6.0,3.0,0.0
Rick Karsdorp,ZG,27.0,13,8,711.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,15.0,16.0,24.0,33.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,19.0,3.0,19.0,21.0,13.0,11.0,7.0,3.0,13.0,22.0,591.0,9.0,0.0,0.0,0.0,7.0,28.0,15.0,1.0
Mohamed Camara,LT,25.0,15,8,696.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.4,10.0,13.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,13.0,8.0,13.0,13.0,10.0,3.0,7.0,3.0,5.0,15.0,333.0,10.0,5.0,1.0,4.0,10.0,23.0,8.0,0.0
Ola Solbakken,"LT,AT",23.0,14,7,502.0,5.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,1.6,22.0,5.0,14.0,35.0,18.0,36.0,54.0,18.0,54.0,11.0,29.0,40.0,11.0,40.0,2.0,2.0,1.0,1.0,0.0,2.0,7.0,286.0,5.0,2.0,0.0,2.0,2.0,4.0,8.0,0.0
Diego Llorente,ZG,28.0,9,5,573.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,5.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,6.0,7.0,10.0,5.0,6.0,4.0,0.0,5.0,12.0,417.0,7.0,4.0,2.0,2.0,11.0,21.0,20.0,0.0
Marash Kumbulla,ZG,22.0,7,5,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0,0.0,2.0,3.0,667.0,1.0,2.0,1.0,1.0,4.0,8.0,6.0,0.0
Benjamin Tahirovic,LT,19.0,11,4,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,2.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,8.0,5.0,5.0,2.0,1.0,4.0,12.0,333.0,8.0,9.0,4.0,5.0,3.0,11.0,3.0,0.0
Mile Svilar,G,22.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cristian Volpato,LT,18.0,7,2,227.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.2,15.0,8.0,18.0,24.0,40.0,40.0,79.0,40.0,79.0,14.0,47.0,61.0,14.0,61.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,5.0,0.0,0.0
