Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Christian Kouamé,AT,25.0,23,11,1.089,12.1,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.9,1.9,1.8,37.0,12.0,41.0,110.0,17.0,8.0,25.0,17.0,25.0,16.0,15.0,31.0,16.0,31.0,13.0,4.0,7.0,6.0,0.0,6.0,10.0,600.0,4.0,16.0,0.0,16.0,2.0,15.0,10.0,0.0
Andrea Belotti,AT,29.0,15,11,949.0,10.5,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.7,3.7,0.7,44.0,10.0,15.0,60.0,28.0,0.0,28.0,28.0,28.0,35.0,7.0,41.0,35.0,41.0,8.0,3.0,1.0,5.0,2.0,5.0,12.0,417.0,7.0,8.0,1.0,7.0,2.0,10.0,3.0,0.0
Antonín Barák,"LT,AT",28.0,21,8,808.0,9.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,2.2,38.0,17.0,33.0,64.0,22.0,33.0,56.0,22.0,56.0,17.0,25.0,42.0,17.0,42.0,6.0,2.0,1.0,3.0,2.0,3.0,7.0,429.0,4.0,5.0,0.0,5.0,2.0,8.0,4.0,0.0
Josip Brekalo,AT,25.0,11,8,652.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,7.0,14.0,25.0,69.0,14.0,0.0,14.0,14.0,14.0,6.0,4.0,10.0,6.0,10.0,8.0,6.0,6.0,2.0,0.0,2.0,11.0,182.0,9.0,7.0,0.0,7.0,1.0,9.0,0.0,0.0
Maxime Lopez,LT,25.0,19,7,800.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,8.0,14.0,48.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,2.0,8.0,18.0,9.0,5.0,10.0,3.0,6.0,12.0,500.0,6.0,3.0,1.0,2.0,7.0,25.0,6.0,0.0
Dodô,ZG,24.0,9,7,523.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,9.0,20.0,39.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,15.0,1.0,15.0,5.0,3.0,1.0,4.0,0.0,2.0,5.0,400.0,3.0,2.0,0.0,2.0,5.0,10.0,11.0,0.0
Gaetano Castrovilli,"AT,LT",26.0,6,5,367.0,4.1,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,9.0,14.0,12.0,25.0,25.0,49.0,74.0,25.0,74.0,8.0,15.0,23.0,8.0,23.0,3.0,2.0,1.0,2.0,0.0,1.0,8.0,125.0,7.0,4.0,0.0,4.0,2.0,5.0,3.0,0.0
Davide Faraoni,ZG,31.0,8,4,392.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,5.0,7.0,17.0,16.0,0.0,23.0,23.0,0.0,23.0,2.0,8.0,11.0,2.0,11.0,9.0,4.0,5.0,2.0,2.0,5.0,11.0,455.0,6.0,3.0,1.0,2.0,5.0,14.0,14.0,0.0
Oliver Christensen,G,24.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tommaso Martinelli,G,17.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Gino Infantino,LT,20.0,6,0,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,3.0,4.0,1.0,0.0
Yerry Mina,"ZG,LT",28.0,4,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Pietro Comuzzo,"ZG,AT",18.0,4,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0
Lorenzo Amatucci,LT,19.0,2,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofyan Amrabat,LT,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.0,320.0,242.0,231.0,91.0,275.0,512.0,537.0,237.0,388.0,81.0,307.0,236.0,800.0,509.0,8.0
Christian Biagetti,ZG,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.0,382.0,323.0,218.0,67.0,277.0,556.0,498.0,279.0,440.0,147.0,293.0,272.0,880.0,887.0,14.0
Christian Dalle Mura,ZG,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maat Daniel Caprini,AT,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niccolò Fortini,LT,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Jović,AT,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandr Kokorin,"AT,LT",32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niccolò Pierozzi,ZG,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdelhamid Sabiri,LT,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallou Sene,AT,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommaso Vannucchi,G,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
