Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Alessandro Florenzi,"ZG,AT",30.0,24,12,1.152,12.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,0.9,16.0,30.0,68.0,51.0,16.0,0.0,16.0,16.0,16.0,6.0,7.0,13.0,6.0,13.0,28.0,14.0,14.0,7.0,7.0,14.0,32.0,438.0,18.0,9.0,2.0,7.0,27.0,55.0,10.0,1.0
Zlatan Ibrahimović,AT,39.0,23,11,1.016,11.3,8.0,2.0,10.0,8.0,0.0,1.0,2.0,0.0,7.2,6.4,2.1,85.0,13.0,50.0,99.0,71.0,18.0,89.0,71.0,89.0,64.0,18.0,82.0,57.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,9.0,0.0
Simon Kjær,ZG,32.0,11,10,802.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.3,8.0,3.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,5.0,9.0,20.0,12.0,9.0,8.0,3.0,6.0,12.0,500.0,6.0,17.0,13.0,4.0,9.0,29.0,39.0,0.0
Ante Rebić,AT,27.0,24,6,891.0,9.9,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.4,2.4,4.8,72.0,36.0,38.0,80.0,20.0,20.0,40.0,20.0,40.0,24.0,48.0,73.0,24.0,73.0,14.0,8.0,3.0,6.0,5.0,7.0,20.0,350.0,13.0,14.0,0.0,14.0,3.0,17.0,3.0,1.0
Ciprian Tătărușanu,G,35.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Matteo Gabbia,ZG,21.0,8,6,537.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,1.0,3.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,8.0,12.0,12.0,0.0
Tiemoué Bakayoko,LT,26.0,14,5,501.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.3,6.0,3.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,5.0,11.0,19.0,13.0,9.0,7.0,3.0,5.0,16.0,313.0,11.0,8.0,1.0,7.0,9.0,28.0,10.0,2.0
Fodé Ballo-Touré,ZG,24.0,10,5,446.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,4.0,17.0,20.0,48.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,9.0,6.0,9.0,18.0,14.0,5.0,13.0,0.0,4.0,9.0,444.0,5.0,6.0,2.0,4.0,3.0,21.0,5.0,0.0
Daniel Maldini,LT,19.0,8,2,148.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,5.0,7.0,3.0,8.0,61.0,0.0,61.0,61.0,61.0,26.0,4.0,30.0,26.0,30.0,8.0,3.0,4.0,3.0,1.0,2.0,6.0,333.0,4.0,4.0,0.0,4.0,1.0,9.0,0.0,0.0
Pietro Pellegri,AT,20.0,6,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,4.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,26.0,10.0,26.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
Samu Castillejo,"AT,LT",26.0,5,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,3.0,4.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,18.0,7.0,18.0,4.0,2.0,0.0,2.0,2.0,1.0,8.0,125.0,7.0,4.0,1.0,3.0,2.0,6.0,1.0,0.0
Andrea Conti,ZG,27.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luca Stanga,ZG,19.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sebastiano Desplanches,G,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697.0,421.0,304.0,288.0,105.0,281.0,583.0,482.0,302.0,371.0,110.0,261.0,355.0,1052.0,477.0,12.0
Enrico Di Gesù,LT,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635.0,352.0,318.0,250.0,67.0,323.0,779.0,415.0,456.0,431.0,158.0,273.0,356.0,991.0,722.0,16.0
Andreas Jungdal,G,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marko Lazetić,AT,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Mirante,G,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lapo Nava,G,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Plizzari,G,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommaso Pobega,LT,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
