Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Filippo Ranocchia,LT,21.0,14,5,530.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.4,16.0,13.0,26.0,15.0,17.0,0.0,17.0,17.0,17.0,21.0,6.0,27.0,21.0,27.0,11.0,6.0,5.0,4.0,2.0,4.0,12.0,333.0,8.0,5.0,1.0,4.0,4.0,15.0,7.0,0.0
Mattia Valoti,"LT,AT",28.0,16,4,453.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,2.0,7.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,3.0,5.0,17.0,10.0,7.0,9.0,1.0,5.0,16.0,313.0,11.0,13.0,3.0,10.0,3.0,20.0,6.0,0.0
Giulio Donati,ZG,32.0,8,4,422.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.4,0.4,0.1,5.0,4.0,21.0,8.0,21.0,0.0,21.0,21.0,21.0,8.0,2.0,11.0,8.0,11.0,4.0,1.0,1.0,1.0,2.0,3.0,6.0,500.0,3.0,3.0,1.0,2.0,4.0,8.0,11.0,0.0
Christian Gytkjær,"AT,LT",32.0,22,3,559.0,6.2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.9,3.1,0.3,34.0,1.0,6.0,32.0,16.0,0.0,16.0,16.0,16.0,63.0,5.0,68.0,51.0,55.0,6.0,2.0,1.0,4.0,1.0,2.0,5.0,400.0,3.0,6.0,1.0,5.0,0.0,6.0,2.0,0.0
Andrea Barberis,LT,28.0,9,3,338.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,5.0,3.0,14.0,0.0,0.0,27.0,27.0,0.0,27.0,3.0,10.0,12.0,3.0,12.0,7.0,2.0,4.0,3.0,0.0,5.0,11.0,455.0,6.0,0.0,0.0,0.0,8.0,15.0,1.0,0.0
Marco D'Alessandro,"ZG,AT",31.0,8,3,290.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,5.0,14.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,16.0,10.0,16.0,4.0,4.0,3.0,1.0,0.0,2.0,5.0,400.0,3.0,2.0,0.0,2.0,1.0,5.0,3.0,0.0
Valentin Antov,ZG,21.0,9,2,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,5.0,3.0,3.0,0.0,1.0,5.0,200.0,4.0,5.0,4.0,1.0,4.0,10.0,14.0,1.0
Luca Marrone,ZG,32.0,2,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0
Salvatore Molina,ZG,30.0,5,1,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,9.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,2.0,5.0,6.0,5.0,2.0,4.0,0.0,4.0,5.0,800.0,1.0,4.0,2.0,2.0,1.0,7.0,2.0,0.0
Andrea Carboni,ZG,21.0,4,1,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,10.0,3.0,10.0,3.0,2.0,2.0,0.0,1.0,2.0,5.0,400.0,3.0,3.0,2.0,1.0,3.0,6.0,2.0,1.0
