Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Gabriel Strefezza,AT,26.0,19,13,1.112,12.4,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,2.5,1.7,1.2,28.0,34.0,54.0,81.0,8.0,0.0,8.0,0.0,0.0,20.0,9.0,29.0,14.0,23.0,24.0,17.0,8.0,7.0,9.0,14.0,20.0,700.0,6.0,17.0,0.0,17.0,7.0,31.0,11.0,0.0
Roberto Piccoli,AT,22.0,35,12,1.378,15.3,5.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,6.4,5.6,0.9,65.0,25.0,19.0,72.0,33.0,0.0,33.0,26.0,26.0,42.0,6.0,48.0,37.0,43.0,10.0,6.0,3.0,5.0,2.0,1.0,4.0,250.0,3.0,17.0,1.0,16.0,4.0,14.0,16.0,0.0
Nicola Sansone,"AT,LT",31.0,25,4,767.0,8.5,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.8,2.8,1.3,41.0,15.0,36.0,75.0,23.0,23.0,47.0,23.0,47.0,33.0,15.0,48.0,33.0,48.0,11.0,6.0,6.0,2.0,3.0,5.0,16.0,313.0,11.0,7.0,1.0,6.0,4.0,15.0,5.0,2.0
Lorenzo Venuti,ZG,28.0,14,3,364.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,4.0,7.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,10.0,2.0,10.0,6.0,4.0,5.0,1.0,0.0,6.0,10.0,600.0,4.0,4.0,3.0,1.0,5.0,11.0,14.0,0.0
Ahmed Touba,ZG,25.0,6,3,277.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,4.0,3.0,3.0,0.0,3.0,4.0,750.0,1.0,4.0,3.0,1.0,7.0,13.0,20.0,0.0
Medon Berisha,"AT,LT",19.0,6,2,205.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,4.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,18.0,7.0,18.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0
Santiago Pierotti,"LT,AT",22.0,11,0,200.0,2.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,15.0,4.0,5.0,20.0,0.0,90.0,90.0,0.0,90.0,22.0,47.0,69.0,22.0,69.0,8.0,8.0,2.0,5.0,1.0,2.0,8.0,250.0,6.0,5.0,0.0,5.0,1.0,9.0,0.0,0.0
Federico Di Francesco,"AT,LT",29.0,2,0,15.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,1.0,3.0,600.0,0.0,600.0,600.0,600.0,53.0,0.0,53.0,53.0,53.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jeppe Corfitzen,AT,18.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Rareș-Cătălin Burnete,AT,19.0,1,0,8.0,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,2.0,0.0,1125.0,1125.0,0.0,1125.0,0.0,71.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcin Listkowski,AT,25.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,47.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandru Borbei,G,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.0,374.0,285.0,252.0,68.0,289.0,566.0,511.0,277.0,429.0,117.0,312.0,308.0,913.0,751.0,8.0
Federico Brancolini,G,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636.0,381.0,286.0,270.0,80.0,279.0,578.0,483.0,299.0,369.0,137.0,232.0,274.0,910.0,667.0,14.0
Kastriot Dermaku,ZG,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian Esposito,ZG,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giacomo Faticanti,LT,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Þórir Jóhann Helgason,LT,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mats Lemmens,ZG,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youssef Maleh,LT,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Samek,ZG,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasper Samooja,G,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zinedin Smajlovic,ZG,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Voelkerling Persson,AT,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
