Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Michael Svoboda,ZG,22.0,18,13,1.236,13.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.1,1.1,0.0,11.0,11.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,33.0,17.0,26.0,6.0,1.0,18.0,32.0,563.0,14.0,27.0,15.0,12.0,10.0,43.0,61.0,5.0
Mickaël Cuisance,LT,21.0,13,13,918.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,1.3,19.0,10.0,37.0,22.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,18.0,6.0,18.0,23.0,9.0,7.0,12.0,4.0,10.0,28.0,357.0,18.0,14.0,0.0,14.0,12.0,35.0,5.0,0.0
Tyronne Ebuehi,ZG,25.0,19,12,1.138,12.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.4,10.0,29.0,29.0,52.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,5.0,8.0,28.0,12.0,16.0,8.0,4.0,10.0,18.0,556.0,8.0,13.0,3.0,10.0,16.0,44.0,38.0,1.0
Aleš Matějů,ZG,25.0,9,9,727.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.1,14.0,9.0,20.0,37.0,0.0,12.0,12.0,0.0,12.0,3.0,14.0,17.0,3.0,17.0,16.0,12.0,10.0,5.0,1.0,13.0,29.0,448.0,16.0,10.0,6.0,4.0,9.0,25.0,15.0,0.0
Tanner Tessmann,LT,19.0,20,6,680.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.1,8.0,12.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,10.0,9.0,10.0,11.0,5.0,4.0,6.0,1.0,5.0,14.0,357.0,9.0,19.0,9.0,10.0,5.0,16.0,22.0,0.0
Cristian Molinaro,ZG,38.0,8,6,548.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,13.0,34.0,16.0,0.0,16.0,16.0,0.0,16.0,0.0,8.0,8.0,0.0,8.0,12.0,9.0,10.0,2.0,0.0,5.0,7.0,714.0,2.0,7.0,2.0,5.0,6.0,18.0,20.0,0.0
Luca Lezzerini,G,26.0,6,6,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Luca Fiordilino,LT,25.0,15,5,661.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,6.0,3.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,3.0,9.0,21.0,13.0,11.0,6.0,4.0,13.0,27.0,481.0,14.0,14.0,4.0,10.0,11.0,32.0,12.0,0.0
Dor Peretz,LT,26.0,18,4,585.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.1,9.0,3.0,18.0,7.0,0.0,15.0,15.0,0.0,15.0,13.0,2.0,15.0,13.0,15.0,27.0,18.0,8.0,16.0,3.0,13.0,25.0,520.0,12.0,8.0,4.0,4.0,8.0,35.0,11.0,0.0
Francesco Forte,AT,28.0,12,4,422.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.6,16.0,3.0,7.0,16.0,21.0,0.0,21.0,21.0,21.0,23.0,14.0,37.0,23.0,37.0,3.0,2.0,0.0,2.0,1.0,2.0,5.0,400.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0
Marco Modolo,ZG,32.0,6,4,392.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,6.0,3.0,4.0,2.0,0.0,2.0,5.0,400.0,3.0,6.0,6.0,0.0,4.0,10.0,26.0,0.0
Nani,"LT,AT",34.0,10,3,287.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,7.0,6.0,12.0,22.0,0.0,31.0,31.0,0.0,31.0,2.0,20.0,23.0,2.0,23.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0
Daan Heymans,"LT,AT",22.0,7,2,256.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.2,3.0,2.0,9.0,13.0,0.0,35.0,35.0,0.0,35.0,4.0,8.0,12.0,4.0,12.0,3.0,1.0,1.0,2.0,0.0,1.0,5.0,200.0,4.0,7.0,3.0,4.0,4.0,7.0,3.0,0.0
Maximilian Ullmann,ZG,25.0,5,2,246.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,2.0,2.0,7.0,0.0
David Schnegg,ZG,22.0,4,2,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,333.0,2.0,4.0,0.0,4.0,3.0,5.0,6.0,0.0
Jean-Pierre Nsame,AT,28.0,11,1,245.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,13.0,4.0,8.0,18.0,0.0,37.0,37.0,0.0,37.0,26.0,24.0,50.0,26.0,50.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Francesco Di Mariano,AT,25.0,1,1,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
Arnór Sigurðsson,"AT,LT",22.0,9,0,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,6.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,4.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,500.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0
Hilmir Mikaelsson,AT,17.0,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jacopo Dezi,LT,29.0,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,24.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Nicolas Galazzi,LT,20.0,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Issa Bah,AT,19.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bjarki Bjarkason,LT,21.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Leal,AT,18.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno,G,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.0,352.0,325.0,217.0,71.0,273.0,626.0,436.0,353.0,495.0,202.0,293.0,388.0,1001.0,865.0,13.0
Jakob Franz Pálsson,ZG,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.0,341.0,251.0,246.0,92.0,276.0,576.0,479.0,300.0,377.0,82.0,295.0,370.0,959.0,560.0,5.0
Roman Lazar,G,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Óttar Magnús Karlsson,AT,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morré Makadji,ZG,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filippo Mozzo,LT,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filippo Neri,G,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damiano Pecile,LT,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvyn Remy,ZG,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
