Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Alex Sandro,ZG,32.0,16,8,721.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.9,13.0,16.0,43.0,9.0,12.0,0.0,12.0,12.0,12.0,5.0,11.0,16.0,5.0,16.0,13.0,7.0,7.0,6.0,0.0,4.0,5.0,800.0,1.0,13.0,7.0,6.0,15.0,28.0,23.0,0.0
Moise Kean,AT,23.0,19,8,654.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.1,2.1,0.7,28.0,12.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,28.0,10.0,38.0,28.0,38.0,7.0,4.0,3.0,2.0,2.0,1.0,3.0,333.0,2.0,4.0,1.0,3.0,2.0,9.0,5.0,0.0
Arkadiusz Milik,AT,29.0,32,7,919.0,10.2,4.0,1.0,5.0,4.0,0.0,0.0,2.0,1.0,5.1,5.1,2.6,77.0,12.0,22.0,49.0,39.0,10.0,49.0,39.0,49.0,50.0,26.0,75.0,50.0,75.0,9.0,5.0,2.0,5.0,2.0,3.0,5.0,600.0,2.0,7.0,1.0,6.0,5.0,14.0,3.0,0.0
Samuel Iling-Junior,"ZG,LT",19.0,24,4,810.0,9.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.3,20.0,29.0,25.0,64.0,11.0,22.0,33.0,11.0,33.0,8.0,14.0,23.0,8.0,23.0,23.0,13.0,9.0,11.0,3.0,11.0,18.0,611.0,7.0,17.0,5.0,12.0,6.0,29.0,19.0,0.0
Nicolò Fagioli,LT,22.0,8,4,437.0,4.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.7,11.0,8.0,23.0,15.0,0.0,41.0,41.0,0.0,41.0,8.0,15.0,23.0,8.0,23.0,5.0,3.0,1.0,3.0,1.0,3.0,7.0,429.0,4.0,3.0,0.0,3.0,4.0,9.0,1.0,0.0
Carlos Alcaraz,LT,20.0,10,3,380.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,5.0,6.0,27.0,9.0,0.0,24.0,24.0,0.0,24.0,9.0,3.0,12.0,9.0,12.0,6.0,6.0,0.0,6.0,0.0,5.0,10.0,500.0,5.0,5.0,2.0,3.0,5.0,11.0,4.0,0.0
Hans Nicolussi Caviglia,LT,23.0,8,3,268.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,7.0,0.0,14.0,2.0,0.0,34.0,34.0,0.0,34.0,4.0,20.0,23.0,4.0,23.0,5.0,2.0,1.0,3.0,1.0,4.0,6.0,667.0,2.0,5.0,1.0,4.0,0.0,5.0,2.0,0.0
Mattia Perin,G,30.0,3,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mattia De Sciglio,ZG,30.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0
Paul Pogba,LT,30.0,2,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
Carlo Pinsoglio,G,33.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Nonge,LT,18.0,2,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tiago Djaló,ZG,23.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Dean Huijsen,ZG,18.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nikola Sekulov,AT,21.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Cerri,ZG,20.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gian Crespi,G,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577.0,369.0,270.0,233.0,74.0,264.0,445.0,593.0,181.0,375.0,124.0,251.0,253.0,830.0,725.0,4.0
Giovanni Daffara,G,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576.0,319.0,271.0,227.0,78.0,269.0,528.0,509.0,259.0,408.0,150.0,258.0,273.0,849.0,741.0,12.0
Giovanni Garofani,G,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Hasa,LT,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommaso Mancini,AT,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simone Scaglia,G,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matìas Soulé,"AT,LT",20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
