Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Sergej Milinković-Savić,LT,26.0,37,36,3.1,34.4,11.0,10.0,21.0,11.0,0.0,0.0,6.0,1.0,7.3,7.3,6.1,135.0,67.0,215.0,191.0,32.0,29.0,61.0,32.0,61.0,21.0,18.0,39.0,21.0,39.0,67.0,44.0,20.0,32.0,15.0,29.0,67.0,433.0,38.0,50.0,9.0,41.0,34.0,101.0,43.0,1.0
Felipe Anderson,AT,28.0,38,33,2.888,32.1,6.0,8.0,14.0,6.0,0.0,0.0,2.0,0.0,6.2,6.2,6.5,127.0,142.0,123.0,264.0,19.0,25.0,44.0,19.0,44.0,19.0,20.0,40.0,19.0,40.0,71.0,45.0,30.0,33.0,8.0,27.0,99.0,273.0,72.0,65.0,6.0,59.0,20.0,91.0,16.0,0.0
Ciro Immobile,AT,31.0,31,31,2.711,30.1,27.0,2.0,29.0,20.0,7.0,9.0,4.0,0.0,21.5,14.3,2.8,172.0,52.0,54.0,204.0,90.0,7.0,96.0,66.0,73.0,71.0,9.0,81.0,48.0,57.0,10.0,5.0,4.0,4.0,2.0,1.0,15.0,67.0,14.0,7.0,1.0,6.0,3.0,13.0,16.0,0.0
Adam Marušić,ZG,28.0,33,30,2.721,30.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.2,0.2,0.5,7.0,52.0,111.0,73.0,3.0,0.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,30.0,18.0,16.0,12.0,2.0,13.0,32.0,406.0,19.0,19.0,8.0,11.0,41.0,71.0,71.0,0.0
Francesco Acerbi,ZG,33.0,30,29,2.536,28.2,4.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,2.4,2.4,0.5,29.0,31.0,119.0,10.0,14.0,0.0,14.0,14.0,14.0,9.0,2.0,10.0,9.0,10.0,25.0,12.0,15.0,9.0,1.0,12.0,19.0,632.0,7.0,37.0,28.0,9.0,34.0,59.0,92.0,0.0
Luiz Felipe,ZG,24.0,31,28,2.491,27.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.3,0.3,0.2,5.0,12.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,41.0,23.0,21.0,16.0,4.0,20.0,34.0,588.0,14.0,40.0,33.0,7.0,33.0,74.0,102.0,1.0
Luis Alberto,LT,28.0,34,27,2.353,26.1,5.0,9.0,14.0,5.0,0.0,0.0,5.0,0.0,3.3,3.3,7.8,111.0,84.0,223.0,89.0,19.0,34.0,54.0,19.0,54.0,12.0,30.0,42.0,12.0,42.0,29.0,17.0,8.0,11.0,10.0,8.0,52.0,154.0,44.0,32.0,4.0,28.0,13.0,42.0,7.0,0.0
Pedro,AT,34.0,32,25,2.033,22.6,9.0,4.0,13.0,9.0,0.0,0.0,5.0,0.0,4.7,4.7,3.3,80.0,84.0,102.0,147.0,40.0,18.0,58.0,40.0,58.0,21.0,14.0,35.0,21.0,35.0,36.0,23.0,8.0,19.0,9.0,16.0,47.0,340.0,31.0,18.0,2.0,16.0,6.0,42.0,8.0,0.0
Elseid Hysaj,ZG,27.0,29,24,2.027,22.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.7,15.0,26.0,96.0,69.0,4.0,0.0,4.0,4.0,4.0,3.0,3.0,6.0,3.0,6.0,46.0,30.0,25.0,17.0,4.0,29.0,45.0,644.0,16.0,18.0,6.0,12.0,24.0,70.0,34.0,1.0
Thomas Strakosha,G,26.0,23,23,2.07,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
