Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols.1,Assis..1,G+A.1,G-PB.1,G+A-PB,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div.1,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Gabriel,G,27.0,38,38,3.42,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,15.0,1.0
Fabio Lucioni,ZG,32.0,37,36,3.212,35.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.4,1.4,1.3,27.0,17.0,172.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,4.0,8.0,32.0,23.0,17.0,14.0,1.0,7.0,15.0,467.0,8.0,38.0,30.0,8.0,64.0,96.0,137.0,0.0
Massimo Coda,AT,31.0,36,33,2.756,30.6,22.0,8.0,30.0,18.0,4.0,6.0,6.0,1.0,20.0,15.3,4.8,201.0,72.0,81.0,316.0,72.0,26.0,98.0,59.0,85.0,65.0,16.0,81.0,50.0,66.0,12.0,7.0,2.0,1.0,9.0,2.0,16.0,125.0,14.0,10.0,0.0,10.0,8.0,20.0,15.0,1.0
Liam Henderson,LT,24.0,38,31,2.54,28.2,3.0,7.0,10.0,3.0,0.0,0.0,4.0,0.0,3.7,3.7,5.5,93.0,71.0,202.0,221.0,11.0,25.0,35.0,11.0,35.0,13.0,20.0,33.0,13.0,33.0,23.0,11.0,8.0,9.0,6.0,13.0,28.0,464.0,15.0,26.0,4.0,22.0,6.0,29.0,13.0,0.0
Biagio Meccariello,ZG,29.0,32,26,2.596,28.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,3.2,3.2,1.0,42.0,26.0,105.0,4.0,3.0,7.0,10.0,3.0,10.0,11.0,3.0,14.0,11.0,14.0,39.0,26.0,24.0,13.0,2.0,17.0,23.0,739.0,6.0,34.0,15.0,19.0,84.0,123.0,116.0,3.0
Žan Majer,LT,28.0,36,22,1.933,21.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,1.2,1.2,1.9,31.0,42.0,128.0,91.0,14.0,9.0,23.0,14.0,23.0,6.0,9.0,14.0,6.0,14.0,54.0,37.0,24.0,25.0,5.0,17.0,36.0,472.0,19.0,36.0,3.0,33.0,24.0,78.0,18.0,0.0
Marco Mancosu,LT,31.0,30,21,2.005,22.3,8.0,10.0,18.0,5.0,3.0,4.0,3.0,0.0,9.2,6.0,10.5,166.0,79.0,134.0,194.0,36.0,45.0,81.0,22.0,67.0,41.0,47.0,88.0,27.0,74.0,20.0,10.0,3.0,10.0,7.0,7.0,24.0,292.0,17.0,13.0,2.0,11.0,14.0,34.0,6.0,0.0
Panagiotis Tachtsidis,LT,29.0,26,21,1.786,19.8,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,3.5,45.0,52.0,196.0,27.0,5.0,20.0,25.0,5.0,25.0,5.0,18.0,23.0,5.0,23.0,55.0,28.0,26.0,27.0,2.0,22.0,43.0,512.0,21.0,24.0,6.0,18.0,42.0,97.0,24.0,1.0
Mariusz Stępiński,AT,25.0,31,21,1.715,19.1,9.0,3.0,12.0,8.0,1.0,1.0,2.0,0.0,6.5,5.7,2.1,78.0,29.0,30.0,146.0,47.0,16.0,63.0,42.0,58.0,34.0,11.0,45.0,30.0,41.0,6.0,3.0,1.0,3.0,2.0,2.0,6.0,333.0,4.0,12.0,4.0,8.0,4.0,10.0,12.0,1.0
John Björkengren,LT,21.0,25,20,1.705,18.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,0.6,21.0,32.0,72.0,79.0,5.0,0.0,5.0,5.0,5.0,8.0,3.0,11.0,8.0,11.0,27.0,11.0,8.0,11.0,8.0,13.0,25.0,520.0,12.0,31.0,5.0,26.0,16.0,43.0,9.0,0.0
