Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols.1,Assis..1,G+A.1,G-PB.1,G+A-PB,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div.1,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Kevin Strootman,LT,32.0,30,25,2.229,24.8,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.7,1.7,2.2,38.0,42.0,257.0,69.0,8.0,0.0,8.0,8.0,8.0,7.0,9.0,16.0,7.0,16.0,66.0,31.0,30.0,30.0,6.0,23.0,46.0,500.0,23.0,37.0,9.0,28.0,31.0,97.0,32.0,0.0
Alessandro Vogliacco,ZG,23.0,25,18,1.64,18.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.8,1.8,0.4,22.0,7.0,72.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,10.0,12.0,26.0,15.0,16.0,9.0,1.0,15.0,21.0,714.0,6.0,18.0,10.0,8.0,16.0,42.0,75.0,0.0
Mattia Aramu,"LT,AT",27.0,26,18,1.546,17.2,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.9,2.9,2.9,57.0,24.0,58.0,116.0,12.0,12.0,23.0,12.0,23.0,17.0,17.0,33.0,17.0,33.0,17.0,14.0,4.0,13.0,0.0,6.0,18.0,333.0,12.0,18.0,1.0,17.0,6.0,23.0,2.0,0.0
Silvan Hefti,ZG,24.0,26,17,1.636,18.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,0.8,12.0,31.0,62.0,90.0,6.0,0.0,6.0,6.0,6.0,2.0,4.0,7.0,2.0,7.0,44.0,23.0,25.0,15.0,4.0,24.0,42.0,571.0,18.0,32.0,4.0,28.0,20.0,64.0,24.0,0.0
Filip Jagiełło,"LT,AT",24.0,34,17,1.4,15.6,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.9,1.9,3.6,55.0,36.0,90.0,107.0,26.0,13.0,39.0,26.0,39.0,12.0,23.0,35.0,12.0,35.0,24.0,14.0,11.0,6.0,7.0,12.0,25.0,480.0,13.0,14.0,1.0,13.0,5.0,29.0,12.0,0.0
George Pușcaș,AT,26.0,25,10,1.082,12.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,1.6,56.0,18.0,13.0,100.0,33.0,8.0,42.0,33.0,42.0,33.0,13.0,46.0,33.0,46.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,3.0,7.0,0.0
Domenico Criscito,ZG,35.0,16,10,957.0,10.6,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9,0.1,0.8,9.0,13.0,41.0,36.0,9.0,0.0,9.0,0.0,0.0,9.0,7.0,16.0,1.0,9.0,27.0,14.0,18.0,7.0,2.0,12.0,15.0,800.0,3.0,9.0,3.0,6.0,27.0,54.0,20.0,0.0
Marko Pajač,ZG,29.0,10,10,772.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.8,10.0,20.0,45.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,11.0,2.0,11.0,16.0,9.0,11.0,3.0,2.0,12.0,17.0,706.0,5.0,6.0,0.0,6.0,8.0,24.0,14.0,1.0
Adrian Šemper,G,24.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
Stefano Sturaro,"LT,AT",29.0,18,8,706.0,7.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.7,0.7,0.7,14.0,12.0,29.0,30.0,0.0,13.0,13.0,0.0,13.0,8.0,9.0,17.0,8.0,17.0,16.0,7.0,3.0,7.0,6.0,9.0,15.0,600.0,6.0,12.0,0.0,12.0,2.0,18.0,10.0,0.0
Manolo Portanova,"LT,AT",22.0,12,7,594.0,6.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,0.7,21.0,14.0,18.0,37.0,15.0,15.0,30.0,15.0,30.0,21.0,10.0,32.0,21.0,32.0,18.0,10.0,7.0,8.0,3.0,6.0,10.0,600.0,4.0,17.0,1.0,16.0,6.0,24.0,5.0,0.0
Güven Yalçın,"AT,LT",23.0,22,6,684.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.9,1.9,1.3,32.0,17.0,23.0,56.0,0.0,13.0,13.0,0.0,13.0,25.0,17.0,42.0,25.0,42.0,7.0,3.0,2.0,3.0,2.0,4.0,8.0,500.0,4.0,10.0,1.0,9.0,2.0,9.0,5.0,0.0
Caleb Ekuban,AT,28.0,14,6,645.0,7.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.3,2.3,1.5,38.0,18.0,15.0,64.0,28.0,28.0,56.0,28.0,56.0,32.0,21.0,53.0,32.0,53.0,6.0,4.0,1.0,4.0,1.0,2.0,3.0,667.0,1.0,9.0,0.0,9.0,0.0,6.0,2.0,0.0
Ridgeciano Haps,ZG,29.0,5,4,362.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,13.0,14.0,12.0,32.0,0.0,25.0,25.0,0.0,25.0,6.0,25.0,31.0,6.0,31.0,8.0,7.0,1.0,6.0,1.0,2.0,3.0,667.0,1.0,6.0,0.0,6.0,8.0,16.0,4.0,0.0
Stefan Ilsanker,"ZG,LT",33.0,16,3,474.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,9.0,3.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,16.0,5.0,16.0,23.0,13.0,14.0,9.0,0.0,9.0,14.0,643.0,5.0,7.0,3.0,4.0,8.0,31.0,17.0,0.0
Eddie Salcedo,AT,20.0,8,3,256.0,2.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,0.1,13.0,6.0,7.0,25.0,70.0,0.0,70.0,70.0,70.0,42.0,3.0,45.0,42.0,45.0,7.0,5.0,3.0,0.0,4.0,3.0,7.0,429.0,4.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0
Lennart-Marten Czyborra,ZG,23.0,3,1,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,2.0,0.0,3.0,3.0,1000.0,0.0,1.0,0.0,1.0,2.0,8.0,1.0,0.0
Alan Matturro,ZG,17.0,2,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,667.0,1.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0
Brayan Boci,ZG,19.0,2,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Kelvin Yeboah,"AT,LT",22.0,11,0,224.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.7,19.0,8.0,6.0,25.0,40.0,40.0,80.0,40.0,80.0,51.0,27.0,78.0,51.0,78.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,200.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Pablo Galdames Millán,LT,25.0,4,0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,1000.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0
Denis Drăguș,"AT,ZG",23.0,5,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,4.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,58.0,58.0,58.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,500.0,1.0,3.0,0.0,3.0,1.0,3.0,2.0,0.0
Abdoulaye Touré,"AT,LT",28.0,3,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
Luca Lipani,LT,17.0,2,0,14.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,2.0,0.0,0.0,643.0,643.0,0.0,643.0,0.0,56.0,56.0,0.0,56.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1000.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Federico Accornero,AT,18.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giuseppe Agostino,G,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriele Calvani,ZG,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,347.0,306.0,229.0,73.0,275.0,550.0,500.0,275.0,430.0,94.0,336.0,383.0,991.0,596.0,5.0
Francesco Cassata,LT,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,393.0,368.0,203.0,69.0,276.0,527.0,524.0,251.0,427.0,138.0,289.0,490.0,1130.0,779.0,5.0
Seydou Fini,AT,16.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Gagliardi,ZG,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yayah Kallon,AT,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrizio Masini,LT,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filippo Melegoni,LT,23.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Palella,LT,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rok Vodišek,G,23.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salvatore Sirigu,G,34.0,37,37,3.33,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,19.0,2.0
Milan Badelj,LT,32.0,34,34,2.844,31.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.1,31.0,19.0,176.0,24.0,3.0,0.0,3.0,3.0,3.0,3.0,7.0,10.0,3.0,10.0,64.0,37.0,25.0,30.0,9.0,34.0,80.0,425.0,46.0,39.0,7.0,32.0,85.0,149.0,43.0,0.0
Johan Vásquez,ZG,22.0,28,27,2.279,25.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,0.1,9.0,12.0,62.0,9.0,4.0,0.0,4.0,4.0,4.0,3.0,0.0,4.0,3.0,4.0,79.0,46.0,44.0,32.0,3.0,48.0,75.0,640.0,27.0,32.0,10.0,22.0,42.0,121.0,85.0,0.0
Stefano Sturaro,LT,28.0,25,24,1.766,19.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.5,0.5,0.8,13.0,10.0,62.0,53.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,3.0,7.0,43.0,26.0,16.0,16.0,11.0,22.0,48.0,458.0,26.0,25.0,1.0,24.0,15.0,58.0,29.0,2.0
Andrea Cambiaso,ZG,21.0,26,21,1.79,19.9,1.0,4.0,5.0,1.0,0.0,0.0,5.0,1.0,0.7,0.7,1.4,21.0,71.0,53.0,92.0,5.0,20.0,25.0,5.0,25.0,3.0,7.0,11.0,3.0,11.0,46.0,20.0,28.0,14.0,4.0,18.0,32.0,563.0,14.0,33.0,8.0,25.0,23.0,69.0,37.0,1.0
Mattia Destro,AT,30.0,27,21,1.744,19.4,9.0,1.0,10.0,9.0,0.0,0.0,4.0,0.0,7.7,7.7,1.1,87.0,13.0,26.0,75.0,46.0,5.0,52.0,46.0,52.0,40.0,5.0,45.0,40.0,45.0,9.0,4.0,1.0,4.0,4.0,1.0,6.0,167.0,5.0,14.0,1.0,13.0,2.0,11.0,16.0,0.0
Caleb Ekuban,"AT,LT",27.0,30,18,1.716,19.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,3.5,3.5,2.4,59.0,31.0,31.0,133.0,5.0,10.0,16.0,5.0,16.0,18.0,13.0,31.0,18.0,31.0,19.0,12.0,2.0,12.0,5.0,7.0,23.0,304.0,16.0,19.0,5.0,14.0,9.0,28.0,6.0,0.0
Domenico Criscito,ZG,34.0,20,18,1.618,18.0,6.0,1.0,7.0,0.0,6.0,7.0,4.0,0.0,5.8,0.3,1.1,14.0,33.0,70.0,32.0,33.0,6.0,39.0,0.0,6.0,32.0,6.0,38.0,2.0,8.0,37.0,21.0,19.0,14.0,4.0,16.0,25.0,640.0,9.0,22.0,12.0,10.0,39.0,76.0,57.0,0.0
Manolo Portanova,"AT,LT",21.0,24,17,1.322,14.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.9,2.9,0.6,35.0,30.0,28.0,57.0,7.0,0.0,7.0,7.0,7.0,20.0,4.0,24.0,20.0,24.0,46.0,28.0,9.0,26.0,11.0,14.0,34.0,412.0,20.0,26.0,2.0,24.0,17.0,63.0,22.0,0.0
Nicolò Rovella,LT,19.0,21,16,1.468,16.3,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,2.3,30.0,31.0,84.0,34.0,0.0,18.0,18.0,0.0,18.0,4.0,14.0,18.0,4.0,18.0,37.0,26.0,16.0,14.0,7.0,15.0,40.0,375.0,25.0,21.0,1.0,20.0,20.0,57.0,20.0,0.0
Silvan Hefti,ZG,23.0,16,14,1.288,14.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,9.0,30.0,39.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,6.0,50.0,30.0,23.0,22.0,5.0,32.0,58.0,552.0,26.0,20.0,4.0,16.0,20.0,70.0,34.0,1.0
Mattia Bani,ZG,27.0,17,13,1.211,13.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.1,11.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,23.0,13.0,17.0,6.0,0.0,14.0,18.0,778.0,4.0,19.0,11.0,8.0,20.0,43.0,76.0,0.0
Leo Skiri Østigård,ZG,21.0,15,13,1.172,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.3,0.3,0.2,5.0,10.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,4.0,16.0,9.0,8.0,7.0,1.0,9.0,11.0,818.0,2.0,17.0,10.0,7.0,8.0,24.0,55.0,1.0
Nikola Maksimović,ZG,29.0,14,13,1.115,12.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,3.0,3.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,14.0,6.0,10.0,4.0,0.0,7.0,9.0,778.0,2.0,17.0,11.0,6.0,12.0,26.0,61.0,1.0
Pablo Galdames Millán,LT,24.0,19,11,1.028,11.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.0,15.0,4.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0,4.0,13.0,28.0,12.0,6.0,16.0,6.0,12.0,35.0,343.0,23.0,16.0,2.0,14.0,8.0,36.0,9.0,1.0
Zinho Vanheusden,ZG,22.0,14,11,989.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,3.0,11.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,18.0,6.0,12.0,5.0,1.0,8.0,14.0,571.0,6.0,19.0,14.0,5.0,23.0,41.0,42.0,0.0
Davide Biraschi,ZG,27.0,14,11,930.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2,3.0,15.0,42.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,31.0,16.0,19.0,9.0,3.0,17.0,24.0,708.0,7.0,16.0,9.0,7.0,16.0,47.0,26.0,0.0
Filippo Melegoni,"LT,AT",22.0,25,10,980.0,10.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,17.0,28.0,27.0,60.0,9.0,0.0,9.0,9.0,9.0,6.0,10.0,16.0,6.0,16.0,20.0,12.0,5.0,8.0,7.0,8.0,16.0,500.0,8.0,10.0,1.0,9.0,11.0,31.0,8.0,1.0
Kelvin Yeboah,"AT,LT",21.0,17,9,850.0,9.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,1.4,26.0,23.0,11.0,60.0,0.0,11.0,11.0,0.0,11.0,12.0,15.0,27.0,12.0,27.0,14.0,7.0,5.0,7.0,2.0,9.0,19.0,474.0,10.0,22.0,1.0,21.0,1.0,15.0,7.0,0.0
Nadiem Amiri,"LT,AT",24.0,13,9,683.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,2.1,30.0,17.0,33.0,34.0,0.0,13.0,13.0,0.0,13.0,12.0,28.0,40.0,12.0,40.0,6.0,4.0,2.0,2.0,2.0,2.0,9.0,222.0,7.0,7.0,0.0,7.0,0.0,6.0,0.0,0.0
Goran Pandev,"AT,LT",38.0,20,7,843.0,9.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.2,17.0,9.0,25.0,57.0,0.0,11.0,11.0,0.0,11.0,6.0,13.0,19.0,6.0,19.0,2.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,9.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0
Hernani,"LT,AT",27.0,18,7,682.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,9.0,7.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,11.0,8.0,11.0,20.0,10.0,8.0,9.0,3.0,13.0,32.0,406.0,19.0,17.0,4.0,13.0,13.0,33.0,5.0,1.0
Morten Frendrup,"ZG,LT",20.0,10,6,695.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.4,9.0,13.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,11.0,6.0,11.0,40.0,24.0,19.0,13.0,8.0,13.0,29.0,448.0,16.0,19.0,2.0,17.0,17.0,57.0,7.0,1.0
Albert Guðmundsson,"AT,LT",24.0,12,6,607.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.3,1.3,0.8,21.0,14.0,15.0,45.0,15.0,0.0,15.0,15.0,15.0,19.0,13.0,31.0,19.0,31.0,5.0,3.0,2.0,1.0,2.0,3.0,8.0,375.0,5.0,2.0,0.0,2.0,5.0,10.0,4.0,0.0
Paolo Ghiglione,ZG,24.0,13,6,603.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.0,16.0,13.0,20.0,32.0,0.0,15.0,15.0,0.0,15.0,9.0,15.0,24.0,9.0,24.0,17.0,12.0,8.0,6.0,3.0,9.0,14.0,643.0,5.0,11.0,5.0,6.0,10.0,27.0,12.0,1.0
Mohamed Fares,"ZG,AT",25.0,9,6,587.0,6.5,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,0.7,18.0,16.0,15.0,22.0,31.0,15.0,46.0,31.0,46.0,17.0,11.0,28.0,17.0,28.0,4.0,2.0,1.0,3.0,0.0,0.0,4.0,0.0,4.0,8.0,3.0,5.0,8.0,12.0,11.0,0.0
Andrea Masiello,ZG,35.0,7,6,515.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,0.0,4.0,7.0,571.0,3.0,8.0,4.0,4.0,11.0,16.0,20.0,1.0
Abdoulaye Touré,LT,27.0,8,6,430.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,2.0,2.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,4.0,12.0,4.0,3.0,8.0,1.0,5.0,11.0,455.0,6.0,6.0,1.0,5.0,4.0,16.0,6.0,0.0
Yayah Kallon,"AT,LT",20.0,15,5,636.0,7.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,1.6,30.0,24.0,5.0,61.0,0.0,14.0,14.0,0.0,14.0,21.0,22.0,43.0,21.0,43.0,15.0,11.0,5.0,6.0,4.0,3.0,11.0,273.0,8.0,7.0,1.0,6.0,1.0,16.0,5.0,0.0
Stefano Sabelli,ZG,28.0,7,5,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,2.0,11.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,4.0,6.0,6.0,3.0,3.0,2.0,1.0,3.0,9.0,333.0,6.0,5.0,1.0,4.0,3.0,9.0,12.0,0.0
Flavio Junior Bianchi,"AT,LT",21.0,7,4,314.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,9.0,2.0,3.0,18.0,29.0,0.0,29.0,29.0,29.0,23.0,3.0,26.0,23.0,26.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Valon Behrami,"LT,AT",36.0,10,2,311.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,2.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,6.0,3.0,1.0,0.0,2.0,1.0,0.0,7.0,0.0,7.0,4.0,1.0,3.0,1.0,4.0,4.0,0.0
Roberto Piccoli,AT,20.0,5,2,218.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,3.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,13.0,7.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
Felipe Caicedo,AT,32.0,9,1,284.0,3.2,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,1.1,25.0,4.0,4.0,22.0,32.0,63.0,95.0,32.0,95.0,45.0,34.0,79.0,45.0,79.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0
Adrian Šemper,G,23.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
